Doença,Espécie,Ano,Mês,UF,Quantidade de casos
Raiva,BOV,2008,Ago,PA,1
Raiva,BOV,2008,Ago,TO,4
Raiva,BOV,2008,Ago,MT,9
Raiva,BOV,2008,Mar,MT,17
Carbúnculo hemático/Antraz,BOV,2008,Abr,PA,21
Raiva,BOV,2008,Abr,MT,46
Raiva,BOV,2008,Jun,RO,3
Raiva,BOV,2008,Jun,MT,9
Raiva,BOV,2008,Jun,AC,22
Raiva,BOV,2008,Jul,PA,1
Raiva,BOV,2008,Jul,RO,1
Raiva,BOV,2008,Jul,MT,7
Raiva,BOV,2008,Nov,RO,1
Raiva,BOV,2008,Nov,AC,4
Raiva,BOV,2008,Nov,MT,9
Estomatite vesicular,BOV,2008,Nov,TO,12
Raiva,BOV,2008,Nov,TO,12
Raiva,BOV,2008,Nov,PA,22
Raiva,BOV,2008,Mai,MA,1
Raiva,BOV,2008,Mai,PA,1
Raiva,BOV,2008,Mai,TO,4
Raiva,BOV,2008,Mai,RR,8
Raiva,BOV,2008,Mai,MT,22
Raiva,BOV,2008,Jan,MA,2
Raiva,BOV,2008,Jan,TO,3
Raiva,BOV,2008,Jan,RO,7
Raiva,BOV,2008,Jan,PA,29
Raiva,BOV,2008,Jan,MT,54
Raiva,BOV,2008,Fev,AC,1
Raiva,BOV,2008,Fev,MA,2
Estomatite vesicular,BOV,2008,Fev,MT,8
Raiva,BOV,2008,Fev,RO,10
Raiva,BOV,2008,Fev,MT,31
Raiva,BOV,2008,Fev,TO,33
Raiva,BOV,2008,Set,PA,1
Raiva,BOV,2008,Set,RO,1
Estomatite vesicular,BOV,2008,Set,TO,8
Raiva,BOV,2008,Set,TO,8
Raiva,BOV,2008,Set,MT,22
Raiva,BOV,2008,Out,AP,3
Raiva,BOV,2008,Out,RO,3
Raiva,BOV,2008,Out,TO,3
Raiva,BOV,2008,Out,MT,6
Raiva,BOV,2008,Out,PA,11
Raiva,BOV,2008,Dez,MA,2
Raiva,BOV,2008,Dez,TO,11
Raiva,BOV,2008,Dez,MT,17
Raiva,BOV,2009,Ago,PA,1
Raiva,BOV,2009,Ago,RR,2
Raiva,BOV,2009,Ago,RO,4
Raiva,BOV,2009,Ago,MT,6
Raiva,BOV,2009,Ago,TO,10
Raiva,BOV,2009,Mar,MA,1
Raiva,BOV,2009,Mar,PA,4
Raiva,BOV,2009,Mar,TO,8
Raiva,BOV,2009,Mar,RO,17
Raiva,BOV,2009,Mar,MT,45
Raiva,BOV,2009,Abr,PA,2
Raiva,BOV,2009,Abr,MT,16
Raiva,BOV,2009,Abr,TO,19
Raiva,BOV,2009,Jun,RO,14
Raiva,BOV,2009,Jun,MT,23
Raiva,BOV,2009,Jul,PA,1
Raiva,BOV,2009,Jul,RO,1
Raiva,BOV,2009,Jul,TO,3
Raiva,BOV,2009,Jul,MT,22
Raiva,BOV,2009,Nov,TO,3
Raiva,BOV,2009,Nov,MT,65
Raiva,BOV,2009,Mai,PA,1
Raiva,BOV,2009,Mai,TO,2
Raiva,BOV,2009,Mai,MT,19
Raiva,BOV,2009,Mai,RO,22
Raiva,BOV,2009,Jan,RO,1
Estomatite vesicular,BOV,2009,Jan,TO,1
Raiva,BOV,2009,Jan,TO,16
Raiva,BOV,2009,Jan,MT,29
Raiva,BOV,2009,Fev,TO,6
Raiva,BOV,2009,Fev,MT,78
Raiva,BOV,2009,Set,AM,2
Raiva,BOV,2009,Set,TO,11
Raiva,BOV,2009,Set,MT,31
Raiva,BOV,2009,Out,RO,1
Raiva,BOV,2009,Out,TO,9
Raiva,BOV,2009,Out,MT,13
Raiva,BOV,2009,Dez,RO,1
Raiva,BOV,2009,Dez,MT,55
Raiva,BOV,2010,Ago,TO,1
Raiva,BOV,2010,Ago,MA,5
Raiva,BOV,2010,Ago,RO,10
Raiva,BOV,2010,Ago,MT,97
Raiva,BOV,2010,Mar,RO,1
Raiva,BOV,2010,Mar,MA,2
Raiva,BOV,2010,Mar,PA,3
Raiva,BOV,2010,Mar,AC,6
Raiva,BOV,2010,Mar,MT,31
Raiva,BOV,2010,Mar,TO,41
Raiva,BOV,2010,Abr,MT,10
Raiva,BOV,2010,Abr,PA,16
Raiva,BOV,2010,Jun,MT,11
Raiva,BOV,2010,Jun,RO,14
Raiva,BOV,2010,Jun,PA,96
Raiva,BOV,2010,Jul,RO,7
Raiva,BOV,2010,Jul,TO,27
Raiva,BOV,2010,Jul,MT,28
Raiva,BOV,2010,Nov,MT,3
Raiva,BOV,2010,Mai,RO,1
Raiva,BOV,2010,Mai,MT,54
Raiva,BOV,2010,Jan,MA,1
Raiva,BOV,2010,Jan,PA,3
Raiva,BOV,2010,Jan,RO,3
Raiva,BOV,2010,Jan,MT,17
Raiva,BOV,2010,Jan,TO,30
Raiva,BOV,2010,Fev,MA,2
Raiva,BOV,2010,Fev,TO,3
Raiva,BOV,2010,Fev,MT,28
Raiva,BOV,2010,Set,AM,1
Raiva,BOV,2010,Set,MT,57
Raiva,BOV,2010,Out,PA,6
Raiva,BOV,2010,Out,MT,7
Raiva,BOV,2010,Dez,MA,3
Raiva,BOV,2010,Dez,PA,3
Raiva,BOV,2010,Dez,MT,8
Raiva,BOV,2011,Ago,MT,21
Raiva,BOV,2011,Mar,MA,1
Raiva,BOV,2011,Mar,MT,6
Raiva,BOV,2011,Mar,TO,7
Raiva,BOV,2011,Abr,MA,2
Raiva,BOV,2011,Abr,TO,3
Raiva,BOV,2011,Abr,PA,7
Raiva,BOV,2011,Abr,MT,21
Estomatite vesicular,BOV,2011,Jun,TO,1
