"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";1;3;1;1;1;-;-;-;-;-;-;1;8
"120010 Brasiléia";18;12;12;11;7;2;-;-;-;1;2;5;70
"120013 Bujari";-;-;-;-;-;-;-;-;-;-;-;2;2
"120017 Capixaba";1;-;-;-;-;-;-;-;-;-;3;-;4
"120020 Cruzeiro do Sul";-;-;-;-;-;-;-;-;1;-;-;-;1
"120025 Epitaciolândia";6;12;6;7;19;-;-;-;-;4;5;6;65
"120033 Mâncio Lima";1;-;-;-;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";1;1;-;-;-;-;-;-;-;-;2;-;4
"120080 Porto Acre";-;-;-;-;-;-;-;-;1;1;4;5;11
"120040 Rio Branco";52;119;156;187;140;91;65;43;85;102;303;608;1951
"120050 Sena Madureira";1;3;-;-;-;-;-;-;-;12;37;25;78
"120045 Senador Guiomard";1;4;4;2;1;1;-;-;-;-;1;2;16
"120060 Tarauacá";-;-;-;-;2;-;-;-;-;-;-;-;2
"120070 Xapuri";1;-;-;-;-;-;-;-;-;-;1;-;2
"Total";83;154;179;208;170;94;65;43;87;120;358;654;2215
