"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";43;127;40;9;1;-;-;1;3;20;50;69;363
"120005 Assis Brasil";39;20;87;40;14;17;5;2;8;7;6;4;249
"120010 Brasiléia";126;105;78;38;4;1;1;1;1;-;2;14;371
"120013 Bujari";12;5;12;8;4;2;4;2;5;6;2;3;65
"120017 Capixaba";63;41;16;3;1;1;-;1;-;-;-;11;137
"120020 Cruzeiro do Sul";14;15;4;3;1;1;2;-;3;-;2;8;53
"120025 Epitaciolândia";28;16;19;1;2;3;-;-;1;1;5;5;81
"120030 Feijó";-;-;1;-;-;-;-;-;-;-;2;-;3
"120032 Jordão";-;1;-;-;-;-;-;-;-;-;1;-;2
"120033 Mâncio Lima";-;-;2;-;-;-;-;-;-;-;-;-;2
"120035 Marechal Thaumaturgo";-;-;-;-;-;1;-;-;1;-;-;-;2
"120038 Plácido de Castro";3;1;1;1;3;-;3;-;2;-;4;4;22
"120080 Porto Acre";5;9;26;3;2;-;-;2;-;4;10;3;64
"120040 Rio Branco";3473;7223;5726;2773;1325;829;776;416;587;980;2931;5339;32378
"120050 Sena Madureira";42;38;41;11;14;2;3;3;5;14;7;22;202
"120045 Senador Guiomard";2;9;6;3;7;-;-;-;-;-;3;4;34
"120060 Tarauacá";1;-;1;1;-;-;-;-;-;-;-;-;3
"120070 Xapuri";110;81;34;6;7;6;2;-;2;8;2;31;289
"Total";3961;7691;6094;2900;1385;863;796;428;618;1040;3027;5517;34320
