"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";-;1;1;-;-;-;-;-;-;-;-;2;4
"120005 Assis Brasil";118;323;37;1;-;-;1;-;-;-;1;1;482
"120010 Brasiléia";15;22;46;17;-;-;-;-;1;2;10;18;131
"120017 Capixaba";2;-;1;33;3;-;-;-;-;-;-;-;39
"120020 Cruzeiro do Sul";30;62;18;18;9;33;34;26;18;19;22;19;308
"120025 Epitaciolândia";38;24;41;44;6;-;-;-;-;-;-;5;158
"120030 Feijó";6;1;-;-;-;-;-;-;-;-;-;-;7
"120032 Jordão";-;1;-;-;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";1;2;-;-;-;-;-;-;-;2;-;-;5
"120035 Marechal Thaumaturgo";-;1;-;-;-;-;-;-;-;-;-;-;1
"120038 Plácido de Castro";3;4;4;-;-;-;-;1;-;-;-;1;13
"120080 Porto Acre";-;1;-;-;-;-;-;-;-;-;-;-;1
"120040 Rio Branco";131;287;137;95;65;29;26;17;18;21;29;48;903
"120042 Rodrigues Alves";1;2;-;-;-;1;-;-;-;-;-;-;4
"120050 Sena Madureira";-;3;-;-;-;-;-;-;-;-;-;-;3
"120045 Senador Guiomard";2;2;2;5;-;-;-;-;-;-;-;-;11
"120070 Xapuri";33;26;25;13;6;3;-;1;1;1;5;4;118
"Total";380;762;312;226;89;66;61;45;38;45;67;98;2189
