"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120001 Acrelândia";3;-;1;-;1;-;-;-;-;1;2;1;9
"120005 Assis Brasil";6;12;5;17;6;-;1;2;-;-;30;3;82
"120010 Brasiléia";110;82;31;20;8;7;14;8;10;14;14;45;363
"120017 Capixaba";3;3;5;4;3;-;-;1;5;18;13;8;63
"120020 Cruzeiro do Sul";69;77;57;29;33;20;48;55;80;291;1117;932;2808
"120025 Epitaciolândia";11;4;5;3;1;3;2;1;2;-;2;8;42
"120030 Feijó";-;-;-;-;-;-;-;-;-;-;1;-;1
"120033 Mâncio Lima";45;2;-;-;-;-;1;1;2;63;119;59;292
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;1;-;2;1;4
"120035 Marechal Thaumaturgo";1;-;-;1;-;-;-;-;-;-;-;8;10
"120038 Plácido de Castro";94;19;3;1;-;-;1;1;-;-;-;17;136
"120080 Porto Acre";8;1;-;-;-;-;-;-;-;-;-;2;11
"120040 Rio Branco";909;636;501;277;139;65;28;20;25;25;76;187;2888
"120042 Rodrigues Alves";22;15;11;5;20;4;4;1;-;6;170;161;419
"120050 Sena Madureira";190;62;22;5;-;-;-;1;1;1;-;40;322
"120045 Senador Guiomard";2;2;2;1;1;2;-;-;5;3;4;5;27
"120060 Tarauacá";71;165;143;83;66;42;38;80;16;271;540;398;1913
"120070 Xapuri";104;119;64;32;21;15;10;3;2;9;104;198;681
"Total";1648;1199;850;478;299;158;147;174;149;702;2194;2073;10071
