"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130002 Alvarães";-;3;-;-;-;-;-;-;-;-;-;-;3
"130008 Anamã";-;-;2;-;-;-;-;-;-;-;-;-;2
"130010 Anori";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 Apuí";-;-;-;-;-;-;-;-;-;-;1;-;1
"130020 Atalaia do Norte";-;-;-;-;-;-;-;-;-;-;-;1;1
"130030 Autazes";-;-;-;-;2;-;-;-;-;-;-;-;2
"130040 Barcelos";2;-;1;-;-;1;23;21;13;20;30;14;125
"130050 Barreirinha";-;-;-;1;1;-;-;-;-;-;-;-;2
"130060 Benjamin Constant";1;-;-;1;-;-;-;-;-;-;-;-;2
"130070 Boca do Acre";2;-;2;1;1;-;-;-;-;1;2;5;14
"130080 Borba";-;1;-;3;1;-;-;-;-;-;-;-;5
"130083 Caapiranga";-;1;2;-;-;-;-;-;-;-;-;-;3
"130110 Careiro";-;2;6;8;9;-;-;-;-;-;-;-;25
"130115 Careiro da Várzea";-;1;-;-;1;-;-;-;-;-;-;-;2
"130120 Coari";1;3;5;10;24;23;35;29;15;79;88;131;443
"130130 Codajás";4;-;-;-;-;-;-;-;-;-;-;-;4
"130140 Eirunepé";-;-;-;1;-;-;-;-;-;-;-;-;1
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;1;1
"130170 Humaitá";3;16;46;16;1;-;-;-;-;-;-;-;82
"130185 Iranduba";2;-;-;1;2;-;-;-;-;-;1;-;6
"130190 Itacoatiara";66;123;72;52;13;1;-;-;-;-;1;3;331
"130220 Juruá";-;-;-;1;-;-;-;-;-;-;-;-;1
"130240 Lábrea";25;7;24;13;5;-;-;-;-;-;-;3;77
"130250 Manacapuru";3;4;2;5;2;-;-;-;-;-;-;-;16
"130255 Manaquiri";1;3;1;-;-;-;-;-;-;-;-;-;5
"130260 Manaus";1133;1499;1387;1164;506;91;59;20;19;17;33;149;6077
"130290 Maués";1;-;-;1;-;-;-;-;-;-;-;-;2
"130300 Nhamundá";-;-;-;-;1;-;-;-;-;-;-;-;1
"130320 Novo Airão";-;-;2;7;-;-;1;-;-;-;-;-;10
"130330 Novo Aripuanã";-;-;4;2;-;-;-;-;-;-;-;1;7
"130340 Parintins";11;19;20;7;3;-;1;1;-;5;102;81;250
"130353 Presidente Figueiredo";5;-;3;2;-;-;-;-;-;1;-;2;13
"130356 Rio Preto da Eva";1;4;8;7;2;-;-;-;-;-;-;-;22
"130380 São Gabriel da Cachoeira";-;-;-;1;-;-;-;-;-;-;-;1;2
"130406 Tabatinga";1;-;-;-;-;2;5;-;-;-;-;-;8
"130420 Tefé";-;2;-;1;-;-;-;-;-;-;-;-;3
"130426 Uarini";-;-;-;1;-;-;-;-;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;1;-;-;-;-;-;-;-;1
"Total";1262;1688;1587;1306;576;118;124;71;47;123;258;392;7552
