"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160020 Calçoene";9;11;10;1;4;-;-;-;-;-;-;16;51
"160023 Ferreira Gomes";-;2;11;9;12;1;1;1;-;-;-;-;37
"160030 Macapá";290;417;294;153;77;40;27;21;16;10;5;39;1389
"160040 Mazagão";5;2;3;7;-;-;1;-;-;-;-;2;20
"160050 Oiapoque";90;29;93;90;59;54;-;34;46;46;2;3;546
"160015 Pedra Branca do Amapari";-;-;-;1;-;-;-;-;1;-;-;-;2
"160053 Porto Grande";9;18;5;18;1;-;1;-;2;2;-;-;56
"160060 Santana";196;227;114;34;15;21;11;13;8;6;3;7;655
"160005 Serra do Navio";5;4;-;-;-;-;-;-;-;-;-;-;9
"Total";604;710;530;313;168;116;41;69;73;64;10;67;2765
