"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160020 Calçoene";14;23;2;-;-;-;-;3;13;19;43;14;131
"160023 Ferreira Gomes";-;-;-;-;-;-;-;2;3;15;4;-;24
"160030 Macapá";18;12;32;32;47;52;81;232;275;122;42;20;965
"160040 Mazagão";-;1;-;1;-;-;3;4;1;4;18;3;35
"160050 Oiapoque";2;9;2;6;5;1;8;3;26;50;16;-;128
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;1;1;-;-;3;7;12
"160053 Porto Grande";-;2;-;2;-;1;-;2;6;32;3;-;48
"160060 Santana";2;3;1;2;5;4;5;20;19;21;10;1;93
"160005 Serra do Navio";1;-;-;1;1;-;-;3;1;-;62;29;98
"160070 Tartarugalzinho";-;-;-;-;-;-;-;1;-;1;1;2;5
"160000 Município ignorado - AP";-;-;-;-;-;-;-;-;-;-;1;-;1
"Total";37;50;37;44;58;58;98;271;344;264;203;76;1540
