"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"160010 Amapá";-;-;1;-;-;1;-;-;-;-;-;-;2
"160020 Calçoene";81;91;21;26;25;1;1;2;8;26;64;30;376
"160023 Ferreira Gomes";1;9;33;27;5;-;-;-;2;6;-;-;83
"160027 Laranjal do Jari";-;1;8;13;23;3;3;-;-;-;-;1;52
"160030 Macapá";80;150;294;260;193;158;127;119;101;57;24;33;1596
"160040 Mazagão";45;162;45;5;-;-;-;-;-;-;2;9;268
"160050 Oiapoque";73;34;240;31;7;9;3;1;2;1;2;15;418
"160015 Pedra Branca do Amapari";13;14;18;23;17;9;6;12;3;6;-;2;123
"160053 Porto Grande";91;26;9;6;4;1;-;-;2;-;-;-;139
"160060 Santana";31;54;75;38;24;3;5;10;3;1;7;7;258
"160005 Serra do Navio";-;4;7;2;1;-;-;-;-;-;-;-;14
"160070 Tartarugalzinho";-;15;26;6;2;1;1;1;-;-;-;-;52
"Total";415;560;777;437;301;186;146;145;121;97;99;97;3381
