"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";17;17;7;4;5;3;-;3;-;-;-;1;57
"210010 Afonso Cunha";3;7;3;2;1;-;-;-;-;-;-;-;16
"210015 Água Doce do Maranhão";-;-;-;6;3;-;-;-;1;4;-;-;14
"210020 Alcântara";-;4;2;-;-;2;-;-;-;-;-;-;8
"210030 Aldeias Altas";5;26;12;2;1;-;1;-;-;3;1;-;51
"210043 Alto Alegre do Maranhão";1;-;1;-;-;-;-;-;-;-;-;-;2
"210047 Alto Alegre do Pindaré";43;3;-;3;-;-;-;-;-;-;-;-;49
"210050 Alto Parnaíba";1;2;1;-;-;-;-;1;-;-;-;-;5
"210055 Amapá do Maranhão";-;2;-;-;-;-;-;1;-;-;-;-;3
"210060 Amarante do Maranhão";8;2;7;6;3;3;2;-;1;1;1;8;42
"210070 Anajatuba";-;-;-;-;1;-;-;-;-;-;-;-;1
"210080 Anapurus";4;22;-;-;-;-;-;-;-;-;-;1;27
"210083 Apicum-Açu";60;7;3;1;-;-;-;-;-;-;-;21;92
"210090 Araioses";-;-;1;3;-;-;-;-;-;-;-;-;4
"210095 Arame";1;5;9;-;-;-;-;-;-;-;-;7;22
"210100 Arari";-;-;2;-;-;-;-;1;-;-;-;-;3
"210120 Bacabal";17;32;42;19;1;2;5;-;1;-;-;1;120
"210125 Bacabeira";1;-;-;-;-;1;1;-;-;1;-;-;4
"210130 Bacuri";3;3;1;-;-;-;-;-;-;-;-;-;7
"210140 Balsas";17;21;23;6;5;3;-;-;-;-;-;-;75
"210150 Barão de Grajaú";-;-;-;-;2;-;-;2;3;1;14;8;30
"210160 Barra do Corda";84;9;2;4;1;1;-;-;-;-;-;1;102
"210170 Barreirinhas";-;-;-;1;5;4;2;1;-;-;-;-;13
"210173 Belágua";-;-;-;-;1;-;-;-;-;-;-;-;1
"210190 Bequimão";3;17;7;3;14;7;9;11;5;2;-;-;78
"210193 Bernardo do Mearim";-;-;-;-;3;-;-;-;-;-;-;-;3
"210200 Bom Jardim";4;13;2;4;-;-;-;1;-;-;-;3;27
"210203 Bom Jesus das Selvas";5;7;5;-;-;-;-;-;-;-;-;-;17
"210207 Bom Lugar";-;-;1;-;-;-;-;-;-;-;-;-;1
"210210 Brejo";51;55;4;1;-;-;-;-;-;-;-;1;112
"210220 Buriti";5;4;-;-;-;-;1;-;-;-;-;-;10
"210230 Buriti Bravo";3;5;2;1;1;-;4;-;-;-;-;-;16
"210232 Buriticupu";2;-;7;3;6;-;-;-;-;-;-;-;18
"210235 Buritirana";-;-;3;-;-;-;-;-;-;-;-;-;3
"210237 Cachoeira Grande";-;3;1;-;7;3;1;1;-;-;-;-;16
"210250 Cajari";-;1;3;-;1;5;1;-;-;-;-;-;11
"210255 Campestre do Maranhão";4;-;3;-;1;-;-;-;-;-;-;-;8
"210260 Cândido Mendes";-;-;-;-;1;-;-;-;-;-;-;-;1
"210270 Cantanhede";1;-;-;-;-;-;-;-;-;-;-;-;1
"210280 Carolina";2;2;3;7;7;6;-;-;-;-;-;-;27
"210290 Carutapera";-;-;7;3;17;2;1;-;-;-;-;-;30
"210300 Caxias";13;57;103;51;47;26;12;8;9;3;3;1;333
"210312 Central do Maranhão";-;5;3;3;7;-;-;-;-;-;-;-;18
"210315 Centro do Guilherme";4;5;-;-;-;-;-;-;-;-;-;-;9
"210320 Chapadinha";16;13;5;-;-;-;-;-;-;-;-;3;37
"210325 Cidelândia";1;-;-;-;9;-;-;3;-;-;-;-;13
"210330 Codó";-;1;-;1;3;1;-;-;1;-;-;-;7
"210340 Coelho Neto";1;20;11;1;1;2;1;-;-;-;2;1;40
"210350 Colinas";-;-;-;-;-;1;-;-;-;-;-;-;1
"210355 Conceição do Lago-Açu";12;38;-;-;1;-;-;1;-;-;2;30;84
"210360 Coroatá";12;32;8;9;11;4;1;1;-;2;-;1;81
"210370 Cururupu";16;2;3;1;-;-;-;2;-;-;-;19;43
