"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210005 Açailândia";15;2;5;5;-;-;-;-;-;-;-;-;27
"210030 Aldeias Altas";7;1;7;3;1;-;-;-;-;-;-;2;21
"210043 Alto Alegre do Maranhão";1;-;1;-;-;-;-;-;-;-;-;-;2
"210047 Alto Alegre do Pindaré";-;1;6;1;-;-;-;-;-;-;-;1;9
"210050 Alto Parnaíba";-;-;2;3;2;-;-;-;-;-;-;2;9
"210055 Amapá do Maranhão";-;-;-;4;-;-;-;-;-;-;-;-;4
"210060 Amarante do Maranhão";-;1;8;9;12;9;5;-;-;-;-;1;45
"210080 Anapurus";-;-;5;-;-;-;-;-;-;-;-;-;5
"210087 Araguanã";-;-;-;-;1;-;-;-;-;-;-;-;1
"210090 Araioses";2;2;8;23;4;7;7;1;-;-;1;-;55
"210095 Arame";1;-;6;4;-;1;-;-;-;-;-;-;12
"210100 Arari";-;-;1;3;-;-;-;-;-;-;-;-;4
"210110 Axixá";-;-;-;-;1;8;5;1;-;-;-;1;16
"210120 Bacabal";-;1;26;24;-;-;-;1;-;-;-;-;52
"210125 Bacabeira";1;7;-;4;1;-;-;-;-;-;-;-;13
"210140 Balsas";1;1;27;18;7;-;-;-;1;-;1;-;56
"210150 Barão de Grajaú";-;-;-;1;-;-;-;1;1;-;-;-;3
"210160 Barra do Corda";21;126;177;101;35;5;2;-;1;3;7;40;518
"210170 Barreirinhas";-;-;1;-;-;-;-;-;-;-;1;-;2
"210177 Bela Vista do Maranhão";-;-;5;2;1;-;-;-;-;-;-;-;8
"210190 Bequimão";6;3;21;17;34;17;25;21;7;3;-;-;154
"210200 Bom Jardim";-;-;5;-;1;-;-;-;-;-;-;-;6
"210203 Bom Jesus das Selvas";-;-;5;2;-;-;-;-;-;-;-;-;7
"210207 Bom Lugar";-;-;6;3;1;-;-;-;-;-;-;-;10
"210210 Brejo";-;-;8;20;2;3;-;-;-;-;-;2;35
"210215 Brejo de Areia";-;1;-;-;-;-;-;-;-;-;-;-;1
"210230 Buriti Bravo";-;29;31;16;-;1;-;-;-;-;-;-;77
"210232 Buriticupu";-;4;129;68;4;6;-;-;-;-;-;-;211
"210235 Buritirana";1;-;-;-;-;-;-;-;-;-;-;-;1
"210255 Campestre do Maranhão";-;13;162;104;26;5;8;5;1;3;-;-;327
"210260 Cândido Mendes";-;-;1;-;-;-;-;-;-;-;-;-;1
"210270 Cantanhede";1;-;4;3;-;5;-;-;-;2;4;4;23
"210275 Capinzal do Norte";-;-;1;-;-;-;-;-;-;-;1;-;2
"210280 Carolina";1;3;5;7;11;5;2;-;-;-;-;-;34
"210300 Caxias";141;59;30;4;-;2;2;1;-;-;-;8;247
"210317 Centro Novo do Maranhão";-;-;-;-;1;-;-;-;-;-;-;-;1
"210320 Chapadinha";8;77;130;-;-;-;-;-;-;-;-;-;215
"210325 Cidelândia";1;1;1;2;4;-;-;-;-;-;-;-;9
"210330 Codó";-;14;2;3;-;-;-;-;-;-;-;-;19
"210340 Coelho Neto";-;1;1;-;-;-;-;-;-;-;-;-;2
"210350 Colinas";1;1;1;-;-;1;-;-;-;-;-;-;4
"210355 Conceição do Lago-Açu";-;-;-;-;1;-;-;-;-;-;-;-;1
"210360 Coroatá";-;-;-;1;-;-;-;-;-;-;-;-;1
"210370 Cururupu";6;2;7;4;7;-;1;1;-;59;50;19;156
"210380 Dom Pedro";1;4;8;4;-;2;1;-;-;-;-;-;20
"210405 Estreito";-;-;2;1;-;-;-;-;-;-;-;-;3
"210407 Feira Nova do Maranhão";-;1;1;2;-;-;-;-;-;5;1;-;10
"210408 Fernando Falcão";-;3;15;-;-;-;-;-;-;-;-;-;18
"210409 Formosa da Serra Negra";-;3;1;2;1;-;-;-;-;-;-;-;7
"210410 Fortaleza dos Nogueiras";-;-;-;-;-;2;-;-;-;-;-;-;2
"210420 Fortuna";-;5;12;11;-;-;-;-;-;-;-;-;28
"210450 Governador Archer";-;-;2;10;12;4;-;-;-;-;-;-;28
"210455 Governador Edison Lobão";-;2;14;3;-;1;-;-;-;-;-;-;20
"210480 Grajaú";2;4;11;2;5;-;-;-;-;-;-;-;24
"210490 Guimarães";-;-;-;-;-;-;-;3;2;1;-;-;6
"210500 Humberto de Campos";-;-;5;2;2;-;-;-;-;-;-;-;9
"210515 Igarapé do Meio";-;-;13;5;9;1;-;-;-;-;-;-;28
"210530 Imperatriz";10;15;95;57;19;8;3;7;5;1;4;3;227
"210535 Itaipava do Grajaú";-;2;5;1;-;-;-;-;-;-;-;-;8
"210540 Itapecuru Mirim";-;1;15;3;1;-;-;-;-;-;-;-;20
"210550 João Lisboa";1;-;13;2;-;-;-;-;-;-;-;-;16
"210565 Junco do Maranhão";-;-;3;1;1;-;-;-;-;1;-;-;6
"210570 Lago da Pedra";-;-;12;3;-;-;-;-;1;-;-;1;17
"210594 Lago dos Rodrigues";-;-;2;-;-;-;-;-;-;-;-;-;2
"210590 Lago Verde";-;-;1;-;-;-;-;-;-;-;-;1;2
"210592 Lagoa do Mato";-;2;1;1;-;-;-;-;-;-;-;-;4
"210598 Lajeado Novo";-;-;2;4;3;-;-;1;1;-;13;1;25
"210600 Lima Campos";-;-;-;1;-;-;-;-;-;-;-;-;1
"210610 Loreto";-;-;-;2;-;-;-;-;-;-;-;-;2
"210632 Maracaçumé";-;-;3;5;4;-;-;-;-;-;-;-;12
"210650 Matinha";-;-;-;-;-;-;-;2;-;-;-;-;2
"210660 Matões";11;6;7;2;-;-;-;-;-;1;-;-;27
"210663 Matões do Norte";-;2;1;1;-;-;-;-;-;-;-;-;4
"210667 Milagres do Maranhão";-;-;2;-;-;-;-;-;-;-;-;-;2
"210670 Mirador";-;-;10;-;-;-;-;-;-;-;-;-;10
"210675 Miranda do Norte";-;1;15;-;-;-;-;-;-;-;-;-;16
"210680 Mirinzal";-;1;-;-;-;-;-;-;6;-;-;-;7
"210690 Monção";-;-;1;-;-;-;-;-;-;-;-;-;1
"210710 Morros";-;-;-;-;1;-;-;-;-;-;-;-;1
"210720 Nina Rodrigues";-;-;2;1;-;-;-;-;-;-;1;-;4
"210730 Nova Iorque";-;1;2;1;1;-;-;-;-;-;-;-;5
"210735 Nova Olinda do Maranhão";-;7;37;6;51;7;-;-;-;-;-;-;108
"210750 Paço do Lumiar";1;1;5;9;3;2;4;-;-;-;3;-;28
"210770 Paraibano";2;11;38;34;7;1;-;-;-;-;-;1;94
"210780 Parnarama";1;-;13;3;-;-;-;-;-;-;-;-;17
