"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;1;3;5;6;-;2;3;-;1;-;-;21
"510020 Água Boa";1;3;5;12;2;-;7;27;56;99;137;156;505
"510025 Alta Floresta";13;17;30;18;16;20;5;7;7;29;94;106;362
"510030 Alto Araguaia";-;-;-;1;-;-;-;-;-;-;-;-;1
"510035 Alto Boa Vista";-;-;-;-;-;3;3;3;6;2;3;1;21
"510040 Alto Garças";-;-;-;-;-;-;-;1;1;2;12;2;18
"510050 Alto Paraguai";7;1;8;5;4;3;1;1;1;2;1;6;40
"510060 Alto Taquari";-;-;2;-;1;-;-;-;-;-;-;-;3
"510080 Apiacás";-;1;-;1;-;-;-;-;-;-;1;-;3
"510100 Araguaiana";-;-;-;-;-;-;1;-;1;15;42;42;101
"510120 Araguainha";-;-;-;-;1;-;-;-;-;-;-;-;1
"510125 Araputanga";29;69;118;88;41;7;1;1;-;3;2;9;368
"510130 Arenápolis";-;3;-;6;58;41;8;1;3;3;4;7;134
"510140 Aripuanã";164;119;22;28;7;13;5;6;-;8;6;16;394
"510160 Barão de Melgaço";-;2;-;3;-;-;-;-;-;-;-;-;5
"510170 Barra do Bugres";6;13;13;20;16;7;4;2;2;5;13;13;114
"510180 Barra do Garças";33;37;31;38;43;20;26;33;5;7;16;82;371
"510185 Bom Jesus do Araguaia";-;-;-;-;-;-;-;-;-;1;-;-;1
"510190 Brasnorte";2;2;1;1;-;-;11;2;7;-;4;6;36
"510250 Cáceres";-;8;75;45;57;18;22;18;4;26;37;71;381
"510260 Campinápolis";3;10;25;8;16;14;11;4;1;2;-;-;94
"510263 Campo Novo do Parecis";5;5;18;12;15;10;15;9;6;6;6;17;124
"510267 Campo Verde";27;45;42;35;31;11;7;4;8;6;7;86;309
"510268 Campos de Júlio";1;5;48;62;68;39;11;6;9;20;24;25;318
"510269 Canabrava do Norte";1;1;2;-;-;-;-;-;-;-;-;-;4
"510270 Canarana";1;10;9;15;27;17;13;10;-;1;1;3;107
"510279 Carlinda";-;-;3;4;16;-;10;26;8;19;46;13;145
"510285 Castanheira";1;1;1;9;28;48;40;35;26;46;17;1;253
"510300 Chapada dos Guimarães";-;-;8;41;12;5;3;1;1;5;7;4;87
"510305 Cláudia";3;8;13;10;33;41;16;13;6;6;18;1;168
"510310 Cocalinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"510320 Colíder";2;2;1;9;23;13;1;2;5;5;4;4;71
"510325 Colniza";6;1;1;1;3;-;-;-;-;-;1;6;19
