"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510010 Acorizal";-;-;7;10;16;-;-;-;-;-;-;-;33
"510020 Água Boa";2;1;15;11;17;5;3;5;1;-;2;26;88
"510025 Alta Floresta";20;19;44;47;106;54;23;5;12;4;101;332;767
"510030 Alto Araguaia";3;3;6;53;46;12;1;-;-;-;1;4;129
"510035 Alto Boa Vista";-;-;-;-;2;1;1;-;-;-;-;-;4
"510040 Alto Garças";-;4;10;20;7;7;3;-;1;-;2;-;54
"510050 Alto Paraguai";-;-;-;-;-;-;-;-;-;-;4;1;5
"510060 Alto Taquari";11;10;19;24;41;4;4;1;-;-;1;1;116
"510080 Apiacás";-;-;-;-;1;-;-;-;-;-;-;-;1
"510100 Araguaiana";1;-;2;-;-;-;-;-;-;-;-;-;3
"510120 Araguainha";-;2;-;-;5;-;-;-;-;-;-;-;7
"510125 Araputanga";-;3;5;9;8;10;4;6;-;13;17;18;93
"510130 Arenápolis";1;-;1;2;-;-;-;-;-;-;7;25;36
"510140 Aripuanã";2;1;15;56;173;29;31;14;9;35;38;29;432
"510170 Barra do Bugres";-;-;1;5;8;1;-;-;-;-;-;2;17
"510180 Barra do Garças";9;17;19;23;24;10;13;5;4;11;35;94;264
"510185 Bom Jesus do Araguaia";-;-;-;-;2;2;-;1;-;1;-;18;24
"510190 Brasnorte";1;1;8;1;8;3;4;3;-;1;11;24;65
"510250 Cáceres";-;1;13;17;8;6;2;9;5;6;10;1;78
"510260 Campinápolis";-;1;-;2;1;1;-;-;1;13;3;5;27
"510263 Campo Novo do Parecis";-;4;28;217;286;193;57;19;5;8;11;20;848
"510267 Campo Verde";6;8;19;39;85;48;27;9;3;10;44;84;382
"510268 Campos de Júlio";1;1;1;4;2;-;-;-;-;1;6;13;29
"510269 Canabrava do Norte";1;-;1;3;1;-;-;-;1;-;-;-;7
"510270 Canarana";1;-;23;36;55;68;27;22;5;-;10;27;274
"510279 Carlinda";6;1;6;15;12;-;-;-;-;-;2;43;85
"510285 Castanheira";6;19;22;17;11;2;1;-;-;1;6;5;90
"510300 Chapada dos Guimarães";-;-;5;3;10;2;-;1;1;1;12;17;52
"510305 Cláudia";1;2;3;6;8;-;-;1;-;2;21;13;57
"510310 Cocalinho";1;1;34;103;40;7;5;1;-;-;-;-;192
"510320 Colíder";3;13;21;34;20;13;5;12;4;9;14;14;162
"510325 Colniza";33;43;30;32;22;7;9;6;30;123;278;255;868
"510330 Comodoro";1;10;5;11;15;4;10;3;2;2;5;24;92
"510335 Confresa";-;1;5;12;13;5;-;1;-;1;-;1;39
"510337 Cotriguaçu";2;4;6;4;4;3;6;2;-;1;7;20;59
"510340 Cuiabá";85;178;463;510;544;284;229;274;299;309;471;576;4222
"510343 Curvelândia";-;-;1;-;-;-;-;-;-;-;-;3;4
"510350 Diamantino";-;1;-;1;-;2;-;-;-;-;2;-;6
"510360 Dom Aquino";-;-;-;-;1;2;-;-;-;-;6;4;13
"510370 Feliz Natal";3;6;-;7;8;9;12;5;10;5;3;12;80
"510380 Figueirópolis D'Oeste";-;-;2;3;2;1;-;-;-;-;1;-;9
"510385 Gaúcha do Norte";1;2;3;6;5;5;7;3;1;2;5;3;43
"510390 General Carneiro";-;1;1;-;-;-;-;-;-;-;3;4;9
"510395 Glória D'Oeste";-;-;-;-;-;-;-;3;6;5;-;3;17
"510410 Guarantã do Norte";7;16;51;14;25;27;9;4;3;7;11;78;252
"510420 Guiratinga";8;10;9;3;6;1;1;1;-;-;-;3;42
"510450 Indiavaí";1;1;-;-;-;-;-;-;-;3;-;-;5
"510452 Ipiranga do Norte";1;-;1;3;4;2;1;-;-;-;-;-;12
"510454 Itanhangá";4;7;7;21;15;9;3;-;-;1;3;2;72
"510455 Itaúba";-;4;2;13;15;4;6;5;2;2;21;63;137
"510460 Itiquira";3;-;-;-;-;2;-;3;-;-;2;16;26
"510480 Jaciara";-;8;7;28;36;26;17;17;1;1;12;17;170
"510500 Jauru";-;1;3;3;10;4;1;2;2;1;1;2;30
"510510 Juara";132;131;38;3;-;-;-;2;-;2;11;41;360
"510515 Juína";16;11;36;18;9;2;2;2;2;1;6;22;127
"510517 Juruena";2;1;-;2;1;2;2;1;-;-;5;34;50
"510520 Juscimeira";-;-;-;1;2;5;1;-;1;-;-;3;13
"510523 Lambari D'Oeste";-;-;-;1;-;4;-;-;-;-;-;-;5
"510525 Lucas do Rio Verde";5;8;18;58;36;19;12;3;2;3;6;25;195
"510558 Marcelândia";2;1;3;17;6;16;2;4;1;3;18;51;124
"510560 Matupá";4;4;46;128;122;96;32;9;6;6;47;109;609
"510562 Mirassol d'Oeste";-;2;6;5;8;3;45;97;23;7;11;17;224
"510590 Nobres";-;-;4;1;6;2;1;2;-;-;1;5;22
"510600 Nortelândia";1;1;1;1;6;1;3;-;-;-;-;-;14
"510610 Nossa Senhora do Livramento";-;-;2;2;4;2;-;-;-;-;3;1;14
"510615 Nova Bandeirantes";-;-;2;2;-;-;-;-;-;-;-;-;4
"510620 Nova Brasilândia";-;1;4;3;6;-;-;4;3;4;2;-;27
"510621 Nova Canaã do Norte";3;3;1;4;4;3;5;6;1;-;2;2;34
"510880 Nova Guarita";-;2;-;-;-;-;-;-;-;1;1;21;25
"510618 Nova Lacerda";1;-;-;4;2;1;2;9;-;-;4;2;25
"510885 Nova Marilândia";-;1;1;-;-;-;-;-;-;-;-;-;2
"510890 Nova Maringá";2;2;1;1;-;1;-;-;-;-;1;3;11
"510895 Nova Monte Verde";5;1;-;-;-;1;-;-;-;1;-;1;9
"510622 Nova Mutum";4;6;20;28;75;76;40;8;3;1;5;25;291
"510623 Nova Olímpia";4;3;13;9;3;-;-;-;-;-;1;-;33
"510619 Nova Santa Helena";1;1;1;7;11;11;5;2;-;-;3;10;52
"510624 Nova Ubiratã";-;3;12;2;5;15;2;2;-;1;10;19;71
"510625 Nova Xavantina";4;3;3;13;5;7;1;-;-;-;1;6;43
"510627 Novo Horizonte do Norte";8;19;14;12;12;2;1;-;-;-;1;5;74
"510626 Novo Mundo";-;1;4;26;14;1;1;-;-;-;-;1;48
"510631 Novo Santo Antônio";1;-;-;1;-;-;-;-;-;-;-;-;2
"510628 Novo São Joaquim";1;-;3;1;-;4;-;2;-;2;12;21;46
"510629 Paranaíta";11;20;11;18;8;1;-;-;1;1;1;17;89
"510630 Paranatinga";-;2;3;13;31;4;7;2;2;8;6;10;88
"510637 Pedra Preta";-;2;1;-;-;-;1;-;1;1;-;-;6
"510642 Peixoto de Azevedo";-;1;15;8;3;5;3;-;-;2;66;98;201
"510645 Planalto da Serra";-;-;2;1;-;-;-;-;-;-;-;-;3
"510650 Poconé";5;4;17;41;49;27;16;7;2;7;8;12;195
"510665 Pontal do Araguaia";-;-;5;1;-;-;-;-;-;-;1;18;25
"510670 Ponte Branca";2;1;2;3;1;-;-;-;-;-;-;-;9
"510675 Pontes e Lacerda";8;9;15;7;19;5;4;4;4;2;6;31;114
"510680 Porto dos Gaúchos";1;5;2;3;1;3;1;-;-;1;-;4;21
"510700 Poxoréo";3;-;4;-;8;11;1;1;-;-;-;17;45
"510704 Primavera do Leste";13;16;30;92;131;58;7;11;4;17;39;139;557
"510706 Querência";-;-;6;27;69;12;3;1;-;-;-;-;118
"510715 Reserva do Cabaçal";-;-;-;-;-;1;-;-;-;1;2;18;22
"510718 Ribeirão Cascalheira";1;-;3;2;4;2;-;1;3;1;2;24;43
"510719 Ribeirãozinho";4;14;32;23;10;1;-;-;-;-;-;2;86
"510720 Rio Branco";-;-;7;2;8;36;26;15;6;15;13;12;140
"510760 Rondonópolis";25;24;57;77;152;52;14;2;2;2;9;13;429
"510770 Rosário Oeste";2;1;5;5;1;2;6;1;-;1;2;24;50
"510775 Salto do Céu";-;-;3;3;1;1;1;1;2;1;13;-;26
"510724 Santa Carmem";28;56;71;53;39;8;-;1;-;-;1;-;257
"510776 Santa Rita do Trivelato";-;6;8;39;24;10;3;-;-;-;-;2;92
"510726 Santo Afonso";-;-;-;-;-;-;-;1;-;1;3;-;5
"510779 Santo Antônio do Leste";-;-;-;25;5;14;4;5;1;1;5;-;60
"510780 Santo Antônio do Leverger";-;-;12;1;2;-;1;-;-;-;-;-;16
"510785 São Félix do Araguaia";1;-;1;1;1;-;-;-;-;-;-;-;4
"510730 São José do Rio Claro";-;-;-;-;-;1;1;1;-;1;-;4;8
"510735 São José do Xingu";1;2;8;6;3;2;-;2;3;4;2;5;38
"510710 São José dos Quatro Marcos";1;2;4;10;-;-;-;-;-;-;-;-;17
"510740 São Pedro da Cipa";-;-;-;-;1;1;-;-;-;-;-;-;2
"510787 Sapezal";-;2;3;49;39;20;7;4;1;-;-;1;126
"510788 Serra Nova Dourada";2;-;3;5;11;1;-;-;-;-;-;2;24
"510790 Sinop";182;224;329;336;339;247;111;64;90;121;241;283;2567
"510792 Sorriso";9;11;29;83;108;109;35;19;11;12;20;51;497
"510794 Tabaporã";12;8;37;42;10;1;-;-;-;1;5;7;123
"510795 Tangará da Serra";2;5;12;14;50;45;34;12;6;10;38;87;315
"510800 Tapurah";1;-;8;4;2;1;5;2;-;1;1;10;35
"510805 Terra Nova do Norte";1;4;-;1;3;1;2;4;-;-;2;16;34
"510810 Tesouro";1;1;6;20;26;11;1;-;1;3;1;2;73
"510820 Torixoréu";35;17;21;5;10;1;1;-;1;-;2;3;96
"510830 União do Sul";-;-;1;1;-;1;-;-;-;-;-;7;10
"510835 Vale de São Domingos";1;3;-;2;2;2;-;-;-;-;2;-;12
"510840 Várzea Grande";18;16;77;195;263;128;76;225;175;60;37;29;1299
"510850 Vera";1;-;4;3;-;2;9;19;9;50;111;123;331
"510550 Vila Bela da Santíssima Trindade";-;-;-;-;-;-;-;-;-;-;-;1;1
"510860 Vila Rica";-;-;-;2;1;-;1;1;-;-;-;-;5
"Total";792;1066;2011;3001;3500;1976;1060;1002;775;936;1979;3398;21496
