"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";3;1;9;8;2;5;2;7;1;6;4;2;50
"150013 Abel Figueiredo";9;3;2;3;2;-;1;-;-;-;-;-;20
"150020 Acará";15;31;47;18;8;3;-;5;-;-;-;-;127
"150030 Afuá";-;2;-;-;-;-;-;1;-;-;1;-;4
"150034 Água Azul do Norte";-;1;9;1;3;-;-;-;-;-;-;-;14
"150040 Alenquer";-;-;1;-;-;-;-;-;-;-;-;-;1
"150050 Almeirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"150060 Altamira";1;-;-;5;1;-;2;1;7;153;173;69;412
"150080 Ananindeua";57;53;61;28;12;11;2;7;5;7;24;7;274
"150085 Anapu";-;-;-;-;7;-;-;1;-;-;-;-;8
"150090 Augusto Corrêa";21;8;6;1;-;-;-;-;1;-;-;2;39
"150095 Aurora do Pará";8;8;8;1;-;-;-;-;-;-;-;1;26
"150100 Aveiro";-;1;-;2;-;-;-;-;-;-;-;-;3
"150120 Baião";-;-;2;-;2;1;-;-;-;-;-;-;5
"150125 Bannach";-;1;3;2;3;1;-;-;-;-;-;-;10
"150130 Barcarena";13;20;5;4;1;-;-;1;-;-;-;1;45
"150140 Belém";187;328;381;175;104;85;49;38;33;30;30;38;1478
"150145 Belterra";19;37;13;10;9;5;3;-;1;-;-;-;97
"150150 Benevides";20;23;25;17;10;4;1;3;-;1;3;6;113
"150157 Bom Jesus do Tocantins";2;21;9;9;9;2;1;-;-;1;-;-;54
"150160 Bonito";-;-;1;1;1;-;-;-;-;-;-;-;3
"150170 Bragança";18;12;16;2;1;1;6;-;-;-;-;2;58
"150172 Brasil Novo";1;-;-;-;-;-;-;2;-;-;1;2;6
"150175 Brejo Grande do Araguaia";-;-;-;3;3;1;-;-;-;-;-;-;7
"150178 Breu Branco";7;81;96;120;61;1;-;-;-;-;-;-;366
"150180 Breves";-;7;3;2;-;-;-;-;-;1;1;-;14
"150190 Bujaru";-;-;2;-;-;-;-;-;-;-;-;-;2
"150195 Cachoeira do Piriá";2;2;4;-;1;-;1;-;-;-;1;1;12
"150210 Cametá";1;5;3;1;-;-;-;-;-;-;-;1;11
"150215 Canaã dos Carajás";-;4;-;3;12;3;-;-;-;-;-;-;22
"150220 Capanema";11;6;1;6;1;6;2;1;5;-;3;2;44
"150230 Capitão Poço";3;2;3;-;-;1;-;1;-;1;-;-;11
"150240 Castanhal";51;27;43;20;8;6;3;4;3;-;-;7;172
"150260 Colares";1;1;8;4;3;-;1;-;-;-;-;-;18
"150270 Conceição do Araguaia";8;5;59;26;16;4;1;2;-;-;-;-;121
"150275 Concórdia do Pará";11;5;2;1;-;-;-;-;-;-;-;-;19
"150276 Cumaru do Norte";4;7;2;5;6;2;-;-;-;-;-;-;26
"150277 Curionópolis";7;3;2;10;3;3;1;-;-;-;1;2;32
"150280 Curralinho";1;-;1;-;-;-;-;-;1;-;-;-;3
"150290 Curuçá";1;-;1;-;-;-;-;-;-;-;-;-;2
"150293 Dom Eliseu";11;11;31;15;11;1;-;1;-;-;-;-;81
"150295 Eldorado do Carajás";5;3;1;1;2;1;-;-;-;-;-;5;18
"150304 Floresta do Araguaia";27;33;31;1;-;1;1;-;-;-;4;-;98
"150307 Garrafão do Norte";-;1;1;-;-;1;1;-;-;-;-;-;4
"150309 Goianésia do Pará";3;9;12;10;20;12;1;6;3;2;1;1;80
"150310 Gurupá";-;-;1;-;1;-;-;-;-;-;-;-;2
"150320 Igarapé-Açu";-;-;-;-;2;-;-;-;-;-;-;-;2
"150330 Igarapé-Miri";3;2;1;-;-;1;1;-;-;-;-;-;8
"150340 Inhangapi";3;1;1;-;-;1;-;-;2;-;1;-;9
"150345 Ipixuna do Pará";-;2;4;2;2;-;-;1;-;-;-;1;12
"150350 Irituia";2;19;18;3;-;-;-;-;1;-;-;-;43
"150360 Itaituba";13;3;9;4;1;11;7;12;2;7;9;13;91
"150370 Itupiranga";4;4;1;-;-;-;-;-;-;-;-;1;10
"150380 Jacundá";14;18;4;22;28;9;5;2;-;1;-;1;104
"150390 Juruti";8;88;92;28;11;7;3;-;1;-;-;-;238
"150400 Limoeiro do Ajuru";-;1;3;2;-;-;-;-;-;1;-;-;7
"150405 Mãe do Rio";7;12;17;8;5;-;-;-;-;-;-;-;49
"150420 Marabá";27;25;84;53;33;15;2;2;1;1;3;3;249
"150430 Maracanã";-;1;-;1;6;8;1;2;-;-;-;-;19
"150440 Marapanim";2;-;-;-;-;-;3;-;-;-;-;-;5
"150442 Marituba";26;35;38;19;6;7;1;3;5;3;26;6;175
"150445 Medicilândia";-;-;-;-;-;-;-;-;-;3;-;-;3
"150460 Mocajuba";2;1;-;1;-;-;-;-;-;-;-;-;4
"150470 Moju";5;7;1;3;8;4;9;3;5;5;7;-;57
"150480 Monte Alegre";4;3;2;15;13;29;16;-;-;-;-;-;82
"150490 Muaná";3;-;1;-;-;-;-;-;-;-;-;-;4
"150495 Nova Esperança do Piriá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150500 Nova Timboteua";-;-;-;2;1;-;-;2;1;-;-;-;6
"150503 Novo Progresso";1;18;7;5;-;-;-;-;-;-;-;6;37
"150506 Novo Repartimento";-;3;6;7;-;-;-;-;-;-;1;-;17
"150510 Óbidos";1;1;-;-;-;-;-;-;-;-;1;-;3
"150520 Oeiras do Pará";-;1;1;1;-;-;-;-;-;-;-;-;3
"150530 Oriximiná";4;3;1;-;-;1;-;-;-;-;-;-;9
"150540 Ourém";-;2;2;-;-;-;-;-;-;-;-;-;4
"150543 Ourilândia do Norte";9;9;8;21;10;5;-;1;2;1;3;8;77
"150548 Pacajá";3;1;2;1;3;2;-;1;-;-;-;1;14
"150550 Paragominas";16;9;12;5;1;3;-;1;-;-;-;2;49
"150553 Parauapebas";29;61;36;25;26;11;5;2;1;2;4;6;208
"150555 Pau D'Arco";2;7;1;3;1;1;-;-;-;1;-;1;17
"150560 Peixe-Boi";-;1;-;-;1;-;-;1;-;-;-;-;3
"150563 Piçarra";-;2;4;-;-;-;-;-;-;-;-;-;6
"150565 Placas";1;17;57;16;9;2;-;-;-;-;-;2;104
"150570 Ponta de Pedras";1;20;21;3;-;1;-;-;-;-;1;-;47
"150580 Portel";4;4;2;1;1;-;-;-;-;-;-;-;12
"150590 Porto de Moz";-;1;1;-;-;-;-;-;-;-;-;-;2
"150600 Prainha";-;-;-;-;-;1;-;-;-;-;-;-;1
"150610 Primavera";1;2;3;2;4;3;5;2;20;5;-;-;47
"150611 Quatipuru";2;1;4;2;-;-;1;-;-;2;11;1;24
"150613 Redenção";23;40;25;13;-;1;-;1;1;7;-;2;113
"150616 Rio Maria";6;6;26;5;2;-;-;1;-;-;1;3;50
"150618 Rondon do Pará";7;7;11;10;7;1;3;2;2;2;3;1;56
"150619 Rurópolis";18;53;179;129;4;2;-;-;-;-;-;1;386
"150620 Salinópolis";-;1;3;1;3;3;-;1;10;1;3;4;30
"150630 Salvaterra";-;-;2;-;-;-;-;-;1;1;-;-;4
"150635 Santa Bárbara do Pará";4;8;3;1;1;2;-;5;-;1;-;1;26
"150650 Santa Izabel do Pará";4;9;3;1;-;-;2;1;-;1;-;1;22
"150655 Santa Luzia do Pará";1;-;-;-;-;-;-;-;-;-;-;-;1
"150658 Santa Maria das Barreiras";8;1;2;1;-;-;-;-;-;-;-;-;12
"150660 Santa Maria do Pará";4;3;2;1;4;1;-;-;1;-;-;-;16
"150670 Santana do Araguaia";-;-;2;1;4;1;-;-;-;-;-;1;9
"150680 Santarém";18;34;23;4;4;5;5;3;1;3;2;6;108
"150690 Santarém Novo";-;-;-;1;-;-;-;-;-;-;-;-;1
"150700 Santo Antônio do Tauá";6;5;1;1;1;-;-;-;-;-;-;-;14
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;2;-;-;-;2
"150715 São Domingos do Araguaia";19;13;12;16;6;2;4;1;-;-;-;-;73
"150720 São Domingos do Capim";-;-;2;-;-;1;-;-;1;-;-;-;4
"150730 São Félix do Xingu";36;18;13;5;15;5;7;-;2;4;33;22;160
"150740 São Francisco do Pará";5;-;3;2;-;1;-;-;-;-;2;4;17
"150745 São Geraldo do Araguaia";24;25;27;10;16;9;1;-;-;-;-;-;112
"150746 São João da Ponta";-;1;-;-;-;-;-;2;-;-;-;-;3
"150747 São João de Pirabas";-;-;-;1;-;1;-;-;-;-;-;-;2
"150750 São João do Araguaia";7;4;4;-;1;1;1;1;2;3;2;-;26
"150760 São Miguel do Guamá";3;3;3;2;5;2;-;1;2;-;-;-;21
"150770 São Sebastião da Boa Vista";1;-;-;-;-;-;-;-;-;-;-;-;1
"150775 Sapucaia";5;2;12;5;5;-;-;-;-;-;-;-;29
"150780 Senador José Porfírio";-;-;-;-;-;-;-;-;-;-;1;1;2
"150790 Soure";-;1;13;9;1;5;3;-;-;-;-;-;32
"150795 Tailândia";-;11;4;5;1;-;-;-;-;-;-;-;21
"150796 Terra Alta";3;4;-;-;-;-;-;-;-;-;-;-;7
"150800 Tomé-Açu";4;2;-;-;3;6;2;-;-;-;2;1;20
"150803 Tracuateua";-;2;-;-;1;-;-;-;-;-;-;-;3
"150808 Tucumã";7;11;13;9;9;1;1;-;1;2;2;2;58
"150810 Tucuruí";-;10;7;11;1;-;1;-;-;-;-;-;30
"150812 Ulianópolis";2;8;-;-;-;-;-;-;-;-;-;-;10
"150815 Uruará";-;-;8;21;16;16;21;15;1;-;-;-;98
"150820 Vigia";3;17;7;2;2;-;-;2;-;-;1;-;34
"150830 Viseu";-;3;3;1;-;2;1;-;-;-;-;-;10
"150835 Vitória do Xingu";-;-;3;2;-;-;-;1;-;3;1;1;11
"150840 Xinguara";22;22;40;48;30;10;1;-;1;1;6;3;184
"Total";965;1472;1805;1089;637;361;191;153;129;263;373;255;7693
