"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150010 Abaetetuba";-;1;1;1;4;1;2;2;3;6;5;8;34
"150013 Abel Figueiredo";1;-;1;-;1;2;8;1;-;-;-;-;14
"150020 Acará";-;-;-;-;-;-;-;-;-;-;-;1;1
"150030 Afuá";-;-;1;-;-;-;-;-;-;-;-;-;1
"150034 Água Azul do Norte";-;1;-;-;-;4;-;5;3;5;2;2;22
"150040 Alenquer";1;2;31;57;40;12;17;13;7;13;12;15;220
"150060 Altamira";25;112;52;31;21;11;7;4;6;5;4;6;284
"150080 Ananindeua";6;18;42;41;48;55;40;27;13;12;24;76;402
"150085 Anapu";-;-;-;-;-;1;1;2;-;-;11;-;15
"150090 Augusto Corrêa";-;-;1;3;8;11;7;3;-;4;-;1;38
"150095 Aurora do Pará";2;-;-;-;-;-;-;-;-;-;-;-;2
"150110 Bagre";1;-;-;6;17;26;-;1;3;7;-;-;61
"150120 Baião";-;-;-;-;-;-;-;-;-;-;-;1;1
"150125 Bannach";-;3;5;1;-;-;-;-;-;-;1;4;14
"150130 Barcarena";-;1;2;2;1;1;-;1;1;1;1;3;14
"150140 Belém";78;110;224;223;205;154;73;97;92;82;72;61;1471
"150145 Belterra";-;-;-;-;9;1;1;-;-;-;-;1;12
"150150 Benevides";2;1;7;2;-;3;5;11;6;6;8;6;57
"150157 Bom Jesus do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;-;1;-;-;-;1;2;1;2;1;-;8
"150170 Bragança";1;1;5;9;4;3;1;5;5;3;8;21;66
"150172 Brasil Novo";3;17;40;48;39;18;25;12;11;6;-;1;220
"150175 Brejo Grande do Araguaia";1;-;14;1;-;-;-;1;-;-;3;3;23
"150178 Breu Branco";1;5;4;2;9;4;-;-;-;-;-;-;25
"150180 Breves";-;10;44;14;19;11;28;38;18;9;11;8;210
"150195 Cachoeira do Piriá";-;-;-;-;4;-;-;-;-;-;-;-;4
"150210 Cametá";2;3;1;-;5;3;6;6;4;5;2;-;37
