"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";1;1;9;9;10;11;17;15;38;66;116;90;383
"110037 Alto Alegre dos Parecis";1;-;1;2;12;4;2;-;1;2;11;15;51
"110040 Alto Paraíso";1;5;22;1;-;-;-;-;-;-;2;1;32
"110034 Alvorada D'Oeste";38;86;12;3;9;5;-;-;-;1;-;2;156
"110002 Ariquemes";57;158;391;53;14;8;6;5;5;10;20;32;759
"110045 Buritis";9;7;47;1;1;-;1;2;-;18;250;327;663
"110003 Cabixi";2;3;4;-;1;-;-;1;-;-;1;8;20
"110060 Cacaulândia";1;1;23;-;-;-;-;-;-;-;2;4;31
"110004 Cacoal";13;20;54;81;173;160;128;82;51;121;265;452;1600
"110070 Campo Novo de Rondônia";-;-;1;-;-;-;-;-;-;1;-;2;4
"110080 Candeias do Jamari";3;1;1;1;2;1;-;-;-;-;1;23;33
"110090 Castanheiras";2;-;4;1;-;-;-;-;-;-;-;3;10
"110005 Cerejeiras";19;61;94;29;16;6;6;2;2;-;6;6;247
"110092 Chupinguaia";1;39;33;29;7;9;6;2;4;2;-;2;134
"110006 Colorado do Oeste";7;9;55;18;18;9;5;2;-;1;16;81;221
"110007 Corumbiara";1;-;-;-;-;1;-;-;-;-;-;-;2
"110008 Costa Marques";1;-;13;8;5;3;-;-;-;-;2;-;32
"110094 Cujubim";-;1;-;1;-;-;-;-;-;1;2;4;9
"110009 Espigão D'Oeste";8;19;32;19;62;21;10;6;5;15;45;347;589
"110100 Governador Jorge Teixeira";2;3;-;-;-;-;-;3;-;10;85;87;190
"110010 Guajará-Mirim";159;181;199;75;36;9;7;-;1;30;258;211;1166
"110110 Itapuã do Oeste";1;-;-;-;-;-;-;2;-;-;2;16;21
"110011 Jaru";2;7;12;8;7;12;17;14;31;293;1287;900;2590
"110012 Ji-Paraná";45;41;26;22;17;19;4;29;43;98;258;334;936
"110013 Machadinho D'Oeste";2;5;3;2;27;28;20;19;24;85;359;140;714
"110120 Ministro Andreazza";-;-;-;-;1;-;-;-;4;1;23;95;124
"110130 Mirante da Serra";3;7;55;73;2;-;5;11;10;60;138;19;383
"110140 Monte Negro";2;2;3;2;-;-;1;-;1;-;1;8;20
"110014 Nova Brasilândia D'Oeste";1;3;-;1;1;1;1;1;1;1;9;97;117
"110033 Nova Mamoré";4;4;29;11;13;1;1;1;-;-;4;14;82
"110143 Nova União";4;6;2;7;3;1;-;1;1;65;116;136;342
"110050 Novo Horizonte do Oeste";1;-;16;1;-;-;-;32;4;2;-;26;82
"110015 Ouro Preto do Oeste";15;54;143;22;18;8;11;9;5;13;105;233;636
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;1;-;1
"110018 Pimenta Bueno";20;54;181;33;16;13;10;36;42;140;198;278;1021
"110020 Porto Velho";39;44;32;11;25;31;19;10;28;60;385;1122;1806
"110025 Presidente Médici";1;2;5;9;1;1;-;1;-;-;3;9;32
"110147 Primavera de Rondônia";2;1;2;1;-;-;-;-;-;-;2;2;10
"110026 Rio Crespo";-;-;1;1;-;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";3;9;186;68;15;6;12;6;5;25;224;467;1026
"110029 Santa Luzia D'Oeste";-;1;6;4;3;1;1;-;2;7;26;126;177
"110148 São Felipe D'Oeste";-;-;2;2;-;-;3;14;6;12;12;6;57
"110149 São Francisco do Guaporé";7;11;20;3;12;9;-;-;-;-;2;14;78
"110032 São Miguel do Guaporé";28;57;130;102;56;7;3;3;3;9;11;23;432
"110150 Seringueiras";53;63;13;5;2;1;-;-;-;-;3;5;145
"110155 Teixeirópolis";13;67;55;7;1;-;-;-;-;-;3;28;174
"110160 Theobroma";4;4;3;1;2;3;-;1;-;2;28;31;79
"110170 Urupá";-;19;8;4;-;-;-;-;-;-;2;6;39
"110175 Vale do Anari";3;2;14;-;-;3;-;7;7;30;74;37;177
"110180 Vale do Paraíso";-;4;2;7;-;-;1;-;-;-;3;2;19
"110030 Vilhena";198;179;274;157;113;23;18;2;7;13;45;102;1131
"110000 Município ignorado - RO";-;-;-;-;-;1;-;-;-;-;-;-;1
"Total";777;1241;2218;895;701;416;315;319;331;1194;4406;5973;18786
