"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";74;47;17;6;4;1;2;1;-;3;20;7;182
"110037 Alto Alegre dos Parecis";24;79;29;19;8;1;-;1;-;-;6;1;168
"110040 Alto Paraíso";-;5;6;6;5;6;5;4;1;-;13;7;58
"110034 Alvorada D'Oeste";240;149;78;28;3;2;1;-;-;2;5;5;513
"110002 Ariquemes";4;-;8;4;4;3;1;-;-;-;3;8;35
"110045 Buritis";8;9;15;17;8;13;11;4;3;4;10;7;109
"110003 Cabixi";7;14;5;7;3;4;-;-;-;-;-;1;41
"110060 Cacaulândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 Cacoal";34;100;114;71;40;23;14;11;2;6;15;8;438
"110070 Campo Novo de Rondônia";8;16;13;12;13;3;-;-;-;-;1;3;69
"110080 Candeias do Jamari";11;15;3;-;-;2;1;-;-;-;-;-;32
"110090 Castanheiras";2;3;1;-;-;1;-;-;-;-;-;-;7
"110005 Cerejeiras";105;293;309;25;5;-;-;-;-;1;-;2;740
"110092 Chupinguaia";29;19;9;3;3;1;-;1;1;-;1;-;67
"110006 Colorado do Oeste";20;17;7;9;7;3;2;3;2;1;2;3;76
"110007 Corumbiara";10;14;24;13;-;-;-;-;-;-;-;7;68
"110008 Costa Marques";13;28;26;4;2;2;1;1;-;2;58;57;194
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;2;-;2
"110009 Espigão D'Oeste";46;254;230;41;15;7;3;3;14;29;54;18;714
"110100 Governador Jorge Teixeira";-;4;11;6;1;1;-;1;11;6;1;-;42
"110010 Guajará-Mirim";124;72;23;7;2;2;2;-;-;1;5;3;241
"110110 Itapuã do Oeste";4;8;3;-;-;6;1;3;-;-;-;2;27
"110011 Jaru";96;67;34;8;14;18;9;5;11;8;11;1;282
"110012 Ji-Paraná";155;39;2;16;19;6;-;-;-;9;65;74;385
"110013 Machadinho D'Oeste";7;6;14;6;2;10;10;3;4;7;12;20;101
"110120 Ministro Andreazza";39;40;19;9;7;-;-;-;-;-;-;2;116
"110130 Mirante da Serra";27;60;61;11;26;2;1;-;-;-;2;10;200
"110140 Monte Negro";1;4;2;-;1;1;4;-;-;-;-;1;14
"110014 Nova Brasilândia D'Oeste";18;30;25;13;2;-;-;-;-;-;1;-;89
"110033 Nova Mamoré";4;6;2;17;36;4;-;-;4;1;9;2;85
"110143 Nova União";2;19;9;-;-;-;-;-;-;-;1;8;39
"110050 Novo Horizonte do Oeste";34;20;11;12;13;-;2;1;1;2;-;1;97
"110015 Ouro Preto do Oeste";9;8;14;9;10;5;2;3;-;1;1;-;62
"110145 Parecis";7;20;14;4;2;-;-;-;-;-;1;-;48
"110018 Pimenta Bueno";25;9;-;1;1;-;2;-;1;-;-;2;41
"110146 Pimenteiras do Oeste";34;26;15;11;3;-;-;-;-;-;3;-;92
"110020 Porto Velho";360;167;99;39;15;7;4;7;2;1;6;12;719
"110025 Presidente Médici";3;82;71;57;16;3;5;3;1;1;7;6;255
"110147 Primavera de Rondônia";6;1;-;-;-;-;-;-;-;-;2;-;9
"110026 Rio Crespo";-;-;1;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";153;85;54;13;4;2;3;2;1;8;14;17;356
"110029 Santa Luzia D'Oeste";8;3;2;-;-;-;-;1;-;1;-;-;15
"110148 São Felipe D'Oeste";76;11;6;-;3;5;3;2;10;11;12;14;153
"110149 São Francisco do Guaporé";91;110;41;2;1;-;-;-;1;-;-;7;253
"110032 São Miguel do Guaporé";76;36;6;-;1;1;1;-;-;-;-;1;122
"110150 Seringueiras";9;15;10;4;-;-;-;-;-;-;1;-;39
"110155 Teixeirópolis";17;14;1;-;-;-;-;-;-;-;-;-;32
"110160 Theobroma";5;1;1;1;1;-;-;-;-;-;-;-;9
"110170 Urupá";50;10;3;-;-;-;-;-;-;-;-;1;64
"110175 Vale do Anari";21;14;2;1;-;-;-;-;-;12;7;3;60
"110180 Vale do Paraíso";-;3;-;-;1;-;-;1;-;-;-;-;5
"110030 Vilhena";235;301;238;107;39;14;16;7;2;8;4;6;977
"Total";2331;2353;1688;620;340;159;106;68;72;125;355;327;8544
