"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";-;3;-;3;-;-;-;1;-;2;6;18;67;100
"110037 Alto Alegre dos Parecis";-;4;4;-;-;-;-;-;-;-;1;1;2;12
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"110034 Alvorada D'Oeste";-;7;6;9;3;4;2;3;-;1;-;-;-;35
"110002 Ariquemes";-;8;3;5;3;-;-;-;-;-;1;1;-;21
"110045 Buritis";-;19;19;25;16;10;4;5;2;2;7;25;35;169
"110003 Cabixi";-;1;1;4;40;41;15;-;-;-;-;6;15;123
"110060 Cacaulândia";-;-;3;10;-;-;1;-;-;-;-;-;-;14
"110004 Cacoal";-;3;2;3;8;10;-;3;-;1;-;5;17;52
"110070 Campo Novo de Rondônia";-;4;1;-;1;1;3;-;-;-;-;1;17;28
"110080 Candeias do Jamari";-;-;-;-;6;4;-;1;-;-;-;15;7;33
"110090 Castanheiras";-;-;2;1;1;-;-;-;-;-;-;-;-;4
"110005 Cerejeiras";-;2;5;5;6;3;4;2;4;1;3;1;6;42
"110092 Chupinguaia";-;2;5;4;27;-;2;3;-;-;3;2;-;48
"110006 Colorado do Oeste";-;-;2;1;-;2;2;-;1;1;-;-;2;11
"110007 Corumbiara";-;2;10;3;1;-;2;-;-;-;-;-;-;18
"110008 Costa Marques";-;1;1;4;4;-;-;-;-;-;-;-;-;10
"110094 Cujubim";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"110009 Espigão D'Oeste";-;4;7;8;14;11;-;4;19;29;15;20;149;280
"110100 Governador Jorge Teixeira";-;-;1;-;-;2;-;-;-;-;-;-;-;3
"110010 Guajará-Mirim";-;-;2;-;-;2;-;-;-;-;3;1;5;13
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;1;1;-;4;6
"110011 Jaru";-;-;-;4;10;3;1;-;-;-;-;-;2;20
"110012 Ji-Paraná";-;5;-;6;3;-;1;1;-;2;4;7;5;34
"110013 Machadinho D'Oeste";-;-;1;1;3;-;-;2;1;-;2;2;4;16
"110120 Ministro Andreazza";-;1;-;1;-;4;1;1;1;7;39;18;6;79
"110140 Monte Negro";-;5;2;1;5;-;1;1;-;-;1;-;-;16
"110014 Nova Brasilândia D'Oeste";-;-;-;3;-;-;-;-;-;-;-;-;1;4
"110033 Nova Mamoré";-;-;1;4;1;1;3;-;-;1;-;-;-;11
"110143 Nova União";-;-;1;3;1;4;-;-;-;-;-;-;-;9
"110050 Novo Horizonte do Oeste";-;-;-;1;1;-;-;1;-;2;-;2;-;7
"110015 Ouro Preto do Oeste";1;2;6;13;9;3;5;4;1;-;-;1;3;48
"110145 Parecis";-;-;-;5;5;9;8;3;3;10;45;36;4;128
"110018 Pimenta Bueno";-;3;3;23;13;-;-;-;-;-;7;9;15;73
"110020 Porto Velho";-;16;56;24;24;21;27;19;4;2;6;9;22;230
"110025 Presidente Médici";-;1;-;3;3;1;-;-;-;-;1;5;-;14
"110026 Rio Crespo";-;2;-;1;-;-;-;1;-;-;-;-;-;4
"110028 Rolim de Moura";-;1;2;14;2;1;2;-;-;2;1;2;9;36
"110029 Santa Luzia D'Oeste";-;1;2;-;1;-;-;-;-;-;-;-;-;4
"110148 São Felipe D'Oeste";-;-;2;1;-;-;-;1;-;2;-;-;7;13
"110149 São Francisco do Guaporé";-;2;4;4;5;1;3;-;-;1;-;10;11;41
"110032 São Miguel do Guaporé";-;-;-;-;2;1;-;-;1;2;-;3;3;12
"110150 Seringueiras";-;2;3;2;2;-;-;-;-;-;-;1;1;11
"110155 Teixeirópolis";-;-;-;1;-;1;-;1;-;-;-;-;-;3
"110160 Theobroma";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"110170 Urupá";-;25;13;-;-;1;-;-;-;-;-;1;2;42
"110175 Vale do Anari";-;1;-;-;-;-;-;-;-;-;1;-;2;4
"110180 Vale do Paraíso";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"110030 Vilhena";-;37;25;69;47;47;34;11;19;4;3;17;23;336
"Total";1;164;195;271;268;189;121;68;56;74;151;219;447;2224
