"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";1;2;2;10;25;18;25;5;2;3;4;1;98
"140002 Amajari";1;2;2;2;1;2;3;3;-;4;1;2;23
"140010 Boa Vista";53;140;231;452;589;307;745;407;344;203;269;251;3991
"140015 Bonfim";-;1;-;2;8;5;13;8;2;10;6;8;63
"140017 Cantá";17;18;2;3;4;5;28;11;10;6;5;5;114
"140020 Caracaraí";-;2;-;2;3;6;4;3;-;-;-;-;20
"140023 Caroebe";-;-;-;-;-;-;10;8;2;-;-;2;22
"140028 Iracema";1;1;1;3;7;67;78;19;3;3;14;15;212
"140030 Mucajaí";-;3;2;7;1;-;8;6;11;4;9;12;63
"140040 Normandia";-;-;1;-;1;-;3;-;-;-;2;-;7
"140045 Pacaraima";8;7;11;5;5;9;3;11;7;7;1;1;75
"140047 Rorainópolis";15;12;30;2;7;28;18;37;25;21;3;6;204
"140050 São João da Baliza";-;-;7;-;1;15;7;1;-;-;1;-;32
"140060 São Luiz";-;-;-;-;-;2;-;1;-;-;-;-;3
"Total";96;188;289;488;652;464;945;520;406;261;315;303;4927
