"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"140005 Alto Alegre";-;-;-;-;-;-;4;2;-;-;-;-;6
"140002 Amajari";-;1;2;-;-;-;-;-;-;1;2;-;6
"140010 Boa Vista";24;16;19;9;6;9;18;22;132;205;392;174;1026
"140015 Bonfim";-;-;1;1;-;-;14;20;3;4;2;1;46
"140017 Cantá";-;-;-;1;-;-;1;-;-;-;1;1;4
"140020 Caracaraí";-;1;6;3;5;1;8;9;20;38;38;67;196
"140023 Caroebe";6;8;29;36;60;45;13;5;5;3;-;-;210
"140028 Iracema";1;-;-;-;-;-;-;-;-;-;-;-;1
"140030 Mucajaí";1;-;2;1;1;1;1;9;18;11;-;1;46
"140040 Normandia";-;-;-;-;-;-;-;-;-;1;-;1;2
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;1;2;3
"140047 Rorainópolis";-;2;-;-;-;-;-;-;-;2;1;1;6
"140050 São João da Baliza";2;1;-;2;2;5;2;1;1;-;-;1;17
"140060 São Luiz";-;-;-;-;-;-;-;-;2;-;-;-;2
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;3;5;11;19
"Total";34;29;59;53;74;61;61;68;181;268;442;260;1590
