Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Ariquemes (Município) (110002)	111	0	113	0	40	0	29,22	264
Cacoal (Município) (110004)	222	0	179	0	6	0	51,80	407
Jaru (Município) (110011)	64	0	109	0	31	0	39,23	204
Ji-Paraná (Município) (110012)	461	0	524	1	39	0	87,90	1.025
Porto Velho (Município) (110020)	510	0	255	2	259	0	23,94	1.026
Rolim de Moura (Município) (110028)	721	0	416	0	6	0	225,68	1.143
Vilhena (Município) (110030)	242	0	124	0	9	0	49,21	375
Cruzeiro do Sul (Município) (120020)	876	0	10	0	535	0	181,00	1.421
Rio Branco (Município) (120040)	169	0	386	13	31	1	17,86	600
Careiro da Várzea (Município) (130115)	2	0	0	0	0	0	0,84	2
Coari (Município) (130120)	122	1	23	1	5	0	20,01	152
Humaitá (Município) (130170)	49	0	0	0	11	0	13,57	60
Iranduba (Município) (130185)	79	0	1	0	1	0	19,86	81
Itacoatiara (Município) (130190)	270	0	2	0	4	0	31,78	276
Manacapuru (Município) (130250)	163	1	11	1	10	0	21,85	186
Manaus (Município) (130260)	1.960	9	615	20	221	0	15,68	2.825
Manicoré (Município) (130270)	46	0	0	0	0	1	10,00	47
Maués (Município) (130290)	56	0	20	0	6	0	15,70	82
Novo Airão (Município) (130320)	26	0	1	0	1	0	19,02	28
Parintins (Município) (130340)	260	1	2	0	2	0	25,97	265
Presidente Figueiredo (Município) (130353)	42	0	6	1	9	0	21,34	58
Rio Preto da Eva (Município) (130356)	24	0	1	0	8	0	12,83	33
Tabatinga (Município) (130406)	18	0	1	3	15	0	7,08	37
Tefé (Município) (130420)	144	0	9	0	13	0	27,01	166
Boa Vista (Município) (140010)	430	0	485	0	228	0	40,20	1.143
Abaetetuba (Município) (150010)	1.544	0	262	7	14	0	129,48	1.827
Acará (Município) (150020)	328	0	24	1	0	0	65,90	353
Alenquer (Município) (150040)	664	0	0	0	13	0	128,64	677
Altamira (Município) (150060)	1.425	0	418	0	51	0	191,17	1.894
Ananindeua (Município) (150080)	8.628	0	723	6	6	0	198,38	9.363
Barcarena (Município) (150130)	323	0	65	0	3	0	39,16	391
Belém (Município) (150140)	7.127	0	576	54	25	0	55,85	7.782
Benevides (Município) (150150)	402	0	42	0	1	0	86,16	445
Bragança (Município) (150170)	1.213	0	188	6	3	0	124,53	1.410
Breu Branco (Município) (150178)	232	0	3	0	11	0	46,86	246
Breves (Município) (150180)	351	0	17	1	19	0	41,78	388
Cametá (Município) (150210)	813	0	211	0	115	0	94,21	1.139
Capanema (Município) (150220)	647	0	65	0	4	0	112,51	716
Capitão Poço (Município) (150230)	1.471	0	2	0	13	0	286,36	1.486
Castanhal (Município) (150240)	472	0	103	0	0	0	33,21	575
Dom Eliseu (Município) (150293)	881	0	16	0	2	0	175,18	899
Igarapé-Miri (Município) (150330)	1.397	0	14	0	8	0	244,33	1.419
Ipixuna do Pará (Município) (150345)	599	0	6	0	4	0	118,69	609
Itaituba (Município) (150360)	1.275	0	196	1	152	0	166,58	1.624
Itupiranga (Município) (150370)	300	0	79	0	6	0	75,17	385
Jacundá (Município) (150380)	1.175	0	103	1	305	0	308,41	1.584
Juruti (Município) (150390)	38	0	44	0	1	0	17,63	83
Marabá (Município) (150420)	235	0	11	0	8	0	10,87	254
Marituba (Município) (150442)	345	0	139	6	0	0	45,27	490
Moju (Município) (150470)	360	0	44	1	5	0	58,56	410
Monte Alegre (Município) (150480)	407	0	45	0	3	0	82,04	455
Novo Repartimento (Município) (150506)	535	0	22	1	19	0	92,99	577
Óbidos (Município) (150510)	883	0	0	0	0	0	178,99	883
Oriximiná (Município) (150530)	250	0	16	3	10	0	44,43	279
Paragominas (Município) (150550)	122	0	14	0	6	0	14,52	142
Parauapebas (Município) (150553)	253	0	47	0	17	0	20,60	317
Portel (Município) (150580)	166	0	50	0	3	0	41,98	219
Redenção (Município) (150613)	477	0	96	0	7	0	76,76	580
Rondon do Pará (Município) (150618)	1.978	0	46	0	4	0	431,82	2.028
Santa Bárbara do Pará (Município) (150635)	33	0	0	0	0	0	19,25	33
Santa Izabel do Pará (Município) (150650)	1.468	0	19	1	1	0	250,40	1.489
Santana do Araguaia (Município) (150670)	328	0	29	0	1	0	63,75	358
Santarém (Município) (150680)	791	0	33	13	13	0	28,85	850
São Félix do Xingu (Município) (150730)	550	0	127	0	36	0	78,06	713
São Miguel do Guamá (Município) (150760)	209	0	13	0	3	0	43,63	225
Tailândia (Município) (150795)	256	0	115	1	5	0	47,54	377
Tomé-Açu (Município) (150800)	498	0	51	1	19	0	100,68	569
Tucuruí (Município) (150810)	71	0	8	0	15	0	9,68	94
Ulianópolis (Município) (150812)	798	0	28	0	7	0	192,20	833
Vigia (Município) (150820)	493	0	29	1	1	0	109,42	524
Viseu (Município) (150830)	721	0	197	0	4	0	162,56	922
Macapá (Município) (160030)	341	0	120	32	56	0	13,79	549
Santana (Município) (160060)	94	0	40	7	13	0	15,21	154
Araguaína (Município) (170210)	309	0	31	0	14	0	23,52	354
Gurupi (Município) (170950)	178	0	6	0	0	0	23,97	184
Paraíso do Tocantins (Município) (171610)	77	0	33	0	0	0	24,77	110
Porto Nacional (Município) (171820)	204	0	65	0	0	0	54,73	269
Palmas (Município) (172100)	253	0	48	0	6	0	13,45	307
Açailândia (Município) (210005)	379	0	55	0	6	0	42,29	440
Alcântara (Município) (210020)	129	0	0	0	1	0	59,49	130
Bacabal (Município) (210120)	801	0	11	0	2	0	81,39	814
Balsas (Município) (210140)	419	0	5	0	0	0	50,76	424
Barra do Corda (Município) (210160)	760	0	3	0	2	0	92,36	765
Barreirinhas (Município) (210170)	351	0	1	0	0	0	64,08	352
Buriticupu (Município) (210232)	614	0	56	0	9	0	104,08	679
Caxias (Município) (210300)	333	0	24	0	3	0	23,21	360
Chapadinha (Município) (210320)	522	0	14	1	0	0	73,21	537
Codó (Município) (210330)	194	0	4	0	1	0	16,86	199
Coroatá (Município) (210360)	238	0	6	0	2	0	39,85	246
Grajaú (Município) (210480)	237	0	6	0	3	0	39,62	246
Imperatriz (Município) (210530)	445	0	29	0	5	0	19,35	479
Itapecuru Mirim (Município) (210540)	459	0	0	0	0	0	73,90	459
Paço do Lumiar (Município) (210750)	363	0	44	0	2	0	38,91	409
Pinheiro (Município) (210860)	300	0	8	0	4	0	39,92	312
Raposa (Município) (210945)	257	0	2	0	1	0	98,76	260
Santa Inês (Município) (210990)	624	0	15	0	5	0	83,33	644
Santa Luzia (Município) (211000)	473	0	18	0	2	0	66,58	493
São José de Ribamar (Município) (211120)	154	0	41	0	1	0	12,02	196
São Luís (Município) (211130)	1.363	0	648	3	12	2	19,98	2.028
Timon (Município) (211220)	878	0	66	0	3	0	60,92	947
Tutóia (Município) (211250)	549	0	56	0	0	0	114,61	605
Vargem Grande (Município) (211270)	366	0	1	0	0	0	74,27	367
Viana (Município) (211280)	237	0	3	0	0	0	48,49	240
Zé Doca (Município) (211400)	59	0	5	0	6	0	13,95	70
Altos (Município) (220040)	246	0	34	0	1	0	72,38	281
Beneditinos (Município) (220160)	33	0	3	0	0	0	36,32	36
Coivaras (Município) (220273)	24	0	3	0	0	0	70,85	27
Curralinhos (Município) (220325)	3	0	0	0	0	0	7,17	3
Demerval Lobão (Município) (220330)	123	0	17	0	1	0	106,19	141
Floriano (Município) (220390)	1.037	0	314	0	2	0	234,53	1.353
José de Freitas (Município) (220550)	180	0	13	0	0	0	52,04	193
Lagoa Alegre (Município) (220555)	3	0	1	0	0	0	5,00	4
Lagoa do Piauí (Município) (220558)	17	0	3	0	0	0	51,77	20
Miguel Leão (Município) (220630)	2	0	0	0	0	0	15,96	2
Monsenhor Gil (Município) (220640)	13	0	1	0	1	0	14,52	15
Nazária (Município) (220672)	15	0	0	0	0	0	18,59	15
Parnaíba (Município) (220770)	1.109	0	19	0	0	0	77,42	1.128
Pau D'Arco do Piauí (Município) (220779)	7	0	0	0	0	0	18,63	7
Picos (Município) (220800)	2.230	0	83	0	0	0	315,06	2.313
Piripiri (Município) (220840)	54	0	8	0	2	0	10,35	64
Teresina (Município) (221100)	2.417	0	511	0	14	0	36,13	2.942
União (Município) (221110)	558	0	39	0	0	0	139,96	597
Acaraú (Município) (230020)	198	0	2	0	0	0	34,75	200
Acopiara (Município) (230030)	381	0	197	0	0	0	112,98	578
Aquiraz (Município) (230100)	60	0	20	0	0	0	11,02	80
Aracati (Município) (230110)	87	0	10	0	0	0	14,03	97
Barbalha (Município) (230190)	139	0	48	0	0	0	33,80	187
Beberibe (Município) (230220)	56	0	16	0	0	0	14,60	72
Boa Viagem (Município) (230240)	260	0	18	0	1	0	53,14	279
Camocim (Município) (230260)	160	0	1	0	0	0	26,76	161
Canindé (Município) (230280)	305	0	6	0	0	0	41,76	311
Cascavel (Município) (230350)	92	0	21	0	0	0	17,08	113
Caucaia (Município) (230370)	524	0	80	0	1	1	18,62	606
Chorozinho (Município) (230395)	37	0	0	0	0	0	19,56	37
Crateús (Município) (230410)	156	0	318	0	0	0	65,10	474
Crato (Município) (230420)	664	0	321	0	0	0	81,12	985
Eusébio (Município) (230428)	41	0	0	0	0	0	8,91	41
Fortaleza (Município) (230440)	4.500	0	756	16	1	6	21,53	5.279
Granja (Município) (230470)	118	0	63	0	0	0	34,38	181
Guaiúba (Município) (230495)	22	0	13	0	0	0	14,53	35
Horizonte (Município) (230523)	46	0	2	0	0	0	8,70	48
Icó (Município) (230540)	224	0	85	0	0	0	47,21	309
Iguatu (Município) (230550)	592	0	94	0	3	1	71,51	690
Itaitinga (Município) (230625)	1	0	4	1	0	0	1,68	6
Itapajé (Município) (230630)	193	0	10	0	0	0	41,99	203
Itapipoca (Município) (230640)	232	0	207	0	0	0	37,82	439
Juazeiro do Norte (Município) (230730)	530	0	202	0	0	0	29,29	732
Limoeiro do Norte (Município) (230760)	148	0	7	0	0	0	27,55	155
Maracanaú (Município) (230765)	82	0	25	0	0	0	5,12	107
Maranguape (Município) (230770)	39	0	6	0	0	0	3,96	45
Morada Nova (Município) (230870)	18	0	0	0	0	0	2,90	18
Pacajus (Município) (230960)	29	0	11	0	0	0	6,47	40
Pacatuba (Município) (230970)	41	0	49	0	0	0	12,45	90
Pindoretama (Município) (231085)	29	0	0	2	0	0	16,59	31
Quixadá (Município) (231130)	81	0	6	0	0	0	10,79	87
Quixeramobim (Município) (231140)	495	0	4	1	0	0	69,55	500
Russas (Município) (231180)	564	0	22	2	0	1	84,34	589
São Gonçalo do Amarante (Município) (231240)	38	0	5	2	0	0	10,25	45
Sobral (Município) (231290)	486	0	12	4	0	0	26,67	502
Tauá (Município) (231330)	724	0	485	0	0	0	216,99	1.209
Tianguá (Município) (231340)	68	0	3	0	0	0	10,31	71
Trairi (Município) (231350)	71	0	4	0	0	0	14,59	75
Viçosa do Ceará (Município) (231410)	221	0	0	0	0	0	40,21	221
Açu (Município) (240020)	305	0	5	0	0	0	58,24	310
Caicó (Município) (240200)	489	0	4	0	1	0	78,78	494
Ceará-Mirim (Município) (240260)	34	0	6	0	0	0	5,87	40
Parnamirim (Município) (240325)	46	0	20	0	1	0	3,31	67
Extremoz (Município) (240360)	16	0	1	0	0	0	6,92	17
Macaíba (Município) (240710)	16	0	12	0	1	1	4,32	30
Monte Alegre (Município) (240780)	9	0	1	0	0	0	4,83	10
Mossoró (Município) (240800)	118	0	47	1	0	0	6,39	166
Natal (Município) (240810)	320	0	262	3	2	1	7,32	588
Nísia Floresta (Município) (240820)	17	0	1	0	0	0	7,57	18
São Gonçalo do Amarante (Município) (241200)	307	0	25	1	3	0	38,33	336
São José de Mipibu (Município) (241220)	53	0	3	0	0	0	14,08	56
Vera Cruz (Município) (241480)	1	0	0	0	0	0	0,93	1
