Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Ariquemes (Município) (110002)	12,29	0,00	12,51	0,00	4,43	0,00	397	43,94
Cacoal (Município) (110004)	28,25	0,00	22,78	0,00	0,76	0,00	450	57,27
Jaru (Município) (110011)	12,31	0,00	20,96	0,00	5,96	0,00	162	31,15
Ji-Paraná (Município) (110012)	39,53	0,00	44,94	0,09	3,34	0,00	766	65,69
Porto Velho (Município) (110020)	11,90	0,00	5,95	0,05	6,04	0,00	979	22,85
Rolim de Moura (Município) (110028)	142,36	0,00	82,14	0,00	1,18	0,00	568	112,15
Vilhena (Município) (110030)	31,76	0,00	16,27	0,00	1,18	0,00	647	84,91
Cruzeiro do Sul (Município) (120020)	111,58	0,00	1,27	0,00	68,15	0,00	523	66,62
Rio Branco (Município) (120040)	5,03	0,00	11,49	0,39	0,92	0,03	710	21,13
Careiro da Várzea (Município) (130115)	0,84	0,00	0,00	0,00	0,00	0,00	6	2,51
Coari (Município) (130120)	16,06	0,13	3,03	0,13	0,66	0,00	275	36,20
Humaitá (Município) (130170)	11,08	0,00	0,00	0,00	2,49	0,00	167	37,76
Iranduba (Município) (130185)	19,37	0,00	0,25	0,00	0,25	0,00	227	55,66
Itacoatiara (Município) (130190)	31,09	0,00	0,23	0,00	0,46	0,00	393	45,26
Manacapuru (Município) (130250)	19,14	0,12	1,29	0,12	1,17	0,00	317	37,23
Manaus (Município) (130260)	10,88	0,05	3,41	0,11	1,23	0,00	6.464	35,87
Manicoré (Município) (130270)	9,78	0,00	0,00	0,00	0,00	0,21	338	71,89
Maués (Município) (130290)	10,72	0,00	3,83	0,00	1,15	0,00	145	27,76
Novo Airão (Município) (130320)	17,66	0,00	0,68	0,00	0,68	0,00	37	25,13
Parintins (Município) (130340)	25,48	0,10	0,20	0,00	0,20	0,00	457	44,79
Presidente Figueiredo (Município) (130353)	15,46	0,00	2,21	0,37	3,31	0,00	151	55,57
Rio Preto da Eva (Município) (130356)	9,33	0,00	0,39	0,00	3,11	0,00	69	26,83
Tabatinga (Município) (130406)	3,44	0,00	0,19	0,57	2,87	0,00	143	27,36
Tefé (Município) (130420)	23,43	0,00	1,46	0,00	2,12	0,00	150	24,41
Boa Vista (Município) (140010)	15,12	0,00	17,06	0,00	8,02	0,00	1.093	38,44
Abaetetuba (Município) (150010)	109,43	0,00	18,57	0,50	0,99	0,00	1.240	87,88
Acará (Município) (150020)	61,23	0,00	4,48	0,19	0,00	0,00	230	42,94
Alenquer (Município) (150040)	126,17	0,00	0,00	0,00	2,47	0,00	565	107,36
Altamira (Município) (150060)	143,83	0,00	42,19	0,00	5,15	0,00	1.651	166,64
Ananindeua (Município) (150080)	182,80	0,00	15,32	0,13	0,13	0,00	6.238	132,17
Barcarena (Município) (150130)	32,35	0,00	6,51	0,00	0,30	0,00	420	42,06
Belém (Município) (150140)	51,15	0,00	4,13	0,39	0,18	0,00	5.145	36,92
Benevides (Município) (150150)	77,83	0,00	8,13	0,00	0,19	0,00	168	32,53
Bragança (Município) (150170)	107,13	0,00	16,60	0,53	0,26	0,00	1.536	135,66
Breu Branco (Município) (150178)	44,20	0,00	0,57	0,00	2,10	0,00	85	16,19
Breves (Município) (150180)	37,80	0,00	1,83	0,11	2,05	0,00	417	44,91
Cametá (Município) (150210)	67,25	0,00	17,45	0,00	9,51	0,00	412	34,08
Capanema (Município) (150220)	101,67	0,00	10,21	0,00	0,63	0,00	527	82,81
Capitão Poço (Município) (150230)	283,47	0,00	0,39	0,00	2,51	0,00	183	35,26
Castanhal (Município) (150240)	27,26	0,00	5,95	0,00	0,00	0,00	694	40,08
Dom Eliseu (Município) (150293)	171,67	0,00	3,12	0,00	0,39	0,00	710	138,35
Igarapé-Miri (Município) (150330)	240,54	0,00	2,41	0,00	1,38	0,00	551	94,87
Ipixuna do Pará (Município) (150345)	116,74	0,00	1,17	0,00	0,78	0,00	133	25,92
Itaituba (Município) (150360)	130,78	0,00	20,10	0,10	15,59	0,00	620	63,59
Itupiranga (Município) (150370)	58,57	0,00	15,42	0,00	1,17	0,00	105	20,50
Jacundá (Município) (150380)	228,78	0,00	20,05	0,19	59,38	0,00	155	30,18
Juruti (Município) (150390)	8,07	0,00	9,34	0,00	0,21	0,00	70	14,87
Marabá (Município) (150420)	10,06	0,00	0,47	0,00	0,34	0,00	422	18,06
Marituba (Município) (150442)	31,87	0,00	12,84	0,55	0,00	0,00	622	57,46
Moju (Município) (150470)	51,42	0,00	6,28	0,14	0,71	0,00	390	55,70
Monte Alegre (Município) (150480)	73,38	0,00	8,11	0,00	0,54	0,00	355	64,01
