Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	92.747	92.747	78.553	4.426,570	92.747	78.553	100,0%	100,0%
Cacoal (Município) (110004)	79.330	79.330	62.517	3.792,950	42.330	25.517	40,8%	53,4%
Jaru (Município) (110011)	51.765	51.765	34.956	2.944,130	51.765	34.956	100,0%	100,0%
Ji-Paraná (Município) (110012)	118.092	118.092	106.191	6.896,650	118.092	106.191	100,0%	100,0%
Porto Velho (Município) (110020)	442.701	442.701	403.657	34.090,960	432.899	393.855	97,6%	97,8%
Rolim de Moura (Município) (110028)	51.142	51.142	41.833	1.457,890	51.142	41.833	100,0%	100,0%
Vilhena (Município) (110030)	79.616	79.616	75.454	11.699,150	79.616	75.454	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	79.819	79.819	56.251	8.779,400	79.819	56.251	100,0%	100,0%
Rio Branco (Município) (120040)	348.354	348.354	319.853	8.834,940	265.464	236.963	74,1%	76,2%
Careiro da Várzea (Município) (130115)	24.937	24.937	1.042	2.627,470	24.937	1.042	100,0%	100,0%
Coari (Município) (130120)	77.305	77.305	50.527	57.970,770	-	-	-	-
Humaitá (Município) (130170)	45.954	45.954	31.692	33.111,160	-	-	-	-
Iranduba (Município) (130185)	41.947	41.947	29.808	2.216,820	41.947	29.808	100,0%	100,0%
Itacoatiara (Município) (130190)	89.064	89.064	59.647	8.891,910	89.064	59.647	100,0%	100,0%
Manacapuru (Município) (130250)	86.985	86.985	61.477	7.336,580	86.985	61.477	100,0%	100,0%
Manaus (Município) (130260)	1.861.838	1.861.838	1.852.402	11.401,090	1.349.975	1.340.539	72,4%	72,5%
Manicoré (Município) (130270)	48.373	48.373	20.936	48.315,020	48.373	20.936	100,0%	100,0%
Maués (Município) (130290)	54.079	54.079	26.743	39.991,070	54.079	26.743	100,0%	100,0%
Novo Airão (Município) (130320)	15.489	15.489	9.993	37.805,260	15.489	9.993	100,0%	100,0%
Parintins (Município) (130340)	103.828	103.828	71.120	5.956,370	103.828	71.120	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	28.652	28.652	13.708	25.412,270	14.944	0	0,0%	52,2%
Rio Preto da Eva (Município) (130356)	26.948	26.948	12.788	5.815,620	26.948	12.788	100,0%	100,0%
Tabatinga (Município) (130406)	54.440	54.440	37.863	3.266,060	54.440	37.863	100,0%	100,0%
Tefé (Município) (130420)	61.000	61.000	49.700	23.692,220	61.000	49.700	100,0%	100,0%
Boa Vista (Município) (140010)	296.959	296.959	290.155	5.687,040	180.897	174.093	60,0%	60,9%
Abaetetuba (Município) (150010)	144.415	144.415	84.948	1.610,400	144.415	84.948	100,0%	100,0%
Acará (Município) (150020)	53.787	53.787	12.672	4.343,810	-	-	-	-
Alenquer (Município) (150040)	53.369	53.369	28.113	23.645,450	53.369	28.113	100,0%	100,0%
Altamira (Município) (150060)	102.343	102.343	86.866	159.533,330	102.343	86.866	100,0%	100,0%
Ananindeua (Município) (150080)	483.821	483.821	482.631	190,450	483.821	482.631	100,0%	100,0%
Barcarena (Município) (150130)	105.385	105.385	38.306	1.310,590	87.385	20.306	53,0%	82,9%
Belém (Município) (150140)	1.410.430	1.410.430	1.398.360	1.059,460	1.309.050	1.296.980	92,8%	92,8%
Benevides (Município) (150150)	54.083	54.083	30.273	187,830	54.083	30.273	100,0%	100,0%
Bragança (Município) (150170)	116.164	116.164	74.505	2.091,930	116.164	74.505	100,0%	100,0%
Breu Branco (Município) (150178)	55.521	55.521	30.999	3.941,910	55.521	30.999	100,0%	100,0%
Breves (Município) (150180)	94.779	94.779	47.522	9.563,010	94.779	47.522	100,0%	100,0%
Cametá (Município) (150210)	124.411	124.411	54.374	3.081,370	124.411	54.374	100,0%	100,0%
Capanema (Município) (150220)	64.624	64.624	51.517	614,690	64.624	51.517	100,0%	100,0%
Capitão Poço (Município) (150230)	52.214	52.214	21.574	2.899,550	52.214	21.574	100,0%	100,0%
Castanhal (Município) (150240)	178.986	178.986	158.549	1.028,890	178.986	158.549	100,0%	100,0%
Dom Eliseu (Município) (150293)	53.100	53.100	33.644	5.268,820	53.100	33.644	100,0%	100,0%
Igarapé-Miri (Município) (150330)	58.904	58.904	26.578	1.996,790	58.904	26.578	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	51.569	51.569	12.289	5.215,560	-	-	-	-
Itaituba (Município) (150360)	97.908	97.908	70.983	62.042,470	97.908	70.983	100,0%	100,0%
Itupiranga (Município) (150370)	51.457	51.457	20.585	7.880,110	51.457	20.585	100,0%	100,0%
Jacundá (Município) (150380)	52.993	52.993	47.135	2.008,320	52.993	47.135	100,0%	100,0%
Juruti (Município) (150390)	49.486	49.486	16.660	8.305,130	-	-	-	-
Marabá (Município) (150420)	243.583	243.583	194.173	15.128,060	243.583	194.173	100,0%	100,0%
Marituba (Município) (150442)	113.353	113.353	112.177	103,340	113.353	112.177	100,0%	100,0%
Moju (Município) (150470)	72.597	72.597	26.089	9.094,140	72.597	26.089	100,0%	100,0%
Monte Alegre (Município) (150480)	55.804	55.804	24.716	18.152,560	43.804	12.716	51,4%	78,5%
Novo Repartimento (Município) (150506)	65.106	65.106	29.327	15.398,720	65.106	29.327	100,0%	100,0%
Óbidos (Município) (150510)	49.763	49.763	25.688	28.021,440	49.763	25.688	100,0%	100,0%
Oriximiná (Município) (150530)	64.978	64.978	41.543	107.603,660	64.978	41.543	100,0%	100,0%
Paragominas (Município) (150550)	101.046	101.046	79.035	19.342,250	96.166	74.155	93,8%	95,2%
Parauapebas (Município) (150553)	166.342	166.342	149.895	6.886,210	148.962	132.515	88,4%	89,6%
Portel (Município) (150580)	54.306	54.306	25.869	25.384,960	54.306	25.869	100,0%	100,0%
Redenção (Município) (150613)	77.415	77.415	71.789	3.823,810	-	-	-	-
Rondon do Pará (Município) (150618)	48.036	48.036	35.488	8.246,390	48.036	35.488	100,0%	100,0%
Santa Bárbara do Pará (Município) (150635)	18.012	18.012	5.735	278,150	12.612	335	5,8%	70,0%
Santa Izabel do Pará (Município) (150650)	61.919	61.919	44.774	717,660	-	-	-	-
Santana do Araguaia (Município) (150670)	59.919	59.919	31.652	11.591,460	59.919	31.652	100,0%	100,0%
Santarém (Município) (150680)	284.401	284.401	208.334	17.898,390	219.486	143.419	68,8%	77,2%
São Félix do Xingu (Município) (150730)	99.905	99.905	49.343	84.212,850	99.905	49.343	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	53.108	53.108	32.837	1.110,180	53.108	32.837	100,0%	100,0%
Tailândia (Município) (150795)	85.468	85.468	63.282	4.430,220	85.468	63.282	100,0%	100,0%
Tomé-Açu (Município) (150800)	57.914	57.914	32.343	5.145,360	57.914	32.343	100,0%	100,0%
Tucuruí (Município) (150810)	100.651	100.651	95.795	2.086,190	100.651	95.795	100,0%	100,0%
Ulianópolis (Município) (150812)	46.979	46.979	30.919	5.088,470	-	-	-	-
Vigia (Município) (150820)	49.054	49.054	33.140	539,080	49.054	33.140	100,0%	100,0%
Viseu (Município) (150830)	57.566	57.566	18.673	4.915,070	57.566	18.673	100,0%	100,0%
Macapá (Município) (160030)	415.554	415.554	397.824	6.503,460	390.455	372.725	93,7%	94,0%
Santana (Município) (160060)	104.407	104.407	102.189	1.541,220	103.001	100.783	98,6%	98,7%
Araguaína (Município) (170210)	156.123	156.123	148.281	4.000,420	134.547	126.705	85,4%	86,2%
Gurupi (Município) (170950)	78.525	78.525	76.730	1.836,090	57.341	55.546	72,4%	73,0%
Paraíso do Tocantins (Município) (171610)	45.669	45.669	43.670	1.268,060	41.797	39.798	91,1%	91,5%
Porto Nacional (Município) (171820)	49.774	49.774	42.977	4.449,920	25.218	18.421	42,9%	50,7%
Palmas (Município) (172100)	242.070	242.070	235.084	2.218,940	118.639	111.653	47,5%	49,0%
Açailândia (Município) (210005)	106.422	106.422	80.023	5.806,440	106.422	80.023	100,0%	100,0%
Alcântara (Município) (210020)	21.605	21.605	6.327	1.457,920	21.605	6.327	100,0%	100,0%
Bacabal (Município) (210120)	101.195	101.195	78.779	1.683,070	93.554	71.138	90,3%	92,4%
Balsas (Município) (210140)	87.057	87.057	75.846	13.141,760	87.057	75.846	100,0%	100,0%
Barra do Corda (Município) (210160)	84.180	84.180	52.490	5.190,340	84.180	52.490	100,0%	100,0%
Barreirinhas (Município) (210170)	58.083	58.083	23.319	3.026,540	57.426	22.662	97,2%	98,9%
Buriticupu (Município) (210232)	67.378	67.378	36.964	2.545,440	67.378	36.964	100,0%	100,0%
Caxias (Município) (210300)	158.059	158.059	120.773	5.196,770	156.770	119.484	98,9%	99,2%
Chapadinha (Município) (210320)	75.167	75.167	54.192	3.247,390	75.167	54.192	100,0%	100,0%
Codó (Município) (210330)	119.079	119.079	81.760	4.361,340	109.449	72.130	88,2%	91,9%
Coroatá (Município) (210360)	62.639	62.639	43.695	2.263,770	62.639	43.695	100,0%	100,0%
