Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	191,20	0,00	379.519,12	0,00	10.098.417,75	10.477.936,87	112,97
Cacoal (Município) (110004)	425,00	160,00	1.424.875,00	0,00	0,00	1.424.875,00	17,96
Jaru (Município) (110011)	94,10	0,00	1.696.051,66	0,00	7.460.648,19	9.156.699,85	176,89
Ji-Paraná (Município) (110012)	296,38	0,00	998.149,44	0,00	10.453.277,53	11.451.426,98	96,97
Porto Velho (Município) (110020)	1.017,81	70,17	551.934,96	0,00	0,00	551.934,96	1,25
Rolim de Moura (Município) (110028)	179,10	0,00	1.213.107,35	0,00	0,00	1.213.107,35	23,72
Vilhena (Município) (110030)	468,00	0,00	120.518,57	0,00	0,00	120.518,57	1,51
Cruzeiro do Sul (Município) (120020)	178,55	0,00	140.027,31	0,00	2.969.614,05	3.109.641,36	38,96
Rio Branco (Município) (120040)	820,08	324,88	4.802,28	0,00	30.720.156,06	30.724.958,34	88,20
Careiro da Várzea (Município) (130115)	8,80	0,00	13.889,46	0,00	0,00	13.889,46	0,56
Coari (Município) (130120)	-	-	-	-	-	-	-
Humaitá (Município) (130170)	-	-	-	-	-	-	-
Iranduba (Município) (130185)	60,00	0,00	0,00	0,00	0,00	0,00	0,00
Itacoatiara (Município) (130190)	263,26	0,00	200.037,80	0,00	0,00	200.037,80	2,25
Manacapuru (Município) (130250)	128,00	0,00	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.447,61	470,13	76.972.132,94	0,00	0,00	76.972.132,94	41,34
Manicoré (Município) (130270)	48,00	0,00	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	65,00	0,00	59.877,01	0,00	0,00	59.877,01	1,11
Novo Airão (Município) (130320)	38,20	0,00	0,00	0,00	0,00	0,00	0,00
Parintins (Município) (130340)	117,00	0,00	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	38,48	19,57	23.715,30	0,00	0,00	23.715,30	0,83
Rio Preto da Eva (Município) (130356)	46,00	0,00	0,00	0,00	0,00	0,00	0,00
Tabatinga (Município) (130406)	76,36	0,00	0,00	0,00	0,00	0,00	0,00
Tefé (Município) (130420)	80,00	0,00	0,00	0,00	0,00	0,00	0,00
Boa Vista (Município) (140010)	1.310,60	488,51	10.211.024,91	0,00	149.056.724,89	159.267.749,80	536,33
Abaetetuba (Município) (150010)	69,00	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	-	-	-	-	-
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	79,00	0,00	0,00	0,00	3.859.832,66	3.859.832,66	37,71
Ananindeua (Município) (150080)	417,00	0,00	0,00	0,00	2.986.782,68	2.986.782,68	6,17
Barcarena (Município) (150130)	260,00	64,70	0,00	271.361,07	0,00	271.361,07	2,57
Belém (Município) (150140)	2.058,00	381,00	13.075.417,86	1.069.646,74	63.805.324,45	77.950.389,05	55,27
Benevides (Município) (150150)	62,86	0,00	0,00	108.544,43	0,00	108.544,43	2,01
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	0,00	0,00	0,00
Cametá (Município) (150210)	73,36	0,00	79.308,49	0,00	0,00	79.308,49	0,64
Capanema (Município) (150220)	59,00	0,00	0,00	0,00	0,00	0,00	0,00
