Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Ariquemes (Município) (110002)	102.860	102.860	87.118	4.426,570	102.860	87.118	100,0%	100,0%
Cacoal (Município) (110004)	86.556	86.556	68.211	3.792,950	48.556	30.211	44,3%	56,1%
Jaru (Município) (110011)	55.669	55.669	37.592	2.944,130	55.669	37.592	100,0%	100,0%
Ji-Paraná (Município) (110012)	129.242	129.242	116.217	6.896,650	129.242	116.217	100,0%	100,0%
Porto Velho (Município) (110020)	494.013	494.013	450.443	34.090,960	483.919	441.141	97,9%	98,0%
Rolim de Moura (Município) (110028)	55.807	55.807	45.649	1.457,890	54.307	44.149	96,7%	97,3%
Vilhena (Município) (110030)	89.797	89.797	85.102	11.699,150	89.797	85.102	100,0%	100,0%
Cruzeiro do Sul (Município) (120020)	80.953	80.953	57.050	8.779,400	80.953	57.050	100,0%	100,0%
Rio Branco (Município) (120040)	363.928	363.928	334.153	8.834,940	286.657	261.026	78,1%	78,8%
Careiro da Várzea (Município) (130115)	27.357	27.357	1.143	2.627,470	27.357	1.143	100,0%	100,0%
Coari (Município) (130120)	82.209	82.209	53.732	57.970,770	-	-	-	-
Humaitá (Município) (130170)	50.230	50.230	34.641	33.111,160	-	-	-	-
Iranduba (Município) (130185)	45.250	45.250	32.155	2.216,820	-	-	-	-
Itacoatiara (Município) (130190)	95.714	95.714	64.101	8.891,910	-	-	-	-
Manacapuru (Município) (130250)	92.996	92.996	65.726	7.336,580	92.996	65.726	100,0%	100,0%
Manaus (Município) (130260)	2.020.301	2.020.301	2.010.062	11.401,090	1.820.364	1.810.125	90,1%	90,1%
Manicoré (Município) (130270)	52.200	52.200	22.592	48.315,020	52.200	22.592	100,0%	100,0%
Maués (Município) (130290)	58.834	58.834	29.095	39.991,070	58.834	29.095	100,0%	100,0%
Novo Airão (Município) (130320)	17.199	17.199	11.096	37.805,260	17.199	11.096	100,0%	100,0%
Parintins (Município) (130340)	110.411	110.411	75.629	5.956,370	110.411	75.629	100,0%	100,0%
Presidente Figueiredo (Município) (130353)	31.903	31.903	15.263	25.412,270	27.325	10.685	70,0%	85,7%
Rio Preto da Eva (Município) (130356)	29.771	29.771	14.128	5.815,620	-	-	-	-
Tabatinga (Município) (130406)	59.684	59.684	41.510	3.266,060	59.684	41.510	100,0%	100,0%
Tefé (Município) (130420)	62.662	62.662	51.054	23.692,220	-	-	-	-
Boa Vista (Município) (140010)	314.900	314.900	307.685	5.687,040	189.429	182.214	59,2%	60,2%
Abaetetuba (Município) (150010)	148.873	148.873	87.570	1.610,400	148.873	87.570	100,0%	100,0%
Acará (Município) (150020)	54.047	54.047	12.734	4.343,810	-	-	-	-
Alenquer (Município) (150040)	54.353	54.353	28.632	23.645,450	54.353	28.632	100,0%	100,0%
Altamira (Município) (150060)	106.768	106.768	90.622	159.533,330	86.768	70.622	77,9%	81,3%
Ananindeua (Município) (150080)	499.776	499.776	498.547	190,450	499.776	498.547	100,0%	100,0%
Barcarena (Município) (150130)	112.921	112.921	41.045	1.310,590	100.921	35.045	85,4%	89,4%
Belém (Município) (150140)	1.432.844	1.432.844	1.420.582	1.059,460	1.250.872	1.238.610	87,2%	87,3%
Benevides (Município) (150150)	57.393	57.393	32.126	187,830	-	-	-	-
Bragança (Município) (150170)	120.124	120.124	77.045	2.091,930	120.124	77.045	100,0%	100,0%
Breu Branco (Município) (150178)	59.651	59.651	33.304	3.941,910	59.651	33.304	100,0%	100,0%
Breves (Município) (150180)	97.351	97.351	48.812	9.563,010	97.351	48.812	100,0%	100,0%
Cametá (Município) (150210)	129.161	129.161	56.450	3.081,370	129.161	56.450	100,0%	100,0%
Capanema (Município) (150220)	65.932	65.932	52.560	614,690	65.932	52.560	100,0%	100,0%
Capitão Poço (Município) (150230)	52.616	52.616	21.740	2.899,550	52.616	21.740	100,0%	100,0%
Castanhal (Município) (150240)	186.895	186.895	165.554	1.028,890	101.885	80.544	48,7%	54,5%
Dom Eliseu (Município) (150293)	55.513	55.513	35.173	5.268,820	55.513	35.173	100,0%	100,0%
Igarapé-Miri (Município) (150330)	59.998	59.998	27.072	1.996,790	59.998	27.072	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	56.613	56.613	13.491	5.215,560	-	-	-	-
Itaituba (Município) (150360)	98.405	98.405	71.343	62.042,470	98.405	71.343	100,0%	100,0%
Itupiranga (Município) (150370)	51.743	51.743	20.699	7.880,110	51.743	20.699	100,0%	100,0%
Jacundá (Município) (150380)	55.204	55.204	49.102	2.008,320	55.204	49.102	100,0%	100,0%
Juruti (Município) (150390)	52.755	52.755	17.761	8.305,130	32.755	17.760	100,0%	62,1%
Marabá (Município) (150420)	257.062	257.062	204.918	15.128,060	257.062	204.918	100,0%	100,0%
Marituba (Município) (150442)	120.305	120.305	119.057	103,340	120.305	119.057	100,0%	100,0%
Moju (Município) (150470)	76.096	76.096	27.346	9.094,140	76.096	27.346	100,0%	100,0%
Monte Alegre (Município) (150480)	56.231	56.231	24.906	18.152,560	56.231	24.906	100,0%	100,0%
Novo Repartimento (Município) (150506)	69.267	69.267	31.201	15.398,720	69.267	31.201	100,0%	100,0%
Óbidos (Município) (150510)	50.317	50.317	25.974	28.021,440	50.317	25.974	100,0%	100,0%
Oriximiná (Município) (150530)	67.939	67.939	43.436	107.603,660	67.939	43.436	100,0%	100,0%
Paragominas (Município) (150550)	105.417	105.417	82.454	19.342,250	94.642	71.679	86,9%	89,8%
Parauapebas (Município) (150553)	183.352	183.352	165.223	6.886,210	160.952	146.423	88,6%	87,8%
Portel (Município) (150580)	57.205	57.205	27.249	25.384,960	57.205	27.249	100,0%	100,0%
Redenção (Município) (150613)	79.917	79.917	74.109	3.823,810	79.917	74.109	100,0%	100,0%
Rondon do Pará (Município) (150618)	49.476	49.476	36.552	8.246,390	-	-	-	-
Santa Bárbara do Pará (Município) (150635)	19.197	19.197	6.113	278,150	-	-	-	-
Santa Izabel do Pará (Município) (150650)	65.251	65.251	47.183	717,660	-	-	-	-
Santana do Araguaia (Município) (150670)	65.062	65.062	34.369	11.591,460	65.062	34.369	100,0%	100,0%
Santarém (Município) (150680)	290.521	290.521	212.817	17.898,390	290.521	212.817	100,0%	100,0%
São Félix do Xingu (Município) (150730)	111.633	111.633	55.136	84.212,850	111.633	55.136	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	55.191	55.191	34.125	1.110,180	-	-	-	-
Tailândia (Município) (150795)	93.906	93.906	69.530	4.430,220	93.906	69.530	100,0%	100,0%
Tomé-Açu (Município) (150800)	59.795	59.795	33.393	5.145,360	59.795	33.393	100,0%	100,0%
Tucuruí (Município) (150810)	105.431	105.431	100.344	2.086,190	105.431	100.344	100,0%	100,0%
Ulianópolis (Município) (150812)	51.956	51.956	34.195	5.088,470	-	-	-	-
Vigia (Município) (150820)	50.622	50.622	34.199	539,080	50.622	34.199	100,0%	100,0%
