Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Ariquemes (Município) (110002)	31.003	26.870	3,37	3,29	2.283,060	21.868,21	4.426,570	23,59
Cacoal (Município) (110004)	27.597	22.705	3,16	3,03	2.010,460	23.048,82	3.792,950	23,00
Jaru (Município) (110011)	18.148	12.825	3,07	2,93	1.353,350	24.280,61	2.944,130	18,93
Ji-Paraná (Município) (110012)	40.575	37.748	3,21	3,11	3.087,430	23.673,17	6.896,650	18,91
Porto Velho (Município) (110020)	148.161	135.711	3,39	3,38	15.651,790	31.132,47	34.090,960	14,75
Rolim de Moura (Município) (110028)	18.028	15.214	3,12	3,02	1.212,670	21.561,73	1.457,890	38,58
Vilhena (Município) (110030)	26.879	26.156	3,42	3,33	2.448,510	26.671,97	11.699,150	7,85
Cruzeiro do Sul (Município) (120020)	22.397	16.634	3,64	3,45	1.188,180	14.575,49	8.779,400	9,29
Rio Branco (Município) (120040)	113.072	101.287	3,28	3,36	9.252,010	24.968,32	8.834,940	41,94
Careiro da Várzea (Município) (130115)	6.585	313	4,25	3,73	301,580	10.778,07	2.627,470	10,65
Coari (Município) (130120)	17.433	12.595	4,77	4,31	2.533,820	30.499,28	57.970,770	1,43
Humaitá (Município) (130170)	11.276	8.490	4,55	4,17	504,810	9.840,02	33.111,160	1,55
Iranduba (Município) (130185)	11.243	8.238	4,09	3,97	703,240	15.293,16	2.216,820	20,74
Itacoatiara (Município) (130190)	22.799	16.154	4,26	4,03	1.974,210	20.327,11	8.891,910	10,92
Manacapuru (Município) (130250)	20.835	15.708	4,52	4,24	1.585,030	16.830,69	7.336,580	12,84
Manaus (Município) (130260)	579.036	574.362	3,55	3,56	75.150,110	36.521,22	11.401,090	180,48
Manicoré (Município) (130270)	10.950	5.230	4,85	4,39	551,670	10.398,53	48.315,020	1,10
Maués (Município) (130290)	11.484	6.207	5,22	4,78	426,800	7.115,43	39.991,070	1,50
Novo Airão (Município) (130320)	3.637	2.531	4,86	4,50	131,120	7.420,25	37.805,260	0,47
Parintins (Município) (130340)	23.836	17.406	4,68	4,39	1.063,240	9.529,39	5.956,370	18,73
Presidente Figueiredo (Município) (130353)	8.282	4.068	3,96	3,86	852,820	25.991,12	25.412,270	1,29
Rio Preto da Eva (Município) (130356)	7.007	3.486	4,36	4,16	497,640	16.300,04	5.815,620	5,25
