Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ariquemes (Município) (110002)	165,28	9,06	6.752.003,64	0,00	0,00	6.752.003,64	62,60
Cacoal (Município) (110004)	439,35	104,00	0,00	0,00	0,00	0,00	0,00
Jaru (Município) (110011)	417,86	-	0,00	0,00	427.235,58	427.235,58	8,25
Ji-Paraná (Município) (110012)	430,89	-	11.350,00	0,00	1.634.834,73	1.646.184,73	12,76
Porto Velho (Município) (110020)	943,02	70,17	266.594,89	0,00	5.323.880,87	5.590.475,76	10,56
Rolim de Moura (Município) (110028)	320,88	-	1.298.402,68	0,00	0,00	1.298.402,68	23,58
Vilhena (Município) (110030)	655,00	-	1.046.204,09	0,00	0,00	1.046.204,09	10,48
Cruzeiro do Sul (Município) (120020)	188,41	-	0,00	0,00	0,00	0,00	0,00
Rio Branco (Município) (120040)	1.148,66	548,34	45.226,85	0,00	6.512.236,12	6.557.462,97	16,10
Careiro da Várzea (Município) (130115)	9,17	-	12.614,06	0,00	0,00	12.614,06	0,42
Coari (Município) (130120)	-	-	0,00	0,00	0,00	0,00	0,00
Humaitá (Município) (130170)	-	-	0,00	0,00	0,00	0,00	0,00
Iranduba (Município) (130185)	-	-	0,00	0,00	0,00	0,00	0,00
Itacoatiara (Município) (130190)	-	-	0,00	0,00	0,00	0,00	0,00
Manacapuru (Município) (130250)	-	-	0,00	0,00	0,00	0,00	0,00
Manaus (Município) (130260)	3.865,45	579,11	177.458.845,79	0,00	0,00	177.458.845,79	81,30
Manicoré (Município) (130270)	62,00	-	0,00	0,00	0,00	0,00	0,00
Maués (Município) (130290)	-	-	0,00	0,00	0,00	0,00	0,00
Novo Airão (Município) (130320)	74,75	-	0,00	326.520,00	0,00	326.520,00	16,78
Parintins (Município) (130340)	180,00	-	0,00	0,00	0,00	0,00	0,00
Presidente Figueiredo (Município) (130353)	-	-	0,00	0,00	0,00	0,00	0,00
Rio Preto da Eva (Município) (130356)	-	-	0,00	0,00	0,00	0,00	0,00
Tabatinga (Município) (130406)	83,02	-	17.282,73	0,00	0,00	17.282,73	0,26
Tefé (Município) (130420)	-	-	0,00	0,00	0,00	0,00	0,00
Boa Vista (Município) (140010)	1.411,26	970,68	1.467.000,00	0,00	28.777.921,45	30.244.921,45	75,76
Abaetetuba (Município) (150010)	166,00	-	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	-	-	0,00	0,00	0,00	0,00	0,00
Alenquer (Município) (150040)	51,00	-	0,00	0,00	2.610.831,76	2.610.831,76	45,97
Altamira (Município) (150060)	195,92	192,92	0,00	0,00	0,00	0,00	0,00
Ananindeua (Município) (150080)	442,00	87,94	0,00	0,00	38.770.848,71	38.770.848,71	73,07
Barcarena (Município) (150130)	203,00	52,27	3.914.411,47	0,00	0,00	3.914.411,47	31,40
Belém (Município) (150140)	2.127,00	548,75	10.708.768,44	0,00	49.632.262,76	60.341.031,20	40,42
Benevides (Município) (150150)	-	-	0,00	0,00	0,00	0,00	0,00
Bragança (Município) (150170)	97,00	-	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	-	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	-	0,00	0,00	3.762.119,06	3.762.119,06	36,63
Cametá (Município) (150210)	-	-	0,00	0,00	0,00	0,00	0,00
Capanema (Município) (150220)	118,00	-	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	-	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	-	0,00	0,00	9.522.226,98	9.522.226,98	47,42
Dom Eliseu (Município) (150293)	40,00	-	0,00	0,00	0,00	0,00	0,00
Igarapé-Miri (Município) (150330)	65,00	-	0,00	0,00	0,00	0,00	0,00
Ipixuna do Pará (Município) (150345)	-	-	0,00	0,00	0,00	0,00	0,00
Itaituba (Município) (150360)	58,00	-	0,00	0,00	0,00	0,00	0,00
Itupiranga (Município) (150370)	20,00	12,00	2.106.994,61	0,00	0,00	2.106.994,61	39,55
Jacundá (Município) (150380)	37,00	-	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	140,00	-	0,00	220.000,00	0,00	220.000,00	3,80
Marabá (Município) (150420)	235,00	16,50	0,00	0,00	730.630,80	730.630,80	2,62
Marituba (Município) (150442)	116,00	4,00	0,00	0,00	5.903.163,25	5.903.163,25	44,88
Moju (Município) (150470)	25,00	-	0,00	0,00	3.245.296,55	3.245.296,55	39,53
Monte Alegre (Município) (150480)	56,00	-	0,00	0,00	2.971.312,21	2.971.312,21	51,20
Novo Repartimento (Município) (150506)	15,00	15,00	0,00	26.959,00	0,00	26.959,00	0,36
Óbidos (Município) (150510)	66,00	-	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	485,00	-	0,00	429.789,09	6.060.179,69	6.489.968,78	88,79
Paragominas (Município) (150550)	257,05	44,86	396.671,80	12.774.989,22	0,00	13.171.661,02	116,41
Parauapebas (Município) (150553)	990,00	69,30	2.647.559,16	0,00	0,00	2.647.559,16	12,71
Portel (Município) (150580)	22,00	-	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	367,95	27,53	5.395.414,21	0,00	0,00	5.395.414,21	63,63
Rondon do Pará (Município) (150618)	253,00	-	267.983,40	0,00	0,00	267.983,40	5,12
Santa Bárbara do Pará (Município) (150635)	60,00	0,50	0,00	0,00	0,00	0,00	0,00
Santa Izabel do Pará (Município) (150650)	101,00	-	41.920,19	0,00	0,00	41.920,19	0,59
Santana do Araguaia (Município) (150670)	81,86	-	237.204,78	0,00	0,00	237.204,78	3,26
Santarém (Município) (150680)	361,00	26,50	0,00	0,00	2.380.174,72	2.380.174,72	7,81
São Félix do Xingu (Município) (150730)	7,00	-	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	130,00	-	0,00	310.000,00	0,00	310.000,00	5,26
Tailândia (Município) (150795)	50,00	-	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	101,00	-	0,00	0,00	0,00	0,00	0,00
Tucuruí (Município) (150810)	-	-	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	105,00	6,00	0,00	178.492,00	0,00	178.492,00	3,01
Vigia (Município) (150820)	35,00	-	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	20,00	-	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	714,61	95,61	0,00	0,00	1.248.253,19	1.248.253,19	2,48
Santana (Município) (160060)	155,06	9,42	0,00	0,00	0,00	0,00	0,00
Araguaína (Município) (170210)	1.299,08	353,41	29.467.991,61	0,00	0,00	29.467.991,61	163,28
Gurupi (Município) (170950)	529,62	126,92	20.478.112,30	0,00	0,00	20.478.112,30	236,34
Paraíso do Tocantins (Município) (171610)	383,41	104,19	5.974.941,35	0,00	0,00	5.974.941,35	116,58
Porto Nacional (Município) (171820)	788,89	350,18	15.967.706,99	0,00	0,00	15.967.706,99	301,22
Palmas (Município) (172100)	1.762,43	1.113,82	49.506.701,22	0,00	0,00	49.506.701,22	165,50
Açailândia (Município) (210005)	98,40	-	362.031,08	0,00	0,00	362.031,08	3,22
Alcântara (Município) (210020)	22,01	-	84.486,08	0,00	0,00	84.486,08	3,82
Bacabal (Município) (210120)	160,81	14,40	117.200,00	0,00	0,00	117.200,00	1,12
Balsas (Município) (210140)	178,00	-	865.086,71	0,00	0,00	865.086,71	9,12
Barra do Corda (Município) (210160)	105,20	-	366.446,92	0,00	0,00	366.446,92	4,15
Barreirinhas (Município) (210170)	46,40	22,75	664.708,20	0,00	0,00	664.708,20	10,63
Buriticupu (Município) (210232)	52,80	-	60.954,76	0,00	0,00	60.954,76	0,84
Caxias (Município) (210300)	430,50	59,05	130.256,97	0,00	0,00	130.256,97	0,79
Chapadinha (Município) (210320)	74,83	-	194.937,28	0,00	0,00	194.937,28	2,45
Codó (Município) (210330)	313,00	35,00	982.777,20	0,00	0,00	982.777,20	8,00
Coroatá (Município) (210360)	180,15	6,00	636.687,55	0,00	0,00	636.687,55	9,75
Grajaú (Município) (210480)	-	-	0,00	0,00	0,00	0,00	0,00
Imperatriz (Município) (210530)	595,33	136,50	2.517.124,70	0,00	0,00	2.517.124,70	9,73
Itapecuru Mirim (Município) (210540)	72,49	7,25	1.644.768,97	0,00	0,00	1.644.768,97	24,12
Paço do Lumiar (Município) (210750)	727,00	135,00	12.228.156,00	0,00	0,00	12.228.156,00	100,07
Pinheiro (Município) (210860)	80,99	-	606.510,90	0,00	0,00	606.510,90	7,27
Raposa (Município) (210945)	-	-	0,00	0,00	0,00	0,00	0,00
Santa Inês (Município) (210990)	149,67	-	329.179,65	0,00	0,00	329.179,65	3,70
Santa Luzia (Município) (211000)	33,72	-	145.859,56	0,00	0,00	145.859,56	2,01
São José de Ribamar (Município) (211120)	566,00	119,00	15.121.959,00	0,00	0,00	15.121.959,00	85,10
São Luís (Município) (211130)	1.980,48	923,68	15.544.827,60	0,00	0,00	15.544.827,60	14,11
Timon (Município) (211220)	473,50	7,43	7.432.824,84	0,00	0,00	7.432.824,84	43,95
Tutóia (Município) (211250)	23,52	3,44	6.479,92	0,00	0,00	6.479,92	0,11
Vargem Grande (Município) (211270)	66,04	-	1.948.737,62	0,00	0,00	1.948.737,62	34,48
Viana (Município) (211280)	-	-	0,00	0,00	0,00	0,00	0,00
Zé Doca (Município) (211400)	41,95	-	101.817,08	0,00	0,00	101.817,08	1,97
Altos (Município) (220040)	81,06	12,00	647,58	0,00	0,00	647,58	0,02
Beneditinos (Município) (220160)	20,20	-	194,70	0,00	0,00	194,70	0,02
Coivaras (Município) (220273)	36,00	-	0,00	30.000,00	0,00	30.000,00	7,46
Curralinhos (Município) (220325)	-	-	0,00	0,00	0,00	0,00	0,00
Demerval Lobão (Município) (220330)	32,64	-	419,77	0,00	0,00	419,77	0,03
Floriano (Município) (220390)	225,40	6,86	956.157,66	0,00	0,00	956.157,66	15,95
José de Freitas (Município) (220550)	87,81	4,68	711,53	0,00	0,00	711,53	0,02
Lagoa Alegre (Município) (220555)	17,60	-	87,75	0,00	0,00	87,75	0,01
Lagoa do Piauí (Município) (220558)	140,00	-	0,00	140.178,00	0,00	140.178,00	34,49
Miguel Leão (Município) (220630)	-	-	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	30,50	-	206,36	0,00	0,00	206,36	0,02
Nazária (Município) (220672)	14,85	-	61,80	0,00	0,00	61,80	0,01
Parnaíba (Município) (220770)	623,51	171,32	1.395.250,31	0,00	0,00	1.395.250,31	9,11
Pau D'Arco do Piauí (Município) (220779)	-	-	0,00	0,00	0,00	0,00	0,00
Picos (Município) (220800)	120,00	120,42	675.379,19	0,00	0,00	675.379,19	8,63
Piripiri (Município) (220840)	179,00	-	3.888.466,56	0,00	0,00	3.888.466,56	61,00
Teresina (Município) (221100)	2.897,49	527,00	114.825.654,00	0,00	0,00	114.825.654,00	132,77
União (Município) (221110)	66,60	89,19	572,16	0,00	0,00	572,16	0,01
Acaraú (Município) (230020)	102,81	21,53	276.798,72	0,00	0,00	276.798,72	4,42
Acopiara (Município) (230030)	54,40	23,81	456.083,39	0,00	0,00	456.083,39	8,40
Aquiraz (Município) (230100)	147,09	37,53	731.374,33	0,00	0,00	731.374,33	9,11
Aracati (Município) (230110)	164,57	52,54	2.241.544,47	0,00	0,00	2.241.544,47	30,07
Barbalha (Município) (230190)	98,55	44,06	124.017,43	0,00	0,00	124.017,43	2,04
Beberibe (Município) (230220)	58,45	15,71	41.873,11	0,00	0,00	41.873,11	0,78
Boa Viagem (Município) (230240)	238,00	-	8.050,00	0,00	0,00	8.050,00	0,15
Camocim (Município) (230260)	155,00	87,00	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	9.595,00	0,00	0,00	9.595,00	0,12
Cascavel (Município) (230350)	148,39	4,53	1.564.691,05	0,00	0,00	1.564.691,05	21,81
Caucaia (Município) (230370)	636,91	280,19	26.421.728,29	0,00	0,00	26.421.728,29	73,11
Chorozinho (Município) (230395)	72,51	-	21.622,89	0,00	0,00	21.622,89	1,07
Crateús (Município) (230410)	204,23	130,70	1.103.872,47	0,00	0,00	1.103.872,47	14,70
Crato (Município) (230420)	320,63	106,28	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	249,40	25,43	577.909,53	0,00	0,00	577.909,53	10,78
Fortaleza (Município) (230440)	4.176,65	2.633,42	156.338.991,71	0,00	0,00	156.338.991,71	58,57
Granja (Município) (230470)	52,30	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	48,55	8,48	0,00	0,00	0,00	0,00	0,00
Horizonte (Município) (230523)	150,97	12,73	4.768.546,89	0,00	0,00	4.768.546,89	70,82
Icó (Município) (230540)	140,00	49,00	8.531,00	236.030,61	0,00	244.561,61	3,60
Iguatu (Município) (230550)	414,33	31,00	584.380,53	0,00	0,00	584.380,53	5,70
Itaitinga (Município) (230625)	190,45	2,96	262.078,51	0,00	0,00	262.078,51	6,90
Itapajé (Município) (230630)	-	-	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	313,16	51,57	426.949,84	0,00	0,00	426.949,84	3,30
Juazeiro do Norte (Município) (230730)	723,34	170,42	2.572.344,58	0,00	0,00	2.572.344,58	9,38
Limoeiro do Norte (Município) (230760)	201,39	71,35	460.043,53	0,00	0,00	460.043,53	7,73
Maracanaú (Município) (230765)	584,83	227,28	2.877.799,94	0,00	0,00	2.877.799,94	12,63
Maranguape (Município) (230770)	275,71	65,41	556.426,13	0,00	0,00	556.426,13	4,31
Morada Nova (Município) (230870)	633,00	4,00	0,00	0,00	0,00	0,00	0,00
Pacajus (Município) (230960)	152,03	3,10	189.391,52	0,00	0,00	189.391,52	2,62
Pacatuba (Município) (230970)	170,49	42,05	712.101,31	0,00	0,00	712.101,31	8,54
Pindoretama (Município) (231085)	50,00	-	0,00	0,00	0,00	0,00	0,00
Quixadá (Município) (231130)	190,88	83,56	872.380,19	0,00	0,00	872.380,19	9,94
Quixeramobim (Município) (231140)	480,00	-	137.184,01	0,00	0,00	137.184,01	1,69
Russas (Município) (231180)	163,60	55,70	1.561.399,79	0,00	0,00	1.561.399,79	19,97
São Gonçalo do Amarante (Município) (231240)	155,77	43,52	6.999,41	0,00	0,00	6.999,41	0,14
Sobral (Município) (231290)	817,99	540,00	1.955.401,38	0,00	0,00	1.955.401,38	9,36
Tauá (Município) (231330)	103,87	19,09	7.950.478,05	0,00	0,00	7.950.478,05	135,08
Tianguá (Município) (231340)	288,84	68,93	877.492,03	0,00	0,00	877.492,03	11,55
Trairi (Município) (231350)	55,53	7,00	12.001,23	0,00	0,00	12.001,23	0,21
Viçosa do Ceará (Município) (231410)	66,74	15,00	1.579.495,58	0,00	0,00	1.579.495,58	25,94
Açu (Município) (240020)	160,30	-	74.395.313,97	0,00	0,00	74.395.313,97	1.282,30
Caicó (Município) (240200)	309,06	59,00	34.174.622,91	0,00	0,00	34.174.622,91	502,92
Ceará-Mirim (Município) (240260)	204,50	42,80	192.558,28	0,00	0,00	192.558,28	2,62
Parnamirim (Município) (240325)	444,67	69,00	65.743.000,64	0,00	0,00	65.743.000,64	251,44
Extremoz (Município) (240360)	9,80	-	0,00	0,00	0,00	0,00	0,00
Macaíba (Município) (240710)	200,21	21,53	0,00	0,00	0,00	0,00	0,00
Monte Alegre (Município) (240780)	135,96	3,06	37.257.779,22	0,00	0,00	37.257.779,22	1.659,52
Mossoró (Município) (240800)	1.200,62	255,00	116.459.893,30	0,00	0,00	116.459.893,30	391,62
Natal (Município) (240810)	1.674,70	1.056,04	79.319.035,86	0,00	0,00	79.319.035,86	89,72
Nísia Floresta (Município) (240820)	92,19	1,60	26.086.370,24	0,00	0,00	26.086.370,24	945,09
São Gonçalo do Amarante (Município) (241200)	880,00	102,50	1.435.314,99	0,00	0,00	1.435.314,99	14,02
São José de Mipibu (Município) (241220)	82,24	9,00	22.669.790,25	0,00	0,00	22.669.790,25	516,41
Vera Cruz (Município) (241480)	35,52	-	0,00	0,00	0,00	0,00	0,00
Alhandra (Município) (250060)	22,39	-	503.727,36	0,00	0,00	503.727,36	25,72
Bayeux (Município) (250180)	105,86	19,80	2.655.210,31	0,00	0,00	2.655.210,31	27,41
Caaporã (Município) (250300)	38,34	-	303.014,91	0,00	0,00	303.014,91	13,88
Cabedelo (Município) (250320)	78,98	8,75	3.819.068,86	0,00	0,00	3.819.068,86	56,38
Cajazeiras (Município) (250370)	186,60	23,92	3.796.247,39	0,00	641.204,80	4.437.452,19	71,58
Campina Grande (Município) (250400)	763,74	430,28	21.311.468,94	0,00	0,00	21.311.468,94	52,01
Conde (Município) (250460)	25,83	-	2.131.520,51	0,00	0,00	2.131.520,51	86,40
Cruz do Espírito Santo (Município) (250490)	22,13	-	180.011,89	0,00	0,00	180.011,89	10,39
Guarabira (Município) (250630)	135,16	57,04	2.520.665,82	0,00	0,00	2.520.665,82	42,84
João Pessoa (Município) (250750)	1.032,76	654,28	39.471.644,81	0,00	0,00	39.471.644,81	48,79
Lucena (Município) (250860)	23,29	-	9.957.078,32	0,00	0,00	9.957.078,32	761,24
Mamanguape (Município) (250890)	56,87	7,09	912.267,20	0,00	0,00	912.267,20	20,33
Patos (Município) (251080)	217,40	14,57	4.037.222,84	0,00	0,00	4.037.222,84	37,52
Pedras de Fogo (Município) (251120)	16,64	4,02	345.961,34	0,00	0,00	345.961,34	12,16
Pitimbu (Município) (251190)	6,60	-	125.090,47	0,00	0,00	125.090,47	6,56
Rio Tinto (Município) (251290)	44,89	-	614.668,17	0,00	90.462,47	705.130,64	29,17
Santa Rita (Município) (251370)	131,04	21,83	4.551.925,98	0,00	407.087,73	4.959.013,71	36,31
Sapé (Município) (251530)	89,05	18,39	1.224.888,04	0,00	0,00	1.224.888,04	23,28
Sousa (Município) (251620)	-	-	0,00	0,00	0,00	0,00	0,00
Abreu e Lima (Município) (260005)	225,07	90,03	2.483.940,98	0,00	0,00	2.483.940,98	24,84
Araçoiaba (Município) (260105)	20,18	-	760.417,91	0,00	0,00	760.417,91	37,05
Araripina (Município) (260110)	154,51	101,50	211.530,30	0,00	0,00	211.530,30	2,51
Arcoverde (Município) (260120)	193,57	13,06	7.368.846,86	0,00	0,00	7.368.846,86	99,13
Belo Jardim (Município) (260170)	248,03	-	37.927.603,69	0,00	0,00	37.927.603,69	496,18
Bezerros (Município) (260190)	187,28	-	24.668.949,86	0,00	0,00	24.668.949,86	405,75
