"Município";"2008/Jan";"2008/Mar";"2008/Mai";"2010/Mar";"2010/Mai";"2010/Jun";"2011/Mai";"2011/Jun";"2012/Fev";"2012/Mar";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Dez";"2013/Abr";"2014/Set";"2015/Mai";"2019/Mar";"2019/Nov";"2020/Abr";"2020/Mai";"Total"
"170380 Buriti do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170390 Caseara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170710 Divinópolis do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"170950 Gurupi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"171320 Miracema do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171330 Miranorte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171360 Monte do Carmo";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"172100 Palmas";-;1;-;-;-;-;2;-;-;2;-;1;1;-;-;-;-;1;1;1;-;10
"171610 Paraíso do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"171820 Porto Nacional";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"172020 São Miguel do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"Total";1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;23
