"Município";"2009/Abr";"2009/Mai";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Set";"2010/Out";"2010/Nov";"2012/Jul";"2012/Set";"2012/Nov";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Out";"2013/Dez";"2014/Dez";"2015/Jan";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Dez";"2016/Jan";"2016/Out";"2018/Abr";"2018/Nov";"2019/Mar";"2019/Jul";"2019/Out";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Abr";"2020/Mai";"2021/Fev";"Total"
"510025 Alta Floresta";...;...;-;-;-;-;-;...;...;...;...;...;-;-;20,00;-;-;-;...;33,33;-;16,67;...;...;-;...;-;...;...;...;-;-;-;100,00;-;-;...;1,86
"510030 Alto Araguaia";-;-;...;...;-;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;-;-;25,00;-;...;1,96
"510180 Barra do Garças";-;-;-;-;-;10,00;-;...;...;...;-;...;-;...;...;...;...;...;...;...;...;...;-;...;...;...;50,00;...;...;-;...;...;...;-;...;...;...;2,41
"510190 Brasnorte";...;-;...;...;...;...;-;...;...;-;-;-;-;...;-;...;-;-;...;-;...;-;-;-;-;...;-;...;...;...;-;...;-;-;11,11;-;-;0,47
"510250 Cáceres";-;-;1,69;2,94;-;-;-;-;...;-;-;-;-;-;-;...;-;...;-;...;-;...;...;-;...;...;-;...;...;-;...;...;-;-;-;...;...;0,98
"510267 Campo Verde";-;-;-;-;-;-;-;...;...;...;-;...;...;-;14,29;-;-;...;-;...;-;...;-;-;-;...;...;...;...;...;...;-;...;-;-;-;-;0,35
"510320 Colíder";...;...;-;-;-;-;-;...;...;...;...;...;...;-;-;-;-;-;...;...;-;-;-;-;-;...;...;...;...;...;...;...;-;...;...;...;12,50;0,58
"510325 Colniza";...;...;...;-;-;...;-;...;...;...;...;...;...;...;-;-;-;-;...;...;-;-;...;33,33;-;...;-;...;-;-;-;-;-;-;...;-;...;0,50
"510330 Comodoro";-;...;...;-;-;-;-;...;-;-;-;-;-;-;-;6,25;-;-;-;...;-;-;-;-;-;-;...;-;...;...;...;-;-;-;-;-;...;0,17
"510340 Cuiabá";2,15;0,69;-;-;-;-;-;-;14,29;-;9,09;14,29;-;-;-;-;-;-;-;25,00;-;-;-;-;-;...;...;-;...;-;...;...;-;...;-;-;...;0,40
"510350 Diamantino";-;-;-;-;-;16,67;33,33;-;-;-;-;-;...;-;-;...;...;...;...;...;...;-;...;-;-;...;...;...;...;...;...;...;...;...;...;...;...;1,77
"510410 Guarantã do Norte";...;-;-;-;-;-;-;...;...;100,00;...;...;...;-;...;...;...;...;...;...;...;...;...;-;-;...;...;...;...;...;...;...;...;-;-;-;...;1,72
"510520 Juscimeira";-;-;-;-;5,26;-;-;-;...;-;-;...;-;-;-;-;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;-;-;-;-;0,31
"510525 Lucas do Rio Verde";-;6,25;-;-;-;-;-;-;...;...;...;...;-;-;...;...;...;...;...;-;-;-;-;...;-;...;...;...;...;-;...;-;-;-;-;-;...;0,34
"510560 Matupá";...;-;-;-;-;...;...;...;...;...;-;...;...;...;...;...;100,00;...;-;...;-;...;-;-;-;...;...;...;...;...;...;...;-;-;-;...;...;2,27
"510622 Nova Mutum";-;-;-;-;-;-;-;...;...;-;-;...;100,00;-;-;-;...;...;-;...;...;...;...;-;-;...;...;...;...;-;...;...;-;-;-;-;-;0,51
"510619 Nova Santa Helena";...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;100,00;...;11,11
"510625 Nova Xavantina";...;...;...;...;-;-;-;...;...;-;...;...;...;...;...;...;...;...;...;...;-;-;...;-;-;...;...;...;-;-;100,00;...;...;-;...;-;...;1,27
"510700 Poxoréo";...;...;...;-;-;-;-;...;...;-;...;...;-;-;...;-;-;-;...;-;-;-;-;-;-;100,00;...;...;-;...;-;-;...;-;...;...;...;0,47
"510704 Primavera do Leste";-;...;-;-;-;6,25;-;-;-;...;-;-;...;-;-;-;...;-;...;...;-;-;-;-;-;...;...;...;-;...;...;...;-;-;-;-;-;0,41
"510760 Rondonópolis";-;-;-;-;-;1,79;2,38;...;...;...;-;-;...;-;-;-;-;100,00;...;...;-;-;-;...;...;...;...;...;-;-;...;...;-;-;-;-;...;0,51
"510735 São José do Xingu";-;-;...;...;...;-;-;...;-;-;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;-;...;1,52
