"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2018/Fev";"2018/Mar";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Mai";"2020/Jul";"2020/Ago";"Total"
"140005 Alto Alegre";353,15;-;523,20;2354,40;4314,22;1831,20;3995,94;3453,11;784,80;784,80;1046,40;354,90;287,76;287,76;287,76;575,52;287,76;287,76;1507,91;287,76;-;575,52;287,76;575,52;287,76;1151,04;575,52;2690,55;287,76;2014,32;3272,91;2741,78;2274,57;1151,04;1438,80;2302,08;3453,12;287,76;676,23;863,28;1151,04;1438,80;1438,80;863,28;3165,36;2014,32;1151,04;1151,04;-;863,28;863,28;1438,80;4805,58;1151,04;5467,44;2014,32;2302,08;1151,04;575,52;287,76;863,28;-;-;-;-;-;-;287,76;-;-;-;-;-;-;354,90;-;-;-;-;-;-;-;-;287,76;-;-;-;388,47;-;676,23;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429,24;-;-;-;287,76;55,27;-;-;52,22;-;-;-;-;-;-;-;87801,90
"140002 Amajari";-;-;-;-;-;-;-;281,60;-;261,60;-;-;416,12;-;-;-;-;-;-;-;429,24;-;-;-;-;-;-;-;311,76;327,76;-;354,90;388,47;-;388,47;-;-;-;-;420,90;-;-;-;-;-;-;-;-;-;-;354,90;-;-;388,47;-;-;-;-;-;-;-;-;-;-;354,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;550,05;-;-;5229,14
"140010 Boa Vista";523,20;3227,25;4846,96;17114,79;20646,68;22026,81;33475,93;45288,13;27312,66;12083,15;13753,96;16889,91;18131,22;26918,73;31583,32;16575,63;15948,02;3736,13;9708,81;10885,69;7326,22;7657,83;7685,37;5123,01;3366,02;5816,31;7699,44;12480,11;29072,64;49471,63;38232,97;18148,26;11120,31;5534,63;4990,28;1501,71;7225,78;4418,24;2036,34;1934,20;1165,41;1669,22;3779,28;4033,76;1131,84;2340,45;1909,65;3801,85;2638,32;1993,46;1803,83;3832,82;4217,85;10765,51;4531,60;3558,02;2203,74;1553,88;2140,88;776,94;1049,07;388,47;493,98;838,67;2154,56;980,59;388,47;3097,17;-;2882,16;-;-;1552,03;388,47;1503,37;-;776,94;4531,26;1929,76;1911,61;442,63;2141,86;1469,17;1231,37;1923,67;1064,70;592,64;403,38;2394,14;6808,58;3849,99;2786,76;363,82;719,64;1107,87;55,27;758,04;-;764,94;-;3767,29;782,73;1051,96;1636,51;-;1422,57;1587,74;2857,62;1877,83;1568,80;1557,27;1849,59;1214,82;402,90;-;-;803,34;420,87;711,64;374,10;399,53;374,10;-;750,73;1260,18;1886,07;2602,11;2677,15;-;1044,39;-;748,20;1432,03;1859,19;7151,50;7980,82;6841,09;5993,14;5124,19;767,40;-;-;537,79;768428,83
"140015 Bonfim";-;-;-;-;784,80;1308,00;2430,77;1098,71;261,60;837,12;261,60;287,76;575,52;2302,08;1843,27;863,28;354,90;295,76;287,76;-;940,02;717,73;354,90;-;-;-;388,47;752,97;575,52;1496,34;287,76;-;287,76;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;287,76;287,76;-;-;287,76;-;-;709,80;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351,03;394,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23663,57
"140017 Cantá";-;-;-;337,91;-;763,42;523,20;1512,93;261,60;261,60;295,76;-;-;345,30;752,97;1539,51;388,47;-;-;-;791,37;388,47;-;-;-;767,40;776,94;709,80;762,81;1880,52;820,10;-;-;-;393,30;-;490,02;388,47;-;-;-;-;-;-;-;-;-;-;-;439,70;-;-;-;-;-;-;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;-;1153,09;-;-;-;-;-;-;402,90;-;-;-;-;-;-;-;-;-;374,10;-;-;-;-;-;-;-;-;374,10;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364,50;-;893,21;374,10;799,06;-;-;-;-;21103,57
"140020 Caracaraí";-;-;-;-;614,75;261,60;837,11;261,60;1399,55;-;-;-;287,76;2329,20;575,52;287,76;287,76;-;-;-;-;-;-;804,01;1539,51;1617,81;18122,61;6345,09;6715,97;9730,40;1978,32;2388,42;287,76;-;287,76;1438,80;575,52;1927,98;-;287,76;827,31;1126,46;575,52;863,28;287,76;-;-;-;-;287,76;727,46;374,34;439,70;388,47;-;-;287,76;-;-;-;374,34;287,76;-;-;575,52;-;-;287,76;287,76;-;-;575,52;-;287,76;-;-;287,76;-;-;-;575,52;1151,04;287,76;-;287,76;828,17;287,76;287,76;1726,56;602,33;570,84;1254,60;-;-;-;-;-;-;-;-;-;-;-;-;462,11;-;-;-;-;343,76;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;410,07;-;-;-;-;-;-;569,62;355,82;-;703,29;-;-;-;-;-;81340,86
"140023 Caroebe";-;-;353,15;-;-;281,60;-;261,60;-;-;-;-;-;4129,35;2877,60;2014,32;287,76;575,52;2148,60;2877,60;863,28;-;-;642,66;4028,64;6330,72;7690,79;2302,08;1151,04;287,76;415,54;354,90;-;-;-;575,52;-;575,52;-;-;-;575,52;-;-;-;-;-;-;-;633,06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;374,34;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;327,88;-;355,98;654,79;170,30;-;-;-;-;311,76;-;-;-;-;-;45113,41
"140028 Iracema";261,60;-;-;-;-;-;-;615,11;-;-;-;-;-;-;388,47;-;-;-;-;-;-;287,76;388,47;-;-;-;-;-;287,76;295,76;287,76;-;374,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;430,42;-;445,37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;374,10;374,10;-;-;-;-;-;-;-;423,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5809,98
"140030 Mucajaí";-;-;523,20;1569,60;261,60;261,60;-;1151,02;261,60;261,60;575,52;997,56;642,66;1590,74;1151,04;1726,56;1779,71;575,52;287,76;863,28;2302,08;1151,04;1677,42;-;-;1018,15;1852,44;1151,04;676,23;3721,64;4563,12;5423,13;1827,27;1784,10;1378,86;287,76;-;-;287,76;-;388,47;287,76;1251,75;867,06;-;-;-;-;642,66;-;-;287,76;1726,56;652,26;1033,56;-;575,52;287,76;603,52;-;364,50;438,84;-;-;-;388,47;388,47;-;-;-;-;-;287,76;-;575,52;-;-;-;287,76;-;-;-;374,34;287,76;287,76;-;-;287,76;364,50;2142,26;2014,32;1726,56;-;287,76;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;311,76;-;-;-;-;-;-;364,50;1122,30;930,42;393,30;-;-;-;-;-;-;66677,15
"140040 Normandia";-;-;-;-;-;784,80;-;-;-;-;-;-;-;-;-;388,47;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;-;287,76;-;-;575,52;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;575,52;-;287,76;-;287,76;-;-;-;-;287,76;388,47;-;-;-;-;787,67;-;-;-;575,52;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;44,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;287,76;287,76;-;287,76;-;9012,11
