"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2009/Fev";"2009/Mar";"2010/Mar";"2010/Mai";"2010/Jun";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Mai";"2012/Ago";"2012/Nov";"2012/Dez";"2013/Fev";"2013/Jul";"2013/Out";"2013/Nov";"2013/Dez";"2014/Fev";"2014/Abr";"2014/Jun";"2014/Jul";"2015/Jan";"2015/Abr";"2015/Jul";"2015/Ago";"2015/Nov";"2016/Jan";"2016/Fev";"2017/Mar";"2018/Jan";"2018/Dez";"2019/Ago";"2019/Dez";"2020/Fev";"2020/Mai";"2020/Jun";"2021/Fev";"Total"
"150060 Altamira";...;...;...;...;-;-;...;...;...;...;...;100,00;...;...;...;...;...;...;-;-;...;...;-;100,00;...;-;-;-;...;...;...;100,00;...;...;100,00;-;...;...;-;-;-;...;100,00;...;...;...;...;50,00;...;...;...;100,00;-;-;-;...;10,29
"150070 Anajás";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;33,33
"150080 Ananindeua";...;...;-;...;-;-;...;...;-;-;...;...;...;33,33;-;-;-;-;-;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;-;...;...;...;...;...;...;...;...;...;...;4,44
"150085 Anapu";...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;-;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;10,00
"150090 Augusto Corrêa";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;20,00
"150110 Bagre";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;50,00
"150140 Belém";...;-;-;-;-;-;25,00;...;-;-;-;-;6,67;-;-;12,50;-;9,09;9,09;100,00;-;33,33;100,00;50,00;20,00;-;12,50;50,00;...;-;50,00;100,00;...;-;-;...;...;33,33;100,00;...;...;-;-;...;-;-;...;100,00;-;...;-;...;...;-;...;-;6,20
"150150 Benevides";...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;...;...;100,00;...;...;...;...;...;25,00
"150157 Bom Jesus do Tocantins";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;50,00
"150170 Bragança";...;...;...;...;...;...;...;...;-;50,00;...;...;-;...;-;-;...;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,76
