"Município";"2008/Mai";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mai";"2010/Set";"2010/Nov";"2011/Mai";"2012/Abr";"2012/Nov";"2015/Jun";"2016/Mar";"2017/Mar";"2018/Fev";"2019/Jul";"2020/Mar";"Total"
"110040 Alto Paraíso";...;...;-;...;...;...;...;...;...;...;...;...;...;...;100,00;...;25,00
"110002 Ariquemes";...;...;25,00;-;...;...;...;...;...;...;...;-;100,00;...;...;...;13,33
"110004 Cacoal";...;-;9,09;-;...;...;...;...;...;...;...;...;...;...;...;...;3,13
"110080 Candeias do Jamari";...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;-;...;50,00
"110011 Jaru";...;16,67;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,56
"110012 Ji-Paraná";...;-;-;...;100,00;...;...;...;...;...;...;100,00;-;...;...;...;5,56
"110015 Ouro Preto do Oeste";...;20,00;16,67;...;...;...;...;...;...;100,00;100,00;...;...;-;...;...;23,53
"110018 Pimenta Bueno";...;-;20,00;-;...;...;...;...;...;...;...;...;...;...;...;...;6,67
"110020 Porto Velho";50,00;-;14,29;14,29;...;...;100,00;100,00;100,00;...;...;...;...;50,00;...;-;10,84
"110028 Rolim de Moura";...;...;50,00;-;...;...;...;...;...;...;...;...;...;...;...;...;9,09
"110030 Vilhena";...;-;-;-;-;...;...;...;...;-;...;...;...;...;...;50,00;3,57
"Total";50,00;4,26;11,67;5,56;50,00;100,00;50,00;50,00;100,00;33,33;100,00;50,00;33,33;33,33;33,33;25,00;7,50
