"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2018/Fev";"2018/Mar";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Mai";"2020/Jul";"2020/Ago";"Total"
"140005 Alto Alegre";1;-;2;9;16;7;14;13;3;3;4;1;1;1;1;2;1;1;4;1;-;2;1;2;1;4;2;9;1;7;10;9;7;4;5;8;12;1;2;3;4;5;5;3;11;7;4;4;-;3;3;5;16;4;19;7;8;4;2;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;304
"140002 Amajari";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;14
"140010 Boa Vista";2;11;17;54;66;69;113;154;89;40;42;45;53;74;85;40;44;10;25;26;19;19;20;13;8;15;19;31;70;123;98;47;28;13;11;4;14;11;5;5;3;4;10;10;3;6;5;10;7;5;4;10;6;19;9;9;6;4;5;2;2;1;1;2;5;2;1;8;-;5;-;-;4;1;2;-;2;2;5;5;1;6;4;3;3;3;2;1;6;14;11;7;1;2;3;1;2;-;2;-;3;3;3;4;-;3;6;6;6;4;4;7;3;1;-;-;2;1;2;1;1;1;-;3;4;6;7;8;-;3;-;2;4;5;17;20;14;16;15;2;-;-;1;2077
"140015 Bonfim";-;-;-;-;3;5;9;4;1;3;1;1;2;8;6;3;1;1;1;-;3;1;1;-;-;-;1;2;2;5;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80
"140017 Cantá";-;-;-;1;-;2;2;5;1;1;1;-;-;1;2;4;1;-;-;-;2;1;-;-;-;2;2;2;2;5;2;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;-;-;-;-;55
"140020 Caracaraí";-;-;-;-;2;1;3;1;5;-;-;-;1;7;2;1;1;-;-;-;-;-;-;2;5;5;56;21;22;32;6;8;1;-;1;5;2;6;-;1;2;3;2;3;1;-;-;-;-;1;2;1;1;1;-;-;1;-;-;-;1;1;-;-;2;-;-;1;1;-;-;2;-;1;-;-;1;-;-;-;2;4;1;-;1;2;1;1;6;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;256
"140023 Caroebe";-;-;1;-;-;1;-;1;-;-;-;-;-;14;10;7;1;2;7;10;3;-;-;2;14;22;26;8;4;1;1;1;-;-;-;2;-;2;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;1;-;-;-;-;1;-;-;-;-;-;155
"140028 Iracema";1;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"140030 Mucajaí";-;-;2;6;1;1;-;4;1;1;2;3;2;5;4;6;5;2;1;3;8;4;4;-;-;3;6;4;2;12;14;18;6;6;4;1;-;-;1;-;1;1;4;2;-;-;-;-;2;-;-;1;6;2;3;-;2;1;1;-;1;1;-;-;-;1;1;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;1;1;-;-;1;1;7;7;6;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;3;3;1;-;-;-;-;-;-;214
"140040 Normandia";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;1;-;30
"140045 Pacaraima";1;-;-;2;2;2;3;1;2;-;-;1;-;-;1;1;-;1;1;-;3;2;2;1;2;2;5;8;3;18;5;2;3;-;-;1;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;1;3;1;1;-;2;-;-;-;-;1;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;104
"140047 Rorainópolis";2;-;6;8;5;-;-;2;2;15;5;1;4;3;4;4;2;2;3;4;6;1;1;2;4;1;7;6;13;5;-;2;-;-;3;-;-;1;2;-;1;1;-;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;151
"140050 São João da Baliza";-;-;1;6;3;11;6;2;-;-;-;1;-;-;3;4;2;15;17;31;12;8;1;4;11;33;40;39;21;7;6;2;-;1;1;2;2;1;-;2;2;6;4;7;1;-;4;1;9;10;9;14;5;1;6;4;1;3;2;1;2;1;-;3;1;1;1;1;2;1;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;1;-;1;-;-;-;-;-;-;-;2;5;2;7;1;-;5;1;1;-;-;1;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;439
"140060 São Luiz";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;-;-;-;-;-;1;7;33;2;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;1;2;7;6;3;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
"140070 Uiramutã";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"Total";7;11;30;86;98;102;150;190;104;64;55;54;64;115;121;74;58;34;59;75;57;39;32;26;45;87;165;137;176;219;144;91;49;24;27;24;32;24;12;15;13;24;26;26;18;14;13;17;20;31;25;36;40;31;40;22;19;13;11;5;11;4;1;6;11;5;4;12;4;6;2;2;7;2;8;3;6;3;8;13;5;11;6;7;5;6;3;4;14;27;23;17;3;7;9;1;3;1;3;1;4;6;4;5;1;3;6;9;11;14;11;11;3;6;1;1;2;2;3;1;2;3;2;4;5;6;11;12;1;3;2;8;7;7;23;26;17;20;19;3;1;1;1;3982
