"Município";"2008/Mar";"2008/Jun";"2009/Mar";"2009/Jun";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Mar";"2011/Abr";"2011/Jul";"2011/Ago";"2011/Set";"2012/Jan";"2012/Fev";"2013/Jan";"2013/Mai";"2014/Ago";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Nov";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Set";"2016/Dez";"2017/Mai";"2018/Dez";"2019/Mar";"2019/Abr";"2019/Mai";"2020/Abr";"2020/Set";"Total"
"210005 Açailândia";-;-;-;-;-;-;-;-;-;-;-;-;...;-;...;-;-;...;-;-;-;...;...;-;-;-;...;...;-;...;...;-;50,00;...;...;0,28
"210030 Aldeias Altas";...;...;-;-;...;-;...;...;...;-;...;...;...;...;...;-;-;-;-;-;-;14,29;-;-;-;-;-;-;-;-;-;-;-;...;-;0,10
"210043 Alto Alegre do Maranhão";...;-;-;...;...;...;...;...;...;...;...;...;...;100,00;...;-;-;...;...;-;...;...;...;-;-;-;...;...;-;...;-;...;-;...;...;2,63
"210140 Balsas";...;...;...;...;-;...;...;-;-;-;-;-;-;-;-;...;-;...;-;-;-;...;...;-;-;-;...;-;-;...;-;20,00;-;-;...;0,52
"210200 Bom Jardim";-;-;-;...;-;-;-;-;-;-;-;-;-;9,09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;0,19
"210210 Brejo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;-;3,70;-;...;...;...;...;...;-;...;...;...;0,08
"210300 Caxias";-;-;-;...;-;...;-;...;-;-;-;-;-;-;-;...;-;...;...;...;...;-;...;-;-;100,00;...;...;-;...;...;-;-;...;...;1,05
"210320 Chapadinha";-;50,00;-;-;-;...;-;-;-;-;...;...;-;...;...;...;-;...;...;-;-;...;-;-;-;-;-;...;...;...;-;-;-;...;...;0,64
"210330 Codó";...;-;-;12,50;...;-;...;...;...;...;-;-;-;...;-;-;...;...;...;...;...;...;...;...;...;...;...;-;...;...;-;-;...;...;...;1,79
"210360 Coroatá";-;-;-;...;-;-;100,00;100,00;-;-;...;-;...;-;-;...;-;...;...;...;...;...;...;-;...;...;...;...;...;...;...;...;...;...;...;2,90
"210370 Cururupu";...;...;...;...;-;33,33;...;-;...;-;-;-;...;...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,14
"210530 Imperatriz";1,64;-;9,09;-;-;-;-;-;-;-;20,00;50,00;-;-;-;...;...;-;-;-;...;...;-;-;-;...;-;-;-;...;-;-;-;...;...;0,81
"210540 Itapecuru Mirim";...;...;...;...;...;...;...;...;-;...;...;...;100,00;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-;7,69;...;-;-;...;...;...;0,60
"210570 Lago da Pedra";-;...;-;-;...;...;...;...;...;-;-;...;100,00;...;...;...;...;...;...;...;...;...;...;...;-;-;-;...;-;...;50,00;-;-;100,00;...;2,19
"210860 Pinheiro";-;...;-;-;-;-;-;...;-;-;-;...;-;...;-;-;...;100,00;-;-;-;-;...;14,29;-;-;...;...;-;-;...;-;...;...;...;1,40
"210900 Porto Franco";-;...;-;-;...;...;-;-;-;10,00;-;-;-;-;-;...;-;...;-;-;-;-;...;-;-;-;...;-;-;...;-;-;-;...;...;0,28
"210980 Santa Helena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;11,11;-;-;-;-;-;-;-;...;...;...;...;-;-;-;...;...;0,21
"210990 Santa Inês";-;-;...;...;-;100,00;-;-;-;-;-;...;...;-;-;...;-;...;-;-;...;...;...;-;-;-;...;-;...;...;-;-;-;...;...;0,40
"211020 Santa Rita";-;...;...;...;...;...;...;-;-;-;...;...;...;...;...;...;...;...;-;-;...;...;...;-;...;...;...;100,00;...;...;...;...;...;...;...;2,38
"211120 São José de Ribamar";-;-;-;...;-;-;...;-;-;33,33;-;-;-;...;...;-;-;-;-;-;-;...;-;-;...;-;100,00;...;-;100,00;...;...;...;...;...;1,94
"211130 São Luís";-;-;-;-;-;-;-;-;3,45;-;-;1,92;-;-;-;-;4,76;-;-;9,09;4,35;-;-;4,55;-;-;...;-;-;...;...;-;-;-;100,00;0,47
"211174 Senador Alexandre Costa";...;-;...;...;...;...;...;...;...;...;...;...;...;...;...;100,00;...;...;-;-;-;-;-;-;-;-;...;...;...;-;...;-;...;...;...;1,37
"211250 Tutóia";-;...;-;-;25,00;-;-;-;-;-;-;-;-;-;...;...;-;-;-;-;-;...;-;-;-;-;-;-;...;...;-;...;...;-;...;0,18
"211270 Vargem Grande";-;...;...;...;...;-;...;-;...;...;...;...;-;...;...;-;...;...;-;-;...;...;100,00;-;...;-;...;-;...;...;...;...;...;...;...;1,11
"211400 Zé Doca";-;...;-;-;...;...;-;-;...;...;...;-;-;...;25,00;-;-;...;-;-;-;-;...;-;-;...;...;...;-;...;...;-;-;...;...;0,70
"Total";0,17;0,51;0,29;0,34;0,46;0,70;0,28;0,19;0,12;0,30;0,28;0,50;0,75;0,40;0,19;0,43;0,27;0,53;0,12;0,13;0,18;0,32;1,11;0,18;0,10;0,26;0,76;0,90;0,35;3,85;0,48;0,24;0,25;1,56;6,25;0,11
