"Município";"2009/Mai";"2009/Nov";"2009/Dez";"2010/Fev";"2010/Mar";"2010/Abr";"2011/Jan";"2011/Mar";"2011/Abr";"2012/Abr";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2014/Jan";"2015/Mar";"2015/Jun";"2015/Jul";"2016/Abr";"2016/Jul";"2016/Dez";"2017/Mar";"2017/Abr";"2017/Mai";"Total"
"110001 Alta Floresta D'Oeste";-;-;2,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;-;...;-;0,12
"110002 Ariquemes";-;-;-;2,94;-;-;-;-;-;-;-;-;-;-;6,25;-;-;-;-;-;14,29;-;-;-;0,50
"110045 Buritis";...;...;-;...;-;...;...;...;...;100,00;-;-;-;-;-;-;...;...;-;...;...;-;-;...;0,68
"110004 Cacoal";20,00;-;-;-;-;-;-;-;-;...;7,14;-;-;-;-;-;-;...;-;...;-;...;-;...;0,38
"110070 Campo Novo de Rondônia";...;-;-;-;-;-;-;-;-;...;-;-;-;-;-;-;-;...;14,29;...;-;-;-;-;0,23
"110092 Chupinguaia";...;...;...;...;...;...;...;...;-;...;-;...;-;100,00;...;...;-;-;...;-;...;...;...;...;3,13
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;33,33;-;-;-;-;-;-;...;-;-;-;...;0,08
"110010 Guajará-Mirim";-;-;-;8,33;-;-;-;-;...;...;-;-;...;...;-;-;-;...;...;...;-;...;...;...;0,35
"110011 Jaru";-;-;2,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;-;...;-;50,00;-;-;0,30
"110012 Ji-Paraná";-;-;-;0,85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,03
"110013 Machadinho D'Oeste";-;-;-;-;16,67;-;-;-;-;...;-;-;...;...;-;...;...;...;...;...;...;...;-;...;0,82
"110120 Ministro Andreazza";...;-;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;...;...;...;33,33;...;0,80
"110020 Porto Velho";...;-;-;-;-;-;-;12,50;11,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,23
"110025 Presidente Médici";-;-;-;-;-;-;-;-;-;-;-;2,27;-;-;-;-;-;-;-;...;...;...;-;...;0,16
"110028 Rolim de Moura";-;1,14;0,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50,00;-;-;-;33,33;0,23
"110175 Vale do Anari";...;-;-;-;-;...;...;...;...;...;...;-;...;...;...;...;...;50,00;...;-;-;...;...;...;1,15
"110030 Vilhena";-;-;-;-;-;3,70;14,29;-;-;-;-;-;-;-;...;11,11;16,67;-;-;...;-;-;-;...;0,64
"Total";0,35;0,15;0,25;0,30;0,20;0,30;0,26;0,28;0,38;0,51;0,20;0,25;0,42;0,61;0,50;0,63;0,92;1,89;0,51;2,63;1,02;0,91;1,39;2,22;0,12
