"Município";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210005 Açailândia";-;-;-;261,60;311,94;784,80;1569,60;2456,64;3400,80;2092,80;3662,40;784,80;523,20;1046,40;549,36;-;287,76;575,52;1168,08;2589,84;1304,40;575,52;2589,84;2030,32;575,52;575,52;863,28;-;591,52;919,28;1263,04;1105,29;631,52;2608,94;3149,60;1910,56;607,52;1255,04;615,52;615,52;311,76;1798,56;3389,75;2166,32;3167,16;1963,53;-;623,52;335,76;-;-;623,52;623,52;615,52;-;-;-;303,76;615,52;-;287,76;-;-;-;-;311,76;1231,04;1558,80;927,67;607,52;303,76;303,76;-;-;311,76;-;-;311,76;287,76;-;311,76;903,28;303,76;327,76;-;374,10;287,76;-;1806,56;6571,19;5524,86;6858,48;1502,80;644,66;-;-;-;-;-;-;311,76;-;911,28;287,76;575,52;287,76;-;-;-;-;295,76;-;-;-;919,28;1215,04;287,76;879,28;623,52;-;-;303,76;-;-;-;-;-;-;327,76;295,76;-;-;-;-;-;295,76;-;599,52;303,76;-;311,76;607,91;631,52;631,52;-;-;-;-;-;615,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;106058,84
"210010 Afonso Cunha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;575,52;-;287,76;287,76;-;-;-;-;1151,04;287,76;-;-;-;575,52;-;-;-;-;287,76;575,52;2022,32;2589,84;2885,60;2014,32;1438,80;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;1247,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;17705,36
"210015 Água Doce do Maranhão";-;-;-;-;-;-;-;-;523,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;287,76;-;287,76;623,52;-;-;-;-;325,71;-;-;287,76;287,76;311,76;287,76;287,76;-;-;-;-;287,76;-;-;-;-;-;295,76;-;-;303,76;-;-;-;-;615,52;1550,80;3381,36;4660,40;2757,84;607,52;-;303,76;-;-;-;-;303,76;2430,08;1822,56;-;607,52;-;2470,08;-;-;-;-;-;-;591,52;-;295,76;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28267,31
"210020 Alcântara";-;-;-;-;-;-;-;-;523,20;523,20;261,60;-;261,60;-;-;-;-;-;-;287,76;-;-;439,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;340,90;-;-;607,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6155,08
"210030 Aldeias Altas";-;-;-;-;-;261,60;-;-;-;-;-;-;-;2469,10;523,20;1364,00;1766,56;3213,36;2014,32;7929,52;6426,72;9256,32;9608,08;3469,12;-;287,76;287,76;-;4364,40;3205,36;1438,80;1151,04;295,76;-;-;-;-;-;-;303,76;-;-;303,76;-;2504,80;645,47;373,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;615,52;591,52;591,52;1822,56;2046,32;879,28;607,52;287,76;615,52;-;-;-;2438,08;911,28;1526,80;311,76;2757,84;-;1215,04;303,76;911,28;303,76;1518,80;4860,16;7626,00;5499,68;7298,24;4852,16;4220,64;2203,26;1207,04;2653,84;1798,56;3261,36;287,76;3066,74;3237,36;303,76;5083,92;17665,84;21326,96;8649,04;8960,80;4524,40;3940,88;2126,32;3940,88;3037,60;1822,56;1502,80;7554,00;6067,20;5779,44;6394,96;5377,59;5763,44;9416,56;3653,12;3948,88;5779,44;5467,68;3948,88;1822,56;1822,56;3645,12;1199,04;1518,80;607,52;1518,80;911,28;311,76;607,52;-;911,28;1822,56;1518,80;1518,80;935,28;-;-;607,52;-;-;-;-;-;919,28;-;303,76;607,52;-;-;295,76;-;-;607,52;303,76;607,52;312754,27
"210040 Altamira do Maranhão";-;-;-;-;-;-;-;690,43;-;301,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1605,50
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-;-;-;-;281,60;-;-;-;-;311,76;-;-;-;287,76;-;395,66;-;-;-;-;-;-;-;-;-;335,96;-;-;-;-;-;295,76;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;580,01;-;-;-;-;-;575,52;-;311,76;287,76;-;-;390,91;-;-;-;303,76;-;-;-;-;327,76;-;-;-;-;-;303,76;-;-;-;-;-;-;319,76;-;-;-;-;303,76;-;-;-;-;-;-;-;-;319,76;599,52;1223,04;903,28;655,12;295,76;303,76;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,52;629,47;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12053,77
"210047 Alto Alegre do Pindaré";-;-;-;523,20;261,60;-;-;-;-;-;261,60;523,20;-;261,60;-;261,60;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,52;303,76;615,52;1223,04;2406,08;3645,12;10703,60;22542,24;15491,76;4588,40;3661,12;9784,32;7602,00;4260,64;2134,32;3053,60;3653,12;2765,84;3093,60;4020,88;1822,56;3685,12;1542,80;1223,04;3357,36;303,76;2174,32;1231,04;2510,08;1878,56;623,52;1798,56;8449,28;9624,32;4884,16;3956,88;3677,12;2150,32;919,28;3725,12;1223,04;919,28;3988,88;311,76;919,28;1231,04;3053,60;4316,64;5499,68;4556,40;1215,04;1854,56;2398,08;303,76;1215,04;1518,80;919,28;919,28;12720,46;5784,58;1526,80;1223,04;903,28;2334,08;1806,56;911,28;1838,56;1790,56;1486,80;-;324,90;-;1215,04;2126,32;-;-;-;-;-;-;-;-;295,76;1183,04;-;607,52;190,45;190,45;494,21;-;599,52;1802,91;607,52;303,76;303,76;311,76;607,52;607,52;-;591,52;303,76;295,76;-;-;303,76;303,76;-;903,28;3037,60;903,28;303,76;295,76;303,76;-;-;-;303,76;-;-;615,52;-;-;-;-;295,76;-;-;-;-;-;257584,44
"210050 Alto Parnaíba";-;-;-;261,60;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;287,76;311,76;-;-;-;-;-;-;-;-;-;1175,04;2925,60;2326,08;1726,56;575,52;-;-;-;-;-;-;1175,04;575,52;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;1782,56;1494,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;607,52;-;667,94;295,76;-;-;-;-;-;-;-;-;-;607,52;911,28;-;-;-;-;-;-;-;-;1231,04;1534,80;303,76;303,76;-;-;-;-;-;-;-;-;-;23109,38
"210055 Amapá do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;687,64;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2526,20
