"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110001 Alta Floresta D'Oeste";-;-;4185,60;4994,40;3155,20;2370,40;-;261,60;277,60;539,20;-;-;800,80;599,72;1167,04;1470,80;3812,88;3165,36;3525,32;2653,84;1478,80;3213,36;5875,20;5515,44;17593,60;12645,68;6186,96;6594,72;2350,08;303,76;-;-;287,76;287,76;-;607,52;591,52;1742,56;863,28;287,76;2374,08;287,76;-;-;-;-;-;-;287,76;287,76;287,76;287,76;287,76;1167,04;879,28;599,52;575,52;575,52;287,76;287,76;575,52;3197,36;12661,68;6490,72;4684,16;4364,40;2621,84;863,28;-;-;287,76;3197,36;1726,56;1175,04;2334,08;1726,56;2318,08;575,52;-;575,52;575,52;-;863,28;287,76;287,76;2062,32;303,76;2030,32;3549,12;5267,68;3453,12;1491,94;575,52;287,76;575,52;303,76;1475,94;6522,14;8137,28;2358,08;2629,84;1750,56;575,52;-;-;-;303,76;287,76;-;863,28;863,28;1750,56;863,28;-;879,28;863,28;-;-;-;-;575,52;575,52;-;-;575,52;287,76;-;295,76;-;-;287,76;-;-;-;-;575,52;1758,56;575,52;1151,04;2589,84;6330,72;2589,84;575,52;1151,04;2014,32;2664,12;1151,04;2302,08;2302,08;863,28;287,76;-;-;-;47,27;-;-;-;-;287,76;241108,13
"110037 Alto Alegre dos Parecis";-;261,60;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;287,76;-;1199,04;1462,80;3190,49;905,75;379,25;-;-;-;287,76;-;-;287,76;575,52;3740,88;1758,56;2589,84;2046,32;863,28;-;287,76;-;287,76;-;1438,80;1438,80;575,52;1438,80;2022,32;2014,32;863,28;575,52;863,28;-;575,52;-;287,76;1151,04;287,76;4891,92;3189,36;2877,60;2014,32;-;287,76;-;-;287,76;-;1438,80;287,76;287,76;-;287,76;1726,56;575,52;-;-;-;-;287,76;287,76;575,52;575,52;575,52;575,52;1151,04;575,52;575,52;47,27;-;287,76;324,90;863,28;575,52;575,52;311,76;663,96;369,12;575,52;-;287,76;-;-;319,76;-;575,52;1151,04;575,52;-;44,22;-;287,76;-;-;-;-;863,28;-;575,52;-;-;575,52;287,76;-;-;-;287,76;-;44,22;-;-;-;900,42;600,69;324,90;287,76;-;-;-;-;287,76;1438,80;3239,64;575,52;575,52;-;-;295,76;-;-;287,76;-;-;575,52;-;-;77711,07
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;863,28;1151,04;3740,88;863,28;-;-;-;-;287,76;-;-;-;575,52;1151,04;1151,04;2877,60;2014,32;863,28;1151,04;287,76;575,52;575,52;863,28;619,74;2014,32;1195,26;3740,88;1726,56;3453,12;1726,56;287,76;863,28;1438,80;287,76;863,28;287,76;1151,04;863,28;863,28;2302,08;3453,12;1726,56;-;-;-;1726,56;863,28;1439,80;287,76;2893,60;1151,04;4104,54;3453,12;2613,84;3740,88;2877,60;576,52;1726,56;6043,96;1802,46;2302,08;2014,32;-;1438,80;863,28;287,76;1726,56;287,76;-;575,52;863,28;863,28;287,76;1493,53;-;-;1765,51;613,47;303,76;-;-;-;287,76;287,76;1200,21;1763,70;2953,50;2302,08;863,28;287,76;575,52;-;287,76;-;295,76;287,76;575,52;575,52;1438,80;287,76;863,28;-;-;-;-;287,76;287,76;-;576,52;1438,80;1438,80;871,28;-;288,76;-;287,76;-;-;44,22;617,47;1183,04;287,76;-;295,76;287,76;-;-;311,76;-;-;-;575,52;911,28;1199,04;287,76;-;-;901,23;287,76;-;295,76;-;-;287,76;-;591,52;128109,12
"110034 Alvorada D'Oeste";-;-;523,20;523,20;-;-;-;-;-;-;261,60;-;523,20;863,28;6618,48;4604,16;10359,36;4628,16;3740,88;2014,32;2014,32;863,28;-;863,28;3453,12;10647,12;12373,68;11510,40;5755,20;4074,59;-;-;575,52;-;-;-;2014,32;6042,96;4028,64;4060,64;3453,12;3453,12;287,76;287,76;303,76;-;575,52;311,96;-;287,76;575,52;-;287,76;-;863,28;-;-;-;-;-;287,76;863,28;-;2310,08;2589,84;287,76;575,52;-;-;-;575,52;863,28;575,52;575,52;287,76;-;863,28;575,52;-;-;287,76;-;-;-;-;287,76;575,52;863,28;1151,04;575,52;-;575,52;287,76;-;-;324,90;47,27;-;863,28;1151,04;1726,56;287,76;863,28;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;863,28;1151,04;287,76;287,76;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138751,76
"110002 Ariquemes";-;-;261,60;-;261,60;-;-;-;-;-;-;261,60;-;-;575,52;1239,48;5865,42;2901,80;575,52;1151,04;1151,04;970,62;863,28;1726,56;2014,32;4900,31;5499,44;10574,26;6444,57;3917,46;1846,92;1151,04;287,76;863,28;913,62;-;325,71;287,76;575,52;1726,56;1438,80;1151,04;575,52;287,76;287,76;-;44,22;615,64;287,76;-;1483,02;575,52;575,52;575,52;287,76;-;863,28;-;-;287,76;-;863,28;856,36;287,76;3998,08;1454,80;863,28;1968,19;287,76;1159,04;287,76;615,52;1438,80;1470,80;4759,31;2533,30;740,18;1291,70;1378,97;420,42;376,20;287,76;331,98;679,96;955,50;1607,24;1251,26;1499,02;1235,26;1670,63;1043,94;1436,14;287,76;303,76;91,49;392,20;635,74;687,96;2494,52;2478,52;4316,36;3365,80;1235,26;1002,77;331,98;599,52;-;599,52;1077,73;1874,78;2661,84;1802,78;1342,06;2989,60;903,68;591,52;287,76;303,76;-;627,74;591,52;-;287,76;287,76;863,28;-;-;-;-;-;-;-;-;-;311,76;-;110,54;-;-;319,76;295,76;-;287,76;303,76;303,76;1191,04;2675,09;3780,88;1766,56;863,28;-;599,52;-;-;355,98;-;303,76;-;-;-;156306,63
"110045 Buritis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;343,76;-;287,76;-;-;-;-;-;-;-;1151,04;575,52;-;287,76;-;-;-;-;-;-;287,76;-;303,76;-;-;-;-;-;-;-;615,72;-;-;-;-;448,24;-;-;405,25;-;-;287,76;-;-;-;863,28;-;287,76;1438,80;1726,56;1726,56;2014,32;1151,04;1477,74;3857,59;575,52;575,52;575,52;2014,32;1151,04;1151,04;1438,80;575,52;287,76;863,28;287,76;287,76;287,76;-;-;-;575,52;-;591,52;-;583,52;-;-;287,76;-;287,76;-;575,52;287,76;575,52;287,76;575,52;287,76;287,76;-;-;-;-;-;-;287,76;-;575,52;287,76;-;-;-;52,22;442,06;-;-;-;-;-;-;287,76;-;-;-;-;295,76;583,52;-;-;-;-;295,76;287,76;287,76;-;-;-;-;295,76;-;591,52;1272,99;218,68;-;-;287,76;287,76;2356,92;-;-;303,76;-;303,76;-;-;44415,81
"110003 Cabixi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;575,52;4240,96;2302,08;287,76;863,28;287,76;-;-;-;-;303,76;-;599,52;-;1151,04;287,76;-;-;303,76;-;-;-;879,28;-;287,76;863,28;-;287,76;287,76;-;-;287,76;-;-;863,28;287,76;-;599,52;863,28;575,52;-;287,76;-;-;-;-;-;-;303,76;287,76;575,52;575,52;287,76;-;575,52;287,76;287,76;287,76;287,76;287,76;303,76;-;2621,84;4060,64;2302,08;3181,36;-;311,76;-;287,76;287,76;3780,88;3780,88;4165,56;863,28;-;287,76;-;287,76;-;-;-;-;287,76;-;287,76;287,76;-;287,76;-;-;-;-;-;-;-;863,28;863,28;-;863,28;871,28;287,76;879,28;287,76;-;-;287,76;-;575,52;-;-;1446,80;2409,07;4737,30;2046,32;-;863,28;1520,75;6330,72;3453,12;3764,88;1470,80;287,76;-;575,52;-;-;-;303,76;-;-;-;-;-;84569,72
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;287,76;287,76;-;-;-;-;-;-;287,76;-;303,76;287,76;-;303,76;-;-;-;-;-;-;287,76;575,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5515,44
"110004 Cacoal";-;261,60;6016,80;2877,60;1569,60;1569,60;818,56;-;-;-;-;261,60;261,60;575,52;-;-;1438,80;287,76;1463,00;1828,51;3970,83;3625,02;1446,80;1614,80;4058,95;15095,94;24505,49;13389,20;6792,07;1494,80;319,76;357,71;335,76;287,76;-;303,76;671,51;1263,82;287,76;1199,04;1599,00;943,28;319,76;303,76;319,76;303,76;-;-;753,41;311,76;607,52;1207,04;287,76;-;-;303,76;-;-;-;-;879,28;887,28;1886,56;2182,32;4348,64;1534,80;903,28;927,28;591,52;903,28;-;903,28;1550,80;607,52;1231,04;1558,80;927,28;935,28;895,28;303,76;303,76;1343,04;-;295,76;-;303,76;591,52;1510,80;863,28;-;295,76;607,52;-;287,76;287,76;-;615,52;311,76;2046,32;2366,08;1207,04;287,76;575,52;-;-;-;1762,02;-;948,42;311,76;1175,04;287,76;-;426,39;-;-;-;-;-;397,00;295,76;287,76;287,76;-;178,50;607,52;303,76;-;-;-;591,52;-;170,30;-;615,52;311,76;311,76;287,76;575,52;-;-;383,76;-;-;607,52;1031,68;-;-;1110,69;-;-;-;779,21;-;-;-;-;-;-;-;159616,35
"110070 Campo Novo de Rondônia";-;-;-;523,20;-;-;-;-;-;-;-;-;-;287,76;1438,80;1438,80;575,52;863,28;-;287,76;287,76;-;287,76;287,76;1151,04;2893,60;4316,40;2030,32;7769,52;4604,16;1151,04;575,52;287,76;287,76;863,28;1151,04;287,76;2302,08;1151,04;2014,32;5755,20;2014,32;1726,56;575,52;1151,04;287,76;863,28;863,28;1151,04;575,52;287,76;-;287,76;-;287,76;863,28;-;-;575,52;-;-;287,76;863,28;3740,88;3740,88;2302,08;2014,32;1438,80;575,52;863,28;863,28;575,52;1151,04;575,52;3165,36;1195,26;2589,84;1446,80;2589,84;287,76;863,28;1151,04;863,28;3165,36;5771,20;1438,80;287,76;-;287,76;863,28;1726,56;863,28;-;-;287,76;-;-;-;1151,04;1438,80;-;8583,86;863,28;289,17;-;-;-;-;1151,04;863,28;1151,04;575,52;2014,32;2014,32;1438,80;-;-;-;-;287,76;-;575,52;-;-;-;287,76;863,28;-;-;287,76;-;-;-;-;287,76;-;-;575,52;575,52;-;-;-;-;-;-;287,76;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;130355,65
