"Município";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Nov";"2011/Fev";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Ago";"2011/Out";"2011/Nov";"2011/Dez";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Jun";"2012/Set";"2012/Nov";"2013/Dez";"2014/Fev";"2014/Set";"2014/Nov";"2015/Fev";"2015/Jul";"2015/Ago";"2015/Set";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Ago";"2017/Mar";"2017/Jun";"2019/Fev";"2019/Abr";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"Total"
"140005 Alto Alegre";-;-;-;-;-;253,68;-;-;-;-;-;-;-;421,07;-;-;-;-;-;-;-;365,07;-;-;-;-;-;-;-;-;-;-;-;-;-;337,17;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;465,75;2131,91
"140010 Boa Vista";253,68;2681,00;781,04;2299,90;1314,08;2810,48;1039,89;566,09;943,41;289,17;362,87;289,17;616,29;289,17;-;-;-;1714,13;289,17;2030,69;1045,36;1379,21;339,51;289,17;578,34;331,12;571,84;397,52;289,17;327,12;329,29;289,17;-;289,17;-;375,12;337,37;-;289,17;433,52;289,17;3161,49;289,17;688,29;899,30;685,58;289,17;-;12020,66;518,91;361,17;1992,58;289,17;305,17;1047,72;778,92;3599,13;648,29;6746,37;61071,66
"140015 Bonfim";-;-;-;-;253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;253,68
"140017 Cantá";253,68;-;-;-;-;253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;796,53
"140020 Caracaraí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;595,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;440,32;2980,28;712,06;5017,46
"140028 Iracema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;628,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;628,68
"140030 Mucajaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;314,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;367,12;-;-;-;681,46
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;578,34
"140045 Pacaraima";-;-;253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;377,46;-;-;-;-;-;-;-;-;-;-;-;631,14
"140047 Rorainópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"140050 São João da Baliza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"140060 São Luiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"Total";507,36;2681,00;1034,72;2299,90;1567,76;3317,84;1039,89;566,09;943,41;289,17;362,87;289,17;616,29;710,24;314,34;289,17;289,17;2309,76;289,17;2030,69;1674,04;2033,45;339,51;289,17;578,34;331,12;571,84;397,52;289,17;327,12;329,29;289,17;289,17;289,17;289,17;712,29;337,37;289,17;289,17;433,52;289,17;3161,49;289,17;688,29;1188,47;685,58;289,17;377,46;12020,66;518,91;361,17;1992,58;289,17;305,17;1047,72;1146,04;4039,45;3628,57;8213,35;72658,37
