"Município";"2008/Mar";"2008/Abr";"2009/Mar";"2009/Mai";"2010/Ago";"2010/Out";"2013/Mar";"2015/Jan";"2017/Mar";"2017/Mai";"2018/Fev";"2018/Mar";"2019/Fev";"2020/Fev";"Total"
"150040 Alenquer";-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"150070 Anajás";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150140 Belém";-;1;1;1;-;-;-;-;-;-;-;1;-;-;4
"150180 Breves";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150240 Castanhal";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150480 Monte Alegre";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150530 Oriximiná";-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"150560 Peixe-Boi";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150565 Placas";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150658 Santa Maria das Barreiras";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"Total";1;1;1;1;1;1;1;1;2;1;1;1;1;1;15
