Lat,Long,Municipio,Estado,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoFloresta2008,Hidrografia2008,Desmatado2009,Incremento20082009,Floresta2009,NaoFloresta2009,Hidrografia2009,Desmatado2010,Incremento20092010,Floresta2010,NaoFloresta2010,Hidrografia2010,Desmatado2011,Incremento20102011,Floresta2011,NaoFloresta2011,Hidrografia2011,Desmatado2012,Incremento20112012,Floresta2012,NaoFloresta2012,Hidrografia2012,Desmatado2013,Incremento20122013,Floresta2013,NaoFloresta2013,Hidrografia2013,Desmatado2014,Incremento20132014,Floresta2014,NaoFloresta2014,Hidrografia2014,Desmatado2015,Incremento20142015,Floresta2015,NaoFloresta2015,Hidrografia2015,Desmatado2016,Incremento20152016,Floresta2016,NaoFloresta2016,Hidrografia2016,Desmatado2017,Incremento20162017,Floresta2017,NaoFloresta2017,Hidrografia2017,Desmatado2018,Incremento20172018,Floresta2018,NaoFloresta2018,Hidrografia2018,Desmatado2019,Incremento20182019,Floresta2019,NaoFloresta2019,Hidrografia2019,PercDesmatado2008,PercDesmatado2009,PercDesmatado2010,PercDesmatado2011,PercDesmatado2012,PercDesmatado2013,PercDesmatado2014,PercDesmatado2015,PercDesmatado2016,PercDesmatado2017,PercDesmatado2018,PercDesmatado2019,CodIbge,Internacoes2008,Internacoes2009,Internacoes2010,Internacoes2011,Internacoes2012,Internacoes2013,Internacoes2014,Internacoes2015,Internacoes2016,Internacoes2017,Internacoes2018,Internacoes2019
-1.73866,-48.85524,Abaetetuba,PA,1617,683.3,1.2,505.6,13.6,413.6,686.4,3.1,491.6,13.6,413.6,690.2,3.8,492.9,13.6,413.6,691.0,0.8,466.1,13.6,413.6,693.2,2.2,496.6,13.6,413.6,693.6,0.4,490.2,13.6,413.6,693.8,0.3,367.4,13.6,413.6,694.4,0.6,451.2,13.6,413.6,694.8,0.4,342.5,13.6,413.6,696.2,1.4,453.3,13.6,413.6,696.8,0.6,444.0,13.6,413.6,697.2,0.3,492.6,13.6,413.6,0.42257266542980826,0.4244897959183673,0.4268398268398269,0.42733457019171306,0.42869511440940017,0.4289424860853432,0.4290661719233148,0.4294372294372295,0.4296846011131725,0.43055040197897343,0.4309214594928879,0.4311688311688312,150010,88.0,52.0,261.0,201.0,238.0,138.0,30.0,55.0,94.0,36.0,9.0,7.0
-4.96265,-48.39406,Abel Figueiredo,PA,616,561.5,2.0,54.3,0.0,0.0,562.6,1.1,53.1,0.0,0.0,564.5,1.9,51.3,0.0,0.0,565.0,0.5,50.8,0.0,0.0,565.0,0.0,31.3,0.0,0.0,565.4,0.4,43.7,0.0,0.0,565.8,0.4,50.0,0.0,0.0,566.0,0.1,50.0,0.0,0.0,566.5,0.5,49.5,0.0,0.0,566.7,0.2,49.3,0.0,0.0,567.7,1.0,48.3,0.0,0.0,571.9,4.2,44.1,0.0,0.0,0.9115259740259741,0.9133116883116884,0.916396103896104,0.9172077922077922,0.9172077922077922,0.9178571428571428,0.9185064935064934,0.9188311688311688,0.9196428571428572,0.9199675324675324,0.9215909090909092,0.9284090909090909,150013,12.0,25.0,30.0,18.0,28.0,15.0,7.0,5.0,3.0,4.0,1.0,7.0
-9.46606,-49.33901,Abreulândia,TO,1900,7.4,1.9,47.9,1844.3,0.0,7.4,0.0,47.9,1844.3,0.0,7.4,0.0,48.0,1844.3,0.0,7.4,0.0,48.0,1844.3,0.0,7.4,0.0,48.0,1844.3,0.0,7.4,0.0,48.0,1844.3,0.0,7.4,0.0,48.0,1844.3,0.0,7.5,0.1,48.2,1844.3,0.0,9.7,2.2,46.0,1844.3,0.0,9.9,0.2,45.8,1844.3,0.0,9.9,0.0,45.8,1844.3,0.0,9.9,0.0,45.8,1844.3,0.0,0.0038947368421052633,0.0038947368421052633,0.0038947368421052633,0.0038947368421052633,0.0038947368421052633,0.0038947368421052633,0.0038947368421052633,0.003947368421052632,0.005105263157894737,0.0052105263157894745,0.0052105263157894745,0.0052105263157894745,170025,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-2.03379,-48.31904,Acará,PA,4361,2263.7,47.9,1971.3,43.3,70.5,2276.0,12.3,1873.3,43.3,70.5,2306.8,30.8,1497.0,43.3,70.5,2321.9,15.1,1430.5,43.3,70.5,2326.9,5.0,994.3,43.3,70.5,2344.9,17.9,1590.8,43.3,70.5,2350.8,6.0,1233.7,43.3,70.5,2357.8,7.0,1606.4,43.3,70.5,2365.0,7.2,1513.5,43.3,70.5,2385.1,20.1,1684.0,43.3,70.5,2403.0,17.9,1791.3,43.3,70.5,2421.3,18.3,1825.9,43.3,70.5,0.5190781930749827,0.5218986470992891,0.5289612474203165,0.5324237560192616,0.5335702820454025,0.5376977757395093,0.5390506764503554,0.5406558128869525,0.5423068103645953,0.5469158449896813,0.5510204081632653,0.5552166934189406,150020,86.0,57.0,23.0,9.0,11.0,4.0,6.0,4.0,1.0,3.0,2.0,2.0
-15.19422,-56.31716,Acorizal,MT,841,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.2,840.8,0.0,0.0,0.0,0.2,840.8,0.0,0.0,0.0,0.2,840.8,0.0,0.0,0.0,0.2,840.8,0.0,0.0,0.0,0.2,840.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510010,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
-9.95424,-66.87906,Acrelândia,AC,1880,1061.3,24.4,815.8,0.0,0.0,1074.9,13.7,802.5,0.0,0.0,1086.7,11.7,790.4,0.0,0.0,1103.5,16.8,773.7,0.0,0.0,1107.7,4.2,747.4,0.0,0.0,1120.0,12.3,757.2,0.0,0.0,1137.3,17.3,739.2,0.0,0.0,1152.5,15.2,727.5,0.0,0.0,1176.9,24.5,700.4,0.0,0.0,1183.0,6.1,697.0,0.0,0.0,1206.9,23.8,673.1,0.0,0.0,1227.3,20.4,652.7,0.0,0.0,0.5645212765957447,0.5717553191489362,0.578031914893617,0.586968085106383,0.5892021276595745,0.5957446808510638,0.6049468085106383,0.6130319148936171,0.6260106382978724,0.6292553191489362,0.6419680851063829,0.6528191489361702,120001,0.0,7.0,154.0,72.0,2.0,7.0,5.0,0.0,0.0,4.0,3.0,1.0
-0.2385,-50.74083,Afuá,PA,8382,26.9,0.1,3724.4,286.7,2740.6,26.9,0.0,2997.4,286.7,2740.6,28.6,1.7,2861.4,286.7,2740.6,28.6,0.0,1527.1,286.7,2740.6,28.7,0.1,3824.5,286.7,2740.6,28.8,0.1,2163.1,286.7,2740.6,29.0,0.2,3656.5,286.7,2740.6,29.0,0.0,3079.2,286.7,2740.6,29.0,0.0,1845.4,286.7,2740.6,29.1,0.1,3061.4,286.7,2740.6,29.1,0.0,220.5,286.7,2740.6,29.2,0.1,4925.6,286.7,2740.6,0.003209257933667382,0.003209257933667382,0.0034120734908136487,0.0034120734908136487,0.003424003817704605,0.003435934144595562,0.003459794798377476,0.003459794798377476,0.003459794798377476,0.0034717251252684325,0.0034717251252684325,0.003483655452159389,150030,4.0,0.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
-6.5014,-47.50278,Aguiarnópolis,TO,236,107.0,0.1,22.5,102.1,4.3,107.3,0.3,22.2,102.1,4.3,107.6,0.3,21.8,102.1,4.3,107.7,0.1,21.7,102.1,4.3,107.8,0.1,21.6,102.1,4.3,107.8,0.0,21.6,102.1,4.3,108.1,0.2,21.3,102.1,4.3,108.5,0.5,21.1,102.1,4.3,108.7,0.2,20.9,102.1,4.3,108.8,0.1,20.8,102.1,4.3,108.9,0.1,20.7,102.1,4.3,110.9,2.0,18.7,102.1,4.3,0.4533898305084746,0.4546610169491525,0.4559322033898305,0.4563559322033898,0.4567796610169492,0.4567796610169492,0.4580508474576271,0.4597457627118644,0.4605932203389831,0.4610169491525424,0.4614406779661017,0.4699152542372882,170030,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-2.20396,-44.47826,Alcântara,MA,1506,904.8,1.8,126.2,72.0,350.0,904.9,0.1,108.7,72.0,350.0,905.0,0.1,84.8,72.0,350.0,905.0,0.0,128.3,72.0,350.0,905.0,0.0,135.2,72.0,350.0,905.0,0.0,118.8,72.0,350.0,905.0,0.0,157.8,72.0,350.0,905.0,0.0,89.9,72.0,350.0,905.0,0.0,88.7,72.0,350.0,905.0,0.0,149.2,72.0,350.0,905.0,0.0,9.5,72.0,350.0,905.1,0.1,124.1,72.0,350.0,0.600796812749004,0.6008632138114209,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600929614873838,0.600996015936255,210020,6.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0
-0.30798000000000003,-55.15106,Alenquer,PA,22286,1315.6,34.7,17172.3,2476.4,589.6,1331.3,15.7,17673.8,2476.4,589.6,1353.4,22.1,14567.2,2476.4,589.6,1373.4,20.0,11854.8,2476.4,589.6,1387.0,13.6,16850.1,2476.4,589.6,1401.9,14.9,9001.5,2476.4,589.6,1416.2,14.3,16988.1,2476.4,589.6,1429.6,13.3,15555.4,2476.4,589.6,1444.1,14.5,14339.1,2476.4,589.6,1468.3,24.2,14470.9,2476.4,589.6,1488.9,20.6,10866.6,2476.4,589.6,1506.8,17.9,15154.7,2476.4,589.6,0.059032576505429424,0.05973705465314547,0.060728708606299926,0.0616261329982949,0.06223638158485147,0.06290496275688774,0.06354662119716414,0.06414789553980077,0.06479852822399712,0.06588441173831104,0.06680875886206587,0.06761195369290138,150040,36.0,1.0,0.0,7.0,1.0,0.0,0.0,27.0,1.0,0.0,6.0,3.0
