Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-1.73866,-48.85524,Abaetetuba,PA,1617,2008,683.3,1.2,505.6,13.6,413.6,0.42257266542980826,88.0,52.0
-4.96265,-48.39406,Abel Figueiredo,PA,616,2008,561.5,2.0,54.3,0.0,0.0,0.9115259740259741,12.0,25.0
-9.46606,-49.33901,Abreulândia,TO,1900,2008,7.4,1.9,47.9,1844.3,0.0,0.0038947368421052633,0.0,0.0
-2.03379,-48.31904,Acará,PA,4361,2008,2263.7,47.9,1971.3,43.3,70.5,0.5190781930749827,86.0,57.0
-15.19422,-56.31716,Acorizal,MT,841,2008,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0
-9.95424,-66.87906,Acrelândia,AC,1880,2008,1061.3,24.4,815.8,0.0,0.0,0.5645212765957447,0.0,7.0
-0.2385,-50.74083,Afuá,PA,8382,2008,26.9,0.1,3724.4,286.7,2740.6,0.003209257933667382,4.0,0.0
-6.5014,-47.50278,Aguiarnópolis,TO,236,2008,107.0,0.1,22.5,102.1,4.3,0.4533898305084746,1.0,0.0
-2.20396,-44.47826,Alcântara,MA,1506,2008,904.8,1.8,126.2,72.0,350.0,0.600796812749004,6.0,2.0
-0.30798000000000003,-55.15106,Alenquer,PA,22286,2008,1315.6,34.7,17172.3,2476.4,589.6,0.059032576505429424,36.0,1.0
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2008,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0
-11.47324,-47.30304,Almas,TO,4041,2008,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0
0.40528,-54.00657,Almeirim,PA,72964,2008,1679.0,59.9,56406.2,2715.5,1030.6,0.023011348062058,0.0,0.0
-10.04165,-56.40435,Alta Floresta,MT,8986,2008,4903.4,15.9,3786.1,258.7,36.1,0.5456710438459826,15.0,4.0
-12.47301,-62.13723,Alta Floresta D'Oeste,RO,7137,2008,2237.6,26.9,2993.7,1708.0,22.2,0.3135210872915791,65.0,212.0
-6.3166400000000005,-54.2628,Altamira,PA,159540,2008,6138.8,341.0,144968.9,3760.6,1668.3,0.03847812460824872,2.0,154.0
-4.14425,-45.4663,Altamira do Maranhão,MA,542,2008,542.5,0.0,0.0,0.0,0.0,1.0009225092250922,3.0,0.0
3.10387,-62.61311,Alto Alegre,RR,25869,2008,731.8,36.8,17145.2,2610.3,93.8,0.028288685299006525,73.0,17.0
-4.21028,-44.38837,Alto Alegre do Maranhão,MA,388,2008,179.1,0.0,0.0,0.0,0.0,0.4615979381443298,2.0,2.0
-3.96927,-46.1101,Alto Alegre do Pindaré,MA,1951,2008,1861.0,4.6,35.9,53.5,0.0,0.9538698103536648,5.0,2.0
-12.57336,-61.76339,Alto Alegre dos Parecis,RO,3994,2008,1281.1,22.6,1766.3,917.6,13.8,0.32075613420130195,1.0,11.0
-17.42312,-53.4565,Alto Araguaia,MT,5541,2008,0.0,0.0,0.0,5339.3,0.0,0.0,5.0,5.0
-11.78783,-51.69334,Alto Boa Vista,MT,2241,2008,1128.9,17.9,538.3,573.8,0.0,0.503748326639893,16.0,1.0
-16.85399,-53.66434,Alto Garças,MT,3658,2008,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0
-14.76893,-56.62505,Alto Paraguai,MT,2055,2008,423.2,0.7,123.8,1508.0,0.0,0.2059367396593674,0.0,2.0
-9.69738,-63.3777,Alto Paraíso,RO,2683,2008,1652.4,14.7,1012.1,0.8,17.6,0.6158777487886694,1.0,24.0
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2008,0.0,0.0,156.3,11072.7,0.0,0.0,1.0,0.0
-17.77315,-53.34775,Alto Taquari,MT,1391,2008,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0
-3.67425,-65.34586,Alvarães,AM,6027,2008,310.9,10.5,5162.5,38.0,127.6,0.0515845362535258,1.0,0.0
-12.40844,-49.11486,Alvorada,TO,1216,2008,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,0.0
-11.33396,-62.46869,Alvorada D'Oeste,RO,3060,2008,1368.0,6.9,872.3,819.7,0.0,0.4470588235294118,10.0,173.0
3.72519,-61.80976,Amajari,RR,28786,2008,295.5,34.8,17588.8,5292.0,83.9,0.010265406794969777,2.0,2.0
1.6833900000000002,-50.24716,Amapá,AP,9186,2008,104.2,1.9,1685.1,4911.1,975.3,0.01134334857391683,0.0,0.0
-1.6564900000000002,-45.93749,Amapá do Maranhão,MA,507,2008,372.1,1.3,104.4,0.0,0.0,0.7339250493096647,0.0,2.0
-5.380730000000002,-46.60406,Amarante do Maranhão,MA,7733,2008,2191.8,61.1,3775.5,1678.5,0.0,0.2834346308030519,49.0,4.0
-3.42104,-68.34925,Amaturá,AM,4903,2008,110.6,0.1,3490.3,222.5,213.6,0.022557617785029568,0.0,0.0
-3.25025,-44.59701,Anajatuba,MA,1024,2008,311.9,2.0,46.2,552.8,112.9,0.30458984375,0.0,0.0
-0.79152,-49.99786,Anajás,PA,6940,2008,163.2,0.0,4838.1,209.1,136.8,0.02351585014409222,1.0,0.0
-3.47332,-61.6709,Anamã,AM,2473,2008,192.9,0.1,1966.4,34.6,219.0,0.07800242620299233,16.0,0.0
-1.34293,-48.39038,Ananindeua,PA,185,2008,87.1,0.0,79.3,0.0,18.4,0.4708108108108108,575.0,227.0
-6.19412,-48.20527,Ananás,TO,1587,2008,1154.9,4.7,194.0,192.8,43.4,0.7277252678008822,28.0,58.0
-3.94708,-51.35268,Anapu,PA,11910,2008,1916.2,74.3,8092.5,6.8,173.5,0.16089000839630566,0.0,9.0
-6.42281,-47.89701,Angico,TO,453,2008,199.2,2.6,30.5,222.6,0.0,0.4397350993377483,1.0,0.0
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2008,0.0,0.0,0.0,1166.8,0.0,0.0,1.0,0.0
-8.5825,-58.01843,Apiacás,MT,20401,2008,2034.4,45.8,17043.5,1052.9,263.2,0.09972060193127788,0.0,0.0
-1.43741,-45.09702,Apicum-Açu,MA,349,2008,167.0,0.0,0.0,3.0,59.2,0.4785100286532951,0.0,0.0
-7.59202,-59.44152,Apuí,AM,54490,2008,1621.0,70.7,51759.8,625.0,204.2,0.02974857772068269,0.0,0.0
-6.98883,-48.52513,Aragominas,TO,1180,2008,997.5,10.7,153.8,18.0,10.7,0.8453389830508474,1.0,1.0
