Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
AC,170884,2008,20340.399999999998,299.2,146878.30000000002,74.4,117.6,5.204492486796752,150.0,652.0
AM,1492410,2008,31428.099999999984,603.1000000000001,1274007.4000000001,46233.69999999998,47160.400000000016,2.6897394787817666,881.0,220.0
AP,135836,2008,2543.0,91.9,74302.99999999999,22983.399999999998,3413.7000000000003,0.4630607782905335,166.0,133.0
MA,263942,2008,102533.90000000001,1258.2000000000005,27844.999999999996,112558.60000000006,4078.8999999999996,92.93852988880164,2094.0,1464.0
MT,904265,2008,204731.39999999997,3449.5,314643.5,377464.7999999999,4315.599999999999,43.4108173618894,745.0,4619.0
PA,1245956,2008,238891.7000000001,5655.000000000002,825713.1999999997,73465.00000000001,43907.1,63.19733119141018,7269.0,4487.0
RO,238601,2008,82893.80000000003,1105.3999999999999,127532.69999999997,24614.699999999997,1807.1000000000001,27.871186767076523,1076.0,4130.0
RR,226216,2008,9181.400000000001,674.2999999999998,128697.5,61222.00000000001,1723.1999999999998,1.0509723749432192,951.0,754.0
TO,271812,2008,28270.199999999986,103.10000000000001,9192.600000000004,231751.7999999999,1483.5999999999997,29.14443573984422,1195.0,946.0
AC,170884,2009,20508.499999999996,168.29999999999998,132696.8,74.4,117.6,5.2411479689922915,652.0,754.0
AM,1492410,2009,31763.0,335.3,1298932.6,46233.69999999998,47160.400000000016,2.7117173294324695,220.0,701.0
AP,135836,2009,2587.1000000000004,43.80000000000001,83322.70000000001,22983.399999999998,3413.7000000000003,0.4681453147302136,133.0,205.0
MA,263942,2009,103495.49999999997,962.4000000000005,37352.4,112558.60000000006,4078.8999999999996,93.5918966371457,1464.0,2537.0
MT,904265,2009,205560.3000000001,829.2000000000004,313549.70000000007,377464.7999999999,4315.599999999999,43.54561934325724,4619.0,3804.0
PA,1245956,2009,242456.80000000016,3566.4999999999973,810363.6000000001,73465.00000000001,43907.1,63.60469177040042,4487.0,7393.0
RO,238601,2009,83325.10000000003,431.29999999999995,126534.79999999999,24614.699999999997,1807.1000000000001,27.95637637914254,4130.0,4423.0
RR,226216,2009,9294.099999999999,112.59999999999998,123315.00000000001,61222.00000000001,1723.1999999999998,1.0634126412497935,754.0,1188.0
