,Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,Nuvem,NaoObservado,NaoFloresta,Hidrografia,PercDesmatado
0,-3.25303,-45.97435,Zé Doca,MA,2438,2008,1953.9,3.6,114.9,368.3,0.9,0.0,0.0,0.8014356029532403
1,-6.84864,-49.25551,Xinguara,PA,3793,2008,3363.2,4.8,412.2,0.0,0.0,0.0,17.6,0.8866860005272871
2,-10.61178,-68.46285,Xapuri,AC,5511,2008,1257.3,23.8,4253.2,0.0,0.5,0.0,0.0,0.2281437125748503
3,-6.598660000000001,-48.48198,Xambioá,TO,1191,2008,977.5,7.8,172.3,0.0,0.1,11.0,30.1,0.8207388748950462
4,-6.88444,-47.99094,Wanderlândia,TO,1382,2008,314.6,2.4,146.6,0.0,0.0,920.8,0.0,0.22764109985528222
5,-4.1550199999999995,-45.29588,Vitorino Freire,MA,1209,2008,1166.3,0.0,0.0,0.0,0.0,43.3,0.0,0.9646815550041357
6,-3.19117,-51.871140000000004,Vitória do Xingu,PA,3136,2008,1831.6,10.7,713.4,438.7,2.8,0.1,149.4,0.5840561224489795
7,-3.54938,-44.93269,Vitória do Mearim,MA,736,2008,236.4,2.9,24.2,0.3,0.3,464.9,9.9,0.32119565217391305
8,-1.0161200000000001,-52.05024,Vitória do Jari,AP,2481,2008,194.4,1.4,1018.9,757.9,0.4,379.8,129.6,0.07835550181378477
9,-1.09331,-46.26696,Viseu,PA,4971,2008,3400.7,16.0,1082.7,353.0,1.9,45.4,87.3,0.684107825387246
10,-12.123510000000001,-60.112109999999994,Vilhena,RO,11584,2008,1715.3,60.7,8177.5,0.0,3.9,1685.8,1.5,0.14807493093922652
11,-10.01731,-51.43727,Vila Rica,MT,7443,2008,4581.7,78.5,2628.2,0.0,36.4,186.8,9.9,0.6155716780867929
12,-5.03923,-48.09734,Vila Nova dos Martírios,MA,1196,2008,962.7,2.2,90.9,0.0,1.4,131.8,9.2,0.8049331103678931
13,-15.13556,-60.01729,Vila Bela da Santíssima Trindade,MT,13521,2008,4516.3,36.5,2205.5,100.9,34.9,6590.5,72.9,0.334021152281636
14,-0.9177700000000001,-48.118109999999994,Vigia,PA,536,2008,216.0,1.5,141.0,0.0,1.2,16.4,161.4,0.40298507462686567
15,-3.1301200000000002,-45.18793,Viana,MA,1176,2008,502.0,6.5,96.2,0.2,0.2,382.3,195.1,0.4268707482993197
16,-12.48409,-55.323840000000004,Vera,MT,2952,2008,1921.3,6.1,1011.3,0.0,1.5,17.8,0.1,0.6508468834688347
17,-15.55785,-56.34461999999999,Várzea Grande,MT,939,2008,0.0,0.0,0.0,0.0,1.4,937.7,0.0,0.0
18,-10.36243,-62.072269999999996,Vale do Paraíso,RO,974,2008,867.6,0.8,102.2,0.0,0.0,3.5,0.7,0.8907597535934292
19,-9.69033,-61.7712,Vale do Anari,RO,3166,2008,1180.8,12.6,1954.9,0.0,0.0,11.3,19.0,0.372962728995578
20,-15.02325,-58.956559999999996,Vale de São Domingos,MT,1913,2008,601.8,0.9,499.9,0.0,0.2,811.1,0.0,0.31458442237323575
21,-11.11448,-62.45596,Urupá,RO,841,2008,685.8,2.0,57.5,0.0,0.0,97.7,0.0,0.8154577883472056
22,-2.8349,-57.83095,Urucurituba,AM,2915,2008,93.6,0.6,129.7,1.4,0.3,1689.6,1000.4,0.032109777015437393
23,-1.24938,-58.78714,Urucará,AM,28012,2008,332.2,2.1,25340.2,1268.0,2.2,423.0,646.4,0.011859203198629159
24,-3.5763300000000005,-53.741009999999996,Uruará,PA,10794,2008,2876.4,91.5,6236.7,1671.0,9.7,0.0,0.2,0.26648137854363535
25,-11.535960000000001,-54.3507,União do Sul,MT,4583,2008,1016.8,38.5,3541.4,0.0,2.1,22.7,0.0,0.22186340824787257
26,-3.8018699999999996,-47.54701,Ulianópolis,PA,5122,2008,3351.5,137.4,1759.7,7.9,2.9,0.0,0.0,0.6543342444357673
27,4.71636,-60.34048000000001,Uiramutã,RR,8117,2008,32.2,0.5,997.9,1137.2,57.5,5884.1,8.1,0.003966982875446594
28,-3.20648,-65.43058,Uarini,AM,10448,2008,239.0,6.8,9494.3,180.3,2.2,100.4,431.8,0.022875191424196018
29,-2.11952,-45.43842,Turilândia,MA,1529,2008,1173.1,13.5,120.0,39.0,0.8,135.6,60.5,0.7672334859385218
30,-1.4712399999999999,-45.40039,Turiaçu,MA,2603,2008,1908.9,7.8,414.0,164.4,1.0,48.0,66.7,0.7333461390703035
31,-8.355269999999999,-48.19828,Tupiratins,TO,900,2008,2.2,0.0,6.8,0.0,0.0,883.1,7.9,0.002444444444444445
32,-8.940539999999999,-48.28255,Tupirama,TO,715,2008,0.0,0.0,0.0,0.0,0.0,709.8,5.7,0.0
33,-5.60091,-44.826879999999996,Tuntum,MA,3619,2008,1179.5,24.9,461.8,0.0,0.2,1933.7,43.8,0.32591876208897486
34,-3.7701300000000004,-45.57549,Tufilândia,MA,274,2008,249.0,0.0,0.0,0.0,0.0,25.0,0.0,0.9087591240875912
35,-3.79728,-49.8067,Tucuruí,PA,2095,2008,714.4,27.7,893.8,2.9,1.1,4.7,478.1,0.34100238663484483
36,-6.813339999999999,-51.41284,Tucumã,PA,2513,2008,2270.5,9.9,234.5,0.0,0.4,0.0,7.6,0.9035017906884202
37,-4.53616,-44.669990000000006,Trizidela do Vale,MA,225,2008,152.8,0.0,0.0,0.0,72.5,0.0,0.0,0.6791111111111111
38,-5.1062,-55.93385,Trairão,PA,11997,2008,1017.6,43.3,10876.1,0.0,0.2,1.1,102.0,0.08482120530132534
39,-0.92904,-46.93052,Tracuateua,PA,858,2008,463.5,2.2,138.7,46.1,0.1,188.8,20.8,0.5402097902097902
40,-16.29768,-52.9183,Torixoréu,MT,2397,2008,0.0,0.0,0.0,0.0,2.2,2394.2,1.1,0.0
41,-2.57583,-67.47268000000001,Tonantins,AM,6619,2008,81.0,0.3,5030.4,1122.4,2.1,67.4,315.7,0.012237498111497205
42,-2.6602799999999998,-48.258179999999996,Tomé-Açu,PA,5169,2008,2888.1,36.1,2278.4,0.0,2.0,0.1,0.4,0.5587347649448636
43,-6.23192,-47.554190000000006,Tocantinópolis,TO,1085,2008,300.5,1.1,135.6,0.0,0.0,624.0,24.9,0.2769585253456221
44,-9.61778,-48.15994,Tocantínia,TO,2619,2008,0.0,0.0,0.0,0.0,0.3,2600.5,18.8,0.0
