Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado
AC,170884,2008,20340.399999999998,299.2,146878.29999999996,74.4,117.6,0.11903045340698952
AM,1589661,2008,33502.7,622.6,1355457.6999999993,48867.599999999984,51582.6,0.021075373931926364
AP,142918,2008,2792.3,99.00000000000001,77038.20000000001,25611.699999999997,3546.999999999999,0.019537776907037605
MA,264626,2008,102550.10000000008,1258.2000000000003,27876.70000000001,112916.80000000003,4356.099999999999,0.3875284363592394
MT,904794,2008,205177.30000000002,3449.5,314653.89999999985,377536.99999999994,4315.599999999999,0.22676686627011233
PA,1249644,2008,242094.09999999998,5686.899999999999,826172.2000000002,73469.09999999999,43927.9,0.19373045443342263
RO,240374,2008,84497.00000000001,1109.2000000000003,127675.40000000004,24632.300000000003,1816.6,0.3515230432575903
RR,226216,2008,9181.399999999998,674.3000000000001,128697.5,61222.0,1723.2,0.04058687272341478
TO,278931,2008,30147.200000000008,105.39999999999998,9403.999999999996,236725.60000000006,1541.4000000000008,0.10808121004836324
AC,170884,2009,20508.5,168.3,132696.80000000002,74.4,117.6,0.12001416165351934
AM,1589661,2009,33851.799999999996,349.29999999999995,1382499.1,48867.599999999984,51582.6,0.021294980502132212
AP,142918,2009,2839.5,46.9,86716.40000000001,25611.699999999997,3546.999999999999,0.019868036216571742
MA,264626,2009,103511.7,962.4,37377.500000000015,112916.80000000003,4356.099999999999,0.39116224407276684
MT,904794,2009,206006.2000000001,829.2000000000002,313560.1000000001,377536.99999999994,4315.599999999999,0.22768298640353507
PA,1249644,2009,245684.3,3591.5000000000005,810711.8,73469.09999999999,43927.9,0.19660343265762087
RO,240374,2009,84930.20000000001,433.29999999999995,126675.60000000002,24632.300000000003,1816.6,0.35332523484237066
RR,226216,2009,9294.099999999999,112.59999999999998,123315.0,61222.0,1723.2,0.04108506913746154
TO,278931,2009,30206.5,59.79999999999999,9745.800000000001,236725.60000000006,1541.4000000000008,0.10829380742907745
AC,170884,2010,20784.400000000005,276.2,147864.5,74.4,117.6,0.12162870719318371
AM,1589661,2010,34404.1,552.4999999999999,1249534.1999999997,48867.599999999984,51582.6,0.021642413067943417
AP,142918,2010,2910.1999999999994,70.89999999999999,70369.7,25611.699999999997,3546.999999999999,0.020362725478945964
MA,264626,2010,104088.8,577.9000000000001,31718.200000000008,112916.80000000003,4356.099999999999,0.3933430577494275
MT,904794,2010,206785.1,780.2000000000002,310569.8999999999,377536.99999999994,4315.599999999999,0.22854384533938113
PA,1249644,2010,249028.70000000004,3344.2999999999984,770663.1000000001,73469.09999999999,43927.9,0.19927971486279294
RO,240374,2010,85371.29999999997,441.1,127443.49999999999,24632.300000000003,1816.6,0.35516029187848924
RR,226216,2010,9533.4,239.29999999999995,90103.40000000001,61222.0,1723.2,0.042142907663472076
TO,278931,2010,30261.399999999998,55.099999999999994,9919.299999999996,236725.60000000006,1541.4000000000008,0.10849063029924963
AC,170884,2011,21093.0,308.69999999999993,146757.80000000002,74.4,117.6,0.12343461061304745
AM,1589661,2011,34920.899999999994,516.7999999999998,1332006.4000000004,48867.599999999984,51582.6,0.021967513828420018
AP,142918,2011,2926.5,16.299999999999997,64692.80000000001,25611.699999999997,3546.999999999999,0.020476776893043565
MA,264626,2011,104424.60000000003,336.5,34341.4,112916.80000000003,4356.099999999999,0.39461201847135213
MT,904794,2011,207853.00000000006,1067.7999999999997,313986.29999999993,377536.99999999994,4315.599999999999,0.22972411399721931
PA,1249644,2011,251447.59999999983,2419.5,792188.4999999999,73469.09999999999,43927.9,0.2012153861419731
RO,240374,2011,86150.89999999998,779.7999999999997,127368.6,24632.300000000003,1816.6,0.3584035711016998
RR,226216,2011,9663.900000000001,130.5,121690.50000000001,61222.0,1723.2,0.0427197899352831
TO,278931,2011,30296.300000000003,35.2,9881.700000000003,236725.60000000006,1541.4000000000008,0.10861575084877623
AC,170884,2012,21374.000000000004,280.9,148047.09999999998,74.4,117.6,0.1250790009597154
AM,1589661,2012,35399.2,478.99999999999994,1325062.9,48867.599999999984,51582.6,0.02226839558874502
AP,142918,2012,2945.3,18.900000000000002,72662.40000000001,25611.699999999997,3546.999999999999,0.020608320855315637
MA,264626,2012,104732.50000000001,309.0,29764.9,112916.80000000003,4356.099999999999,0.39577554737629717
MT,904794,2012,208647.29999999996,794.8000000000001,313337.4000000001,377536.99999999994,4315.599999999999,0.23060199338191895
