,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
0,Acrelândia,120001,AC,2008,8.0
1,Assis Brasil,0,AC,2008,
2,Brasiléia,120010,AC,2008,70.0
3,Bujari,120013,AC,2008,2.0
4,Capixaba,120017,AC,2008,4.0
5,Cruzeiro do Sul,120020,AC,2008,1.0
6,Epitaciolândia,120025,AC,2008,65.0
7,Feijó,0,AC,2008,
8,Jordão,0,AC,2008,
9,Manoel Urbano,0,AC,2008,
10,Marechal Thaumaturgo,0,AC,2008,
11,Mâncio Lima,120033,AC,2008,1.0
12,Plácido de Castro,120038,AC,2008,4.0
13,Porto Acre,120080,AC,2008,11.0
14,Porto Walter,0,AC,2008,
15,Rio Branco,120040,AC,2008,1951.0
16,Rodrigues Alves,0,AC,2008,
17,Santa Rosa do Purus,0,AC,2008,
18,Sena Madureira,120050,AC,2008,78.0
19,Senador Guiomard,120045,AC,2008,16.0
20,Tarauacá,120060,AC,2008,2.0
21,Xapuri,120070,AC,2008,2.0
22,Amapá,0,AP,2008,
23,Calçoene,160020,AP,2008,1.0
24,Cutias,0,AP,2008,
25,Ferreira Gomes,160023,AP,2008,1.0
26,Itaubal,160025,AP,2008,1.0
27,Laranjal do Jari,0,AP,2008,
28,Macapá,160030,AP,2008,490.0
29,Mazagão,160040,AP,2008,8.0
30,Município ignorado - AP,0,AP,2008,
31,Oiapoque,160050,AP,2008,575.0
32,Pedra Branca do Amapari,0,AP,2008,
33,Porto Grande,160053,AP,2008,32.0
34,Pracuúba,0,AP,2008,
35,Santana,160060,AP,2008,91.0
36,Serra do Navio,160005,AP,2008,1.0
37,Tartarugalzinho,0,AP,2008,
38,Vitória do Jari,0,AP,2008,
39,Alvarães,130002,AM,2008,3.0
40,Amaturá,0,AM,2008,
41,Anamã,130008,AM,2008,2.0
42,Anori,130010,AM,2008,1.0
43,Apuí,130014,AM,2008,1.0
44,Atalaia do Norte,130020,AM,2008,1.0
45,Autazes,130030,AM,2008,2.0
46,Barcelos,130040,AM,2008,125.0
47,Barreirinha,130050,AM,2008,2.0
48,Benjamin Constant,130060,AM,2008,2.0
49,Beruri,0,AM,2008,
50,Boa Vista do Ramos,0,AM,2008,
51,Boca do Acre,130070,AM,2008,14.0
52,Borba,130080,AM,2008,5.0
53,Caapiranga,130083,AM,2008,3.0
54,Canutama,0,AM,2008,
55,Carauari,0,AM,2008,
56,Careiro,130110,AM,2008,25.0
57,Careiro da Várzea,130115,AM,2008,2.0
58,Coari,130120,AM,2008,443.0
59,Codajás,130130,AM,2008,4.0
60,Eirunepé,130140,AM,2008,1.0
61,Envira,0,AM,2008,
62,Fonte Boa,130160,AM,2008,1.0
63,Guajará,0,AM,2008,
64,Humaitá,130170,AM,2008,82.0
65,Ipixuna,0,AM,2008,
66,Iranduba,130185,AM,2008,6.0
67,Itacoatiara,130190,AM,2008,331.0
68,Itamarati,0,AM,2008,
69,Itapiranga,0,AM,2008,
70,Japurá,0,AM,2008,
71,Juruá,130220,AM,2008,1.0
72,Jutaí,0,AM,2008,
73,Lábrea,130240,AM,2008,77.0
74,Manacapuru,130250,AM,2008,16.0
75,Manaquiri,130255,AM,2008,5.0
76,Manaus,130260,AM,2008,6077.0
77,Manicoré,0,AM,2008,
78,Maraã,0,AM,2008,
79,Maués,130290,AM,2008,2.0
80,Município ignorado - AM,0,AM,2008,
81,Nhamundá,130300,AM,2008,1.0
82,Nova Olinda do Norte,0,AM,2008,
83,Novo Airão,130320,AM,2008,10.0
84,Novo Aripuanã,130330,AM,2008,7.0
85,Parintins,130340,AM,2008,250.0
86,Pauini,0,AM,2008,
87,Presidente Figueiredo,130353,AM,2008,13.0
88,Rio Preto da Eva,130356,AM,2008,22.0
89,Santa Isabel do Rio Negro,0,AM,2008,
90,Santo Antônio do Içá,0,AM,2008,
91,Silves,0,AM,2008,
92,São Gabriel da Cachoeira,130380,AM,2008,2.0
93,São Paulo de Olivença,0,AM,2008,
94,São Sebastião do Uatumã,0,AM,2008,
95,Tabatinga,130406,AM,2008,8.0
96,Tapauá,0,AM,2008,
97,Tefé,130420,AM,2008,3.0
98,Uarini,130426,AM,2008,1.0
99,Urucará,0,AM,2008,
100,Urucurituba,130440,AM,2008,1.0
101,Afonso Cunha,210010,MA,2008,33.0
102,Alcântara,0,MA,2008,
103,Aldeias Altas,210030,MA,2008,2.0
104,Altamira do Maranhão,210040,MA,2008,54.0
105,Alto Alegre do Maranhão,0,MA,2008,
106,Alto Alegre do Pindaré,210047,MA,2008,6.0
107,Alto Parnaíba,210050,MA,2008,18.0
108,Amapá do Maranhão,210055,MA,2008,1.0
109,Amarante do Maranhão,210060,MA,2008,42.0
110,Anajatuba,210070,MA,2008,4.0
111,Anapurus,0,MA,2008,
112,Apicum-Açu,210083,MA,2008,6.0
113,Araguanã,0,MA,2008,
114,Araioses,210090,MA,2008,19.0
