Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acrelândia,120001,AC,0.0,7.0,154.0,72.0,2.0,7.0,5.0,0.0,0.0,4.0,3.0,1.0
Assis Brasil,120005,AC,2.0,2.0,2.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,2.0
Brasiléia,120010,AC,1.0,63.0,27.0,8.0,41.0,25.0,11.0,14.0,19.0,7.0,9.0,16.0
Bujari,120013,AC,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Capixaba,120017,AC,3.0,5.0,7.0,4.0,5.0,3.0,2.0,1.0,4.0,0.0,3.0,3.0
Cruzeiro do Sul,120020,AC,3.0,4.0,10.0,13.0,1.0,2.0,539.0,249.0,16.0,12.0,13.0,99.0
Epitaciolândia,120025,AC,1.0,46.0,13.0,10.0,23.0,10.0,2.0,9.0,8.0,3.0,4.0,13.0
Feijó,120030,AC,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
Jordão,120032,AC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mâncio Lima,120033,AC,0.0,0.0,0.0,2.0,0.0,0.0,5.0,9.0,5.0,3.0,1.0,9.0
Manoel Urbano,120034,AC,1.0,1.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0
Marechal Thaumaturgo,120035,AC,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Plácido de Castro,120038,AC,1.0,1.0,8.0,14.0,16.0,25.0,9.0,4.0,3.0,5.0,7.0,2.0
Porto Acre,120080,AC,0.0,9.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porto Walter,120039,AC,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0
Rio Branco,120040,AC,106.0,429.0,367.0,193.0,52.0,39.0,21.0,19.0,13.0,10.0,16.0,23.0
Rodrigues Alves,120042,AC,0.0,0.0,0.0,1.0,0.0,0.0,33.0,13.0,4.0,0.0,3.0,16.0
Santa Rosa do Purus,120043,AC,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Sena Madureira,120050,AC,19.0,39.0,69.0,41.0,12.0,56.0,19.0,10.0,11.0,10.0,83.0,26.0
Senador Guiomard,120045,AC,5.0,19.0,50.0,68.0,46.0,21.0,7.0,17.0,19.0,3.0,34.0,11.0
Tarauacá,120060,AC,0.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,25.0
Xapuri,120070,AC,7.0,22.0,29.0,12.0,19.0,48.0,6.0,2.0,2.0,17.0,22.0,26.0
Amapá,160010,AP,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,
Calçoene,160020,AP,0.0,4.0,44.0,2.0,1.0,2.0,5.0,42.0,,,0.0,
Ferreira Gomes,160023,AP,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,
Itaubal,160025,AP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
Laranjal do Jari,160027,AP,2.0,1.0,1.0,8.0,5.0,0.0,35.0,7.0,,,13.0,
Macapá,160030,AP,126.0,102.0,105.0,125.0,90.0,45.0,15.0,51.0,,,15.0,
Mazagão,160040,AP,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,,,1.0,
Oiapoque,160050,AP,12.0,2.0,6.0,1.0,2.0,6.0,24.0,3.0,,,0.0,
Pedra Branca do Amapari,160015,AP,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,,1.0,
Porto Grande,160053,AP,0.0,5.0,9.0,45.0,10.0,18.0,12.0,61.0,,,2.0,
Santana,160060,AP,24.0,18.0,38.0,44.0,35.0,13.0,19.0,22.0,,,4.0,
Serra do Navio,160005,AP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
Tartarugalzinho,160070,AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,
Vitória do Jari,160080,AP,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0,
Alvarães,130002,AM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Amaturá,130006,AM,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anamã,130008,AM,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Apuí,130014,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atalaia do Norte,130020,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Autazes,130030,AM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelos,130040,AM,9.0,7.0,51.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Barreirinha,130050,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Benjamin Constant,130060,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Boa Vista do Ramos,130068,AM,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
