Municipio,CodIbge,Estado,Ano,Internações - Dengue
Acrelândia,120001,AC,2008,0.0
Assis Brasil,120005,AC,2008,2.0
Brasiléia,120010,AC,2008,1.0
Bujari,120013,AC,2008,1.0
Capixaba,120017,AC,2008,3.0
Cruzeiro do Sul,120020,AC,2008,3.0
Epitaciolândia,120025,AC,2008,1.0
Feijó,120030,AC,2008,0.0
Jordão,120032,AC,2008,0.0
Mâncio Lima,120033,AC,2008,0.0
Manoel Urbano,120034,AC,2008,1.0
Marechal Thaumaturgo,120035,AC,2008,0.0
Plácido de Castro,120038,AC,2008,1.0
Porto Acre,120080,AC,2008,0.0
Porto Walter,120039,AC,2008,0.0
Rio Branco,120040,AC,2008,106.0
Rodrigues Alves,120042,AC,2008,0.0
Santa Rosa do Purus,120043,AC,2008,0.0
Sena Madureira,120050,AC,2008,19.0
Senador Guiomard,120045,AC,2008,5.0
Tarauacá,120060,AC,2008,0.0
Xapuri,120070,AC,2008,7.0
Amapá,160010,AP,2008,0.0
Calçoene,160020,AP,2008,0.0
Ferreira Gomes,160023,AP,2008,1.0
Itaubal,160025,AP,2008,0.0
Laranjal do Jari,160027,AP,2008,2.0
Macapá,160030,AP,2008,126.0
Mazagão,160040,AP,2008,0.0
Oiapoque,160050,AP,2008,12.0
Pedra Branca do Amapari,160015,AP,2008,0.0
Porto Grande,160053,AP,2008,0.0
Santana,160060,AP,2008,24.0
Serra do Navio,160005,AP,2008,0.0
Tartarugalzinho,160070,AP,2008,0.0
Vitória do Jari,160080,AP,2008,1.0
Alvarães,130002,AM,2008,1.0
Amaturá,130006,AM,2008,0.0
Anamã,130008,AM,2008,16.0
Apuí,130014,AM,2008,0.0
Atalaia do Norte,130020,AM,2008,0.0
Autazes,130030,AM,2008,0.0
Barcelos,130040,AM,2008,9.0
Barreirinha,130050,AM,2008,0.0
Benjamin Constant,130060,AM,2008,0.0
Boa Vista do Ramos,130068,AM,2008,0.0
Boca do Acre,130070,AM,2008,4.0
Borba,130080,AM,2008,0.0
Caapiranga,130083,AM,2008,0.0
Canutama,130090,AM,2008,0.0
Carauari,130100,AM,2008,0.0
Careiro,130110,AM,2008,0.0
Careiro da Várzea,130115,AM,2008,0.0
Coari,130120,AM,2008,12.0
Codajás,130130,AM,2008,1.0
Eirunepé,130140,AM,2008,0.0
Envira,130150,AM,2008,0.0
Fonte Boa,130160,AM,2008,0.0
Guajará,130165,AM,2008,0.0
Humaitá,130170,AM,2008,0.0
Ipixuna,130180,AM,2008,1.0
Iranduba,130185,AM,2008,1.0
Itacoatiara,130190,AM,2008,7.0
Itamarati,130195,AM,2008,1.0
Itapiranga,130200,AM,2008,0.0
Japurá,130210,AM,2008,0.0
Juruá,130220,AM,2008,0.0
Jutaí,130230,AM,2008,0.0
Lábrea,130240,AM,2008,4.0
Manacapuru,130250,AM,2008,7.0
Manaus,130260,AM,2008,804.0
Manicoré,130270,AM,2008,0.0
Maraã,130280,AM,2008,0.0
Maués,130290,AM,2008,0.0
Nova Olinda do Norte,130310,AM,2008,0.0
Novo Airão,130320,AM,2008,0.0
Novo Aripuanã,130330,AM,2008,1.0
Parintins,130340,AM,2008,7.0
Pauini,130350,AM,2008,0.0
Presidente Figueiredo,130353,AM,2008,0.0
Rio Preto da Eva,130356,AM,2008,2.0
Santa Isabel do Rio Negro,130360,AM,2008,0.0
Santo Antônio do Içá,130370,AM,2008,0.0
Silves,130400,AM,2008,0.0
São Gabriel da Cachoeira,130380,AM,2008,0.0
São Paulo de Olivença,130390,AM,2008,0.0
Tabatinga,130406,AM,2008,0.0
Tapauá,130410,AM,2008,3.0
Tefé,130420,AM,2008,0.0
Urucurituba,0,AM,2008,
Açailândia,210005,MA,2008,65.0
Afonso Cunha,210010,MA,2008,0.0
Água Doce do Maranhão,210015,MA,2008,2.0
Alcântara,210020,MA,2008,6.0
Aldeias Altas,210030,MA,2008,23.0
Altamira do Maranhão,210040,MA,2008,3.0
Alto Alegre do Maranhão,210043,MA,2008,2.0
Alto Alegre do Pindaré,210047,MA,2008,5.0
Alto Parnaíba,210050,MA,2008,1.0
Amapá do Maranhão,210055,MA,2008,0.0
Amarante do Maranhão,210060,MA,2008,49.0
Anajatuba,210070,MA,2008,0.0
Anapurus,210080,MA,2008,4.0
Apicum-Açu,210083,MA,2008,0.0
Araguanã,210087,MA,2008,5.0
Araioses,210090,MA,2008,87.0
Arame,210095,MA,2008,47.0
Arari,210100,MA,2008,1.0
Axixá,210110,MA,2008,5.0
Bacabal,210120,MA,2008,31.0
Bacabeira,210125,MA,2008,1.0
Bacuri,210130,MA,2008,0.0
Balsas,210140,MA,2008,2.0
Barão de Grajaú,210150,MA,2008,23.0
Barra do Corda,210160,MA,2008,12.0
Barreirinhas,210170,MA,2008,2.0
Bela Vista do Maranhão,210177,MA,2008,0.0
Belágua,210173,MA,2008,0.0
Benedito Leite,210180,MA,2008,0.0
Bequimão,210190,MA,2008,29.0
Bernardo do Mearim,210193,MA,2008,0.0
Boa Vista do Gurupi,210197,MA,2008,1.0
Bom Jardim,210200,MA,2008,44.0
Bom Jesus das Selvas,210203,MA,2008,2.0
Bom Lugar,210207,MA,2008,0.0
Brejo,210210,MA,2008,172.0
Brejo de Areia,210215,MA,2008,2.0
Buriti,210220,MA,2008,0.0
Buriti Bravo,210230,MA,2008,8.0
Buriticupu,210232,MA,2008,2.0
Buritirana,210235,MA,2008,1.0
Cachoeira Grande,210237,MA,2008,0.0
Cajapió,210240,MA,2008,0.0
Cajari,210250,MA,2008,2.0
Campestre do Maranhão,210255,MA,2008,9.0
Cândido Mendes,210260,MA,2008,2.0
Cantanhede,210270,MA,2008,1.0
Capinzal do Norte,210275,MA,2008,3.0
Carolina,210280,MA,2008,35.0
Carutapera,210290,MA,2008,0.0
Caxias,210300,MA,2008,19.0
Cedral,210310,MA,2008,1.0
Central do Maranhão,210312,MA,2008,0.0
Centro do Guilherme,210315,MA,2008,1.0
Centro Novo do Maranhão,210317,MA,2008,1.0
Chapadinha,210320,MA,2008,13.0
Cidelândia,210325,MA,2008,31.0
Codó,210330,MA,2008,15.0
Coelho Neto,210340,MA,2008,7.0
Colinas,210350,MA,2008,0.0
Conceição do Lago-Açu,210355,MA,2008,0.0
Coroatá,210360,MA,2008,8.0
Cururupu,210370,MA,2008,0.0
Davinópolis,210375,MA,2008,1.0
Dom Pedro,210380,MA,2008,9.0
Duque Bacelar,210390,MA,2008,13.0
Esperantinópolis,210400,MA,2008,5.0
Estreito,210405,MA,2008,84.0
Feira Nova do Maranhão,210407,MA,2008,3.0
Fernando Falcão,210408,MA,2008,0.0
Formosa da Serra Negra,210409,MA,2008,3.0
Fortaleza dos Nogueiras,210410,MA,2008,30.0
Fortuna,210420,MA,2008,11.0
Godofredo Viana,210430,MA,2008,1.0
Gonçalves Dias,210440,MA,2008,6.0
Governador Archer,210450,MA,2008,13.0
Governador Edison Lobão,210455,MA,2008,10.0
Governador Eugênio Barros,210460,MA,2008,7.0
Governador Luiz Rocha,210462,MA,2008,3.0
Governador Newton Bello,210465,MA,2008,0.0
Governador Nunes Freire,210467,MA,2008,24.0
Graça Aranha,210470,MA,2008,45.0
Grajaú,210480,MA,2008,12.0
Guimarães,210490,MA,2008,0.0
Humberto de Campos,210500,MA,2008,0.0
Icatu,210510,MA,2008,2.0
Igarapé do Meio,210515,MA,2008,0.0
Igarapé Grande,210520,MA,2008,2.0
