Estado,Ano,População total que mora em domicílios sem acesso ao serviço de coleta de esgoto (pessoas) (SNIS),"Extensão da rede de distribuição de esgoto, em km (km) (SNIS)",Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),AreaKm2,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
AC,2010,346545.0,231.0,46.98,18315,3504.8999999999996,44.0,14558.1,20.7,0.1,0.38356198263475133,377.0,206.0
AC,2011,353473.0,231.0,47.760000000000005,18315,3561.5,56.599999999999994,14376.1,20.7,0.1,0.3897593052316906,206.0,53.0
AC,2012,345283.0,324.88,48.519999999999996,18315,3600.2999999999997,38.8,14659.5,20.7,0.1,0.39400623979925264,53.0,41.0
AC,2013,365525.0,438.97,49.59,18315,3625.8,25.5,14106.2,20.7,0.1,0.3967987090435662,41.0,560.0
AC,2014,367610.0,467.27,50.41,18315,3671.8999999999996,46.099999999999994,14343.599999999999,20.7,0.1,0.4018455295991098,560.0,268.0
AC,2015,368521.0,533.47,51.23,18315,3706.5,34.7,14308.0,20.7,0.1,0.4056388010822031,268.0,29.0
AC,2016,376166.0,533.47,52.03,18315,3769.3999999999996,63.0,14495.900000000001,20.7,0.1,0.41253115839182375,29.0,22.0
AC,2017,383055.0,534.32,52.81,18315,3806.4,37.0,14218.2,20.7,0.1,0.41658089132909315,22.0,29.0
AC,2018,406650.0,546.27,55.4,18315,3861.6000000000004,55.2,14144.4,20.7,0.1,0.42261885611010236,29.0,122.0
AC,2019,319120.0,548.34,56.17,18315,3970.4,108.8,14295.2,20.7,0.1,0.4345300377808507,122.0,0.0
AM,2010,1946050.0,437.58,253.47999999999996,316693,12200.6,191.60000000000002,238984.29999999993,12953.199999999999,19084.6,1.277200996886914,618.0,1738.0
AM,2011,1794911.0,420.45,257.53000000000003,316693,12357.100000000002,156.4,265314.39999999997,12953.199999999999,19084.6,1.291014467217985,1738.0,215.0
AM,2012,1972009.0,489.7,261.5,316693,12470.0,113.1,258613.0,12953.199999999999,19084.6,1.2975761453949997,215.0,446.0
AM,2013,2202433.0,497.73,278.09000000000003,316693,12567.9,97.8,230664.69999999998,12953.199999999999,19084.6,1.3032734991832742,446.0,165.0
AM,2014,2266370.0,498.62,283.22999999999996,316693,12681.399999999998,113.8,241876.10000000003,12953.199999999999,19084.6,1.312063246990011,165.0,229.0
AM,2015,2237071.0,499.64,288.28,316693,12818.9,136.99999999999997,269318.4,12953.199999999999,19084.6,1.3225845341479934,229.0,226.0
AM,2016,2313260.0,524.41,293.22999999999996,316693,13010.6,191.60000000000002,238310.49999999997,12953.199999999999,19084.6,1.3334242246827048,226.0,76.0
AM,2017,2326084.0,579.2,298.05,316693,13222.1,211.99999999999997,259362.59999999995,12953.199999999999,19084.6,1.3445755584867785,76.0,44.0
AM,2018,2046671.0,550.51,299.82,316693,13395.1,173.09999999999997,246646.40000000002,12953.199999999999,19084.6,1.3524300067287496,44.0,53.0
AM,2019,1748423.0,579.11,304.83,316693,13655.600000000002,260.4,256699.2,12953.199999999999,19084.6,1.3675867192948707,53.0,0.0
MA,2010,1399391.0,968.25,3570.6500000000005,39317,8873.800000000001,222.4,5365.199999999999,22536.499999999996,1140.6,4.861984977390261,582.0,490.0
MA,2011,1335352.0,982.88,3634.0300000000007,39317,8964.600000000002,91.0,4889.099999999999,22536.499999999996,1140.6,4.890206705587667,490.0,211.0
MA,2012,1507351.0,992.48,3695.43,39317,9049.3,84.89999999999998,5214.499999999998,22536.499999999996,1140.6,4.924533144013246,211.0,192.0
MA,2013,1522531.0,1035.83,3802.3900000000003,39317,9102.199999999999,52.900000000000006,4744.299999999999,22536.499999999996,1140.6,4.944910727451934,192.0,189.0
MA,2014,1407866.0,977.37,3860.6800000000003,39317,9161.900000000001,59.8,5185.8,22536.499999999996,1140.6,4.97265635115675,189.0,335.0
MA,2015,1454596.0,1108.24,3916.0600000000004,39317,9190.499999999998,28.8,6291.700000000002,22536.499999999996,1140.6,4.989106026927899,335.0,427.0
MA,2016,1448308.0,1198.4699999999998,3968.25,39317,9226.5,35.70000000000001,5540.999999999999,22536.499999999996,1140.6,5.000552662579475,427.0,120.0
MA,2017,1296429.0,898.96,4020.4500000000007,39317,9268.6,42.099999999999994,6228.200000000001,22536.499999999996,1140.6,5.014418659014915,120.0,22.0
MA,2018,1415960.0,1226.4099999999999,4007.3399999999997,39317,9291.6,23.1,5803.900000000001,22536.499999999996,1140.6,5.02251058239267,22.0,108.0
MA,2019,1046703.0,1302.8999999999999,4050.73,39317,9320.700000000003,29.2,6231.299999999998,22536.499999999996,1140.6,5.0342544529791295,108.0,0.0
MT,2010,1079943.0,1466.78,523.16,147368,19561.2,16.4,13138.199999999999,112238.0,2212.5,2.5686843218337363,1667.0,232.0
MT,2011,1075947.0,1378.1399999999999,529.44,147368,19574.100000000002,12.699999999999998,13200.800000000001,112238.0,2212.5,2.5702217965244047,232.0,1122.0
MT,2012,1146074.0,1377.25,535.5000000000001,147368,19589.8,15.7,13215.600000000004,112238.0,2212.5,2.5727274338879202,1122.0,408.0
MT,2013,1019038.0,1499.74,545.8399999999999,147368,19607.4,17.8,13168.000000000002,112238.0,2212.5,2.5748000346681734,408.0,132.0
MT,2014,1004856.0,1999.2700000000002,552.4,147368,19627.700000000004,20.599999999999998,13168.5,112238.0,2212.5,2.5771132409267925,132.0,249.0
MT,2015,955887.0,2170.74,558.65,147368,19659.800000000003,31.899999999999995,13258.199999999999,112238.0,2212.5,2.5814596861261347,249.0,97.0
MT,2016,955409.0,2472.4200000000005,565.03,147368,19681.600000000006,22.000000000000004,13170.199999999999,112238.0,2212.5,2.583640188848057,97.0,99.0
MT,2017,889463.0,2687.1500000000005,571.0,147368,19708.300000000003,26.400000000000002,13209.700000000003,112238.0,2212.5,2.5863476866873394,99.0,118.0
MT,2018,863170.0,2929.97,587.5999999999999,147368,19724.399999999998,16.3,13126.299999999997,112238.0,2212.5,2.588260664190269,118.0,110.0
