Municipio,Estado,Ano,População total que mora em domicílios sem acesso ao serviço de coleta de esgoto (pessoas) (SNIS),Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto (% da população) (SNIS),"Extensão da rede de distribuição de esgoto, em km (km) (SNIS)",Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),Lat,Long,AreaKm2,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
Ji-Paraná,RO,2010,116610.0,100.0,0.0,16.91,-10.44844,-61.69061,6955,2601.2,0.8,4250.0,66.3,35.3,0.3740043134435658,514.0,192.0
Porto Velho,RO,2010,422016.0,98.5,30.0,12.57,-8.98448,-63.99115,34631,7797.0,135.0,25574.8,431.9,751.1,0.22514510120989864,228.0,78.0
Vilhena,RO,2010,76202.0,100.0,0.0,6.51,-12.123510000000001,-60.112109999999994,11584,1730.2,8.8,8162.7,1685.8,1.5,0.14936118784530386,112.0,46.0
Cruzeiro do Sul,AC,2010,78507.0,100.0,0.0,8.94,-7.955589999999999,-72.73617,9202,982.2,23.0,7973.3,20.7,0.0,0.10673766572484243,10.0,13.0
Rio Branco,AC,2010,268038.0,79.8,231.0,38.04,-9.99527,-68.15925,9113,2522.7,21.0,6584.8,0.0,0.1,0.2768243169099089,367.0,193.0
Careiro da Várzea,AM,2010,23930.0,100.0,0.0,9.11,-3.3047699999999995,-59.555969999999995,2641,514.5,19.9,519.1,707.8,628.0,0.1948125709958349,0.0,1.0
Coari,AM,2010,,,,1.31,-4.03545,-63.534659999999995,58828,767.2,6.8,49337.6,823.1,2761.8,0.013041408852927178,22.0,10.0
Humaitá,AM,2010,44227.0,100.0,0.0,1.34,-7.510839999999999,-62.5992,33428,674.4,7.9,28568.2,3116.3,784.2,0.0201747038410913,0.0,0.0
Iranduba,AM,2010,,,,18.4,-3.0859099999999997,-60.66479,2229,479.0,6.1,1305.4,132.9,303.8,0.2148945715567519,0.0,3.0
Itacoatiara,AM,2010,86839.0,100.0,0.0,9.77,-3.13511,-58.81276,8927,1720.0,19.2,2767.2,829.3,1665.6,0.19267391060826705,1.0,11.0
Manacapuru,AM,2010,85141.0,100.0,0.0,11.61,-3.27671,-60.71178000000001,7381,782.3,10.8,4179.5,805.6,1423.0,0.10598834846226796,10.0,11.0
Manaus,AM,2010,1418544.0,78.7,417.0,158.06,-2.5729,-60.37242,11473,1246.0,10.3,8219.9,3.0,1547.8,0.10860280658938376,550.0,1631.0
Manicoré,AM,2010,,,,0.97,-6.787089999999999,-61.110009999999996,48689,1562.2,63.3,42132.1,4146.5,826.8,0.032085275935016117,0.0,0.0
Maués,AM,2010,52236.0,100.0,0.0,1.31,-5.24148,-58.19461999999999,40090,1302.5,14.3,36560.7,872.3,1294.9,0.03248939885258169,19.0,20.0
Novo Airão,AM,2010,,,,0.39,-1.5162799999999999,-61.51599,38114,116.8,2.6,20333.9,211.9,1358.7,0.0030644907383113817,1.0,1.0
Parintins,AM,2010,102033.0,100.0,0.0,17.13,-2.78735,-56.68566,5958,962.1,7.2,1579.9,1133.2,2281.2,0.16148036253776435,2.0,0.0
Presidente Figueiredo,AM,2010,19375.0,71.3,20.58,1.07,-0.65847,-60.17004,25568,718.1,9.3,15625.3,1.1,3421.8,0.028085888610763454,5.0,18.0
Rio Preto da Eva,AM,2010,,,,4.42,-2.50853,-59.60122,5838,564.8,3.9,3982.7,0.0,10.3,0.09674546077423776,1.0,8.0
Tabatinga,AM,2010,52272.0,100.0,0.0,16.0,-4.02878,-69.69785999999999,3343,156.6,1.0,3103.0,1.3,52.0,0.046844151959317966,0.0,1.0
Tefé,AM,2010,61453.0,100.0,0.0,2.59,-4.41301,-65.57764,24186,634.1,9.0,20769.8,168.9,724.7,0.02621764657239725,7.0,23.0
Abaetetuba,PA,2010,141100.0,100.0,0.0,87.62,-1.7386599999999999,-48.85524,1617,690.2,3.8,492.9,13.6,413.6,0.4268398268398269,261.0,201.0
Acará,PA,2010,53569.0,100.0,0.0,12.33,-2.03379,-48.31904,4361,2306.8,30.8,1497.0,43.3,70.5,0.5289612474203165,23.0,9.0
Alenquer,PA,2010,52626.0,100.0,0.0,2.23,-0.30798000000000003,-55.15106,22286,1353.4,22.1,14567.2,2476.4,589.6,0.060728708606299926,0.0,7.0
Altamira,PA,2010,99075.0,100.0,0.0,0.62,-6.3166400000000005,-54.2628,159540,6726.0,196.1,146913.3,3760.6,1668.3,0.0421587062805566,414.0,524.0
Ananindeua,PA,2010,471980.0,100.0,0.0,2478.22,-1.34293,-48.39038,185,87.1,0.1,57.8,0.0,18.4,0.4708108108108108,709.0,750.0
Barcarena,PA,2010,,,,76.19,-1.44539,-48.637029999999996,1316,324.1,1.8,302.4,1.9,527.7,0.2462765957446809,55.0,51.0
Belém,PA,2010,1286090.0,92.3,613.0,1315.2,-1.27265,-48.50024000000001,1070,248.4,0.9,164.0,7.1,581.3,0.2321495327102804,482.0,264.0
Breves,PA,2010,92860.0,100.0,0.0,9.71,-1.15638,-50.43788,9572,537.9,2.1,4213.7,86.2,1022.9,0.05619515252820727,16.0,31.0
Cametá,PA,2010,120896.0,100.0,0.0,39.23,-2.2808200000000003,-49.51546,3090,1112.7,13.8,871.0,657.9,448.3,0.3600970873786408,208.0,172.0
Igarapé-Miri,PA,2010,58077.0,100.0,0.0,29.09,-2.07583,-49.087540000000004,2004,474.9,18.1,1004.0,203.3,321.8,0.2369760479041916,13.0,28.0
Ipixuna do Pará,PA,2010,,,,9.84,-2.93713,-47.96702,5245,2691.3,45.5,2266.7,6.7,25.9,0.5131172545281221,6.0,13.0
