Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue,Grupo
-15.19422,-56.31716,Acorizal,MT,841,2008,0.0,0.0,0.0,840.8,0.0,0.0,0.0,0.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2008,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2008,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2008,0.0,0.0,0.0,5339.3,0.0,0.0,5.0,5.0,Menor
-16.85399,-53.66434,Alto Garças,MT,3658,2008,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0,Menor
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2008,0.0,0.0,156.3,11072.7,0.0,0.0,1.0,0.0,Menor
-17.77315,-53.34775,Alto Taquari,MT,1391,2008,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2008,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,0.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2008,0.0,0.0,0.0,1166.8,0.0,0.0,1.0,0.0,Menor
-1.43741,-45.09702,Apicum-Açu,MA,349,2008,167.0,0.0,0.0,3.0,59.2,0.4785100286532951,0.0,0.0,Menor
-10.40463,-64.77513,Nova Mamoré,RO,10241,2008,2750.5,66.9,6084.5,1358.1,43.3,0.2685772873742799,6.0,16.0,Maior
-8.38295,-65.70994,Lábrea,AM,69672,2008,3106.6,67.0,63519.3,1793.3,445.9,0.04458893099092892,4.0,0.0,Maior
-7.59202,-59.44152,Apuí,AM,54490,2008,1621.0,70.7,51759.8,625.0,204.2,0.02974857772068269,0.0,0.0,Maior
-9.42457,-61.08215,Colniza,MT,28123,2008,3455.5,125.0,24284.2,311.5,56.4,0.12287095971269067,0.0,2.0,Maior
-8.98448,-63.99115,Porto Velho,RO,34631,2008,7555.7,214.2,24925.9,431.9,751.1,0.21817735554849704,23.0,140.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2008,4951.4,236.1,29659.9,3457.3,74.7,0.12967551004373673,163.0,12.0,Maior
-3.69969,-50.60258,Pacajá,PA,11851,2008,4598.2,261.2,5707.8,0.0,0.0,0.3880010125727785,8.0,42.0,Maior
-6.3166400000000005,-54.2628,Altamira,PA,159540,2008,6138.8,341.0,144968.9,3760.6,1668.3,0.03847812460824872,2.0,154.0,Maior
-4.52485,-50.19409,Novo Repartimento,PA,15432,2008,6488.8,482.3,7681.3,1.0,1168.1,0.4204769310523587,33.0,21.0,Maior
-7.4611399999999986,-52.46225,São Félix do Xingu,PA,84253,2008,16206.2,765.1,63179.6,3788.0,939.0,0.1923516076578876,80.0,146.0,Maior
-15.19422,-56.31716,Acorizal,MT,841,2009,0.0,0.0,0.0,840.8,0.0,0.0,0.0,4.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2009,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,1.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2009,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,4.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2009,0.0,0.0,0.0,5339.3,0.0,0.0,5.0,7.0,Menor
-16.85399,-53.66434,Alto Garças,MT,3658,2009,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0,Menor
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2009,0.0,0.0,156.3,11072.7,0.0,0.0,0.0,2.0,Menor
-17.77315,-53.34775,Alto Taquari,MT,1391,2009,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2009,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,0.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2009,0.0,0.0,0.0,1166.8,0.0,0.0,0.0,0.0,Menor
-1.43741,-45.09702,Apicum-Açu,MA,349,2009,167.0,0.0,59.4,3.0,59.2,0.4785100286532951,0.0,1.0,Menor
-10.40463,-64.77513,Nova Mamoré,RO,10241,2009,2779.8,29.3,6041.9,1358.1,43.3,0.27143833609999024,16.0,13.0,Maior
-8.38295,-65.70994,Lábrea,AM,69672,2009,3151.8,45.2,64082.8,1793.3,445.9,0.0452376851532897,0.0,3.0,Maior
-7.59202,-59.44152,Apuí,AM,54490,2009,1685.1,64.2,51960.5,625.0,204.2,0.030924940356028625,0.0,0.0,Maior
-9.42457,-61.08215,Colniza,MT,28123,2009,3531.6,76.1,24216.2,311.5,56.4,0.12557692991501618,2.0,5.0,Maior
-3.69969,-50.60258,Pacajá,PA,11851,2009,4699.4,101.2,3821.3,0.0,0.0,0.39654037633954936,42.0,68.0,Maior
-8.98448,-63.99115,Porto Velho,RO,34631,2009,7662.0,106.3,25647.5,431.9,751.1,0.22124685974993505,140.0,228.0,Maior
-4.52485,-50.19409,Novo Repartimento,PA,15432,2009,6778.0,289.2,7043.2,1.0,1168.1,0.4392172109901503,21.0,21.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2009,5267.3,315.9,28777.0,3457.3,74.7,0.13794882539349973,12.0,150.0,Maior
-6.3166400000000005,-54.2628,Altamira,PA,159540,2009,6529.9,391.2,138843.4,3760.6,1668.3,0.04092954744891563,154.0,414.0,Maior
-7.4611399999999986,-52.46225,São Félix do Xingu,PA,84253,2009,16650.6,444.4,60981.6,3788.0,939.0,0.1976261972867435,146.0,127.0,Maior
-15.19422,-56.31716,Acorizal,MT,841,2010,0.0,0.0,0.0,840.8,0.0,0.0,4.0,1.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2010,0.0,0.0,0.0,1585.9,0.0,0.0,1.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2010,0.0,0.0,0.0,4041.0,0.0,0.0,4.0,4.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2010,0.0,0.0,0.0,5339.3,0.0,0.0,7.0,0.0,Menor
-16.85399,-53.66434,Alto Garças,MT,3658,2010,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0,Menor
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2010,0.0,0.0,156.3,11072.7,0.0,0.0,2.0,2.0,Menor
-17.77315,-53.34775,Alto Taquari,MT,1391,2010,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2010,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,1.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2010,0.0,0.0,0.0,1166.8,0.0,0.0,0.0,0.0,Menor
-1.43741,-45.09702,Apicum-Açu,MA,349,2010,167.0,0.0,49.4,3.0,59.2,0.4785100286532951,1.0,3.0,Menor
-8.38295,-65.70994,Lábrea,AM,69672,2010,3192.3,40.5,64185.6,1793.3,445.9,0.04581898036513951,3.0,8.0,Maior
-7.59202,-59.44152,Apuí,AM,54490,2010,1731.0,45.9,51158.4,625.0,204.2,0.031767296751697566,0.0,0.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2010,5318.0,50.7,29012.4,3457.3,74.7,0.13927664143728885,150.0,95.0,Maior
-10.40463,-64.77513,Nova Mamoré,RO,10241,2010,2840.6,60.8,5994.8,1358.1,43.3,0.2773752563226247,13.0,8.0,Maior
-9.42457,-61.08215,Colniza,MT,28123,2010,3610.2,78.5,24138.0,311.5,56.4,0.12837179532766774,5.0,8.0,Maior
-8.98448,-63.99115,Porto Velho,RO,34631,2010,7797.0,135.0,25574.8,431.9,751.1,0.22514510120989864,228.0,78.0,Maior
-6.3166400000000005,-54.2628,Altamira,PA,159540,2010,6726.0,196.1,146913.3,3760.6,1668.3,0.0421587062805566,414.0,524.0,Maior
-4.52485,-50.19409,Novo Repartimento,PA,15432,2010,7002.0,224.0,7256.8,1.0,1168.1,0.4537325038880249,21.0,66.0,Maior
-3.69969,-50.60258,Pacajá,PA,11851,2010,4974.8,275.4,5938.3,0.0,0.0,0.4197789216099908,68.0,104.0,Maior
-7.4611399999999986,-52.46225,São Félix do Xingu,PA,84253,2010,17004.3,353.7,59384.3,3788.0,939.0,0.2018242673851376,127.0,89.0,Maior
-15.19422,-56.31716,Acorizal,MT,841,2011,0.0,0.0,0.0,840.8,0.0,0.0,1.0,1.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2011,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2011,0.0,0.0,0.0,4041.0,0.0,0.0,4.0,0.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2011,0.0,0.0,0.0,5339.3,0.0,0.0,0.0,0.0,Menor
-16.85399,-53.66434,Alto Garças,MT,3658,2011,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0,Menor
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2011,0.0,0.0,156.3,11072.7,0.0,0.0,2.0,34.0,Menor
-17.77315,-53.34775,Alto Taquari,MT,1391,2011,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2011,0.0,0.0,0.0,1216.1,0.0,0.0,1.0,6.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2011,0.0,0.0,0.0,1166.8,0.0,0.0,0.0,0.0,Menor
-1.43741,-45.09702,Apicum-Açu,MA,349,2011,167.0,0.0,85.3,3.0,59.2,0.4785100286532951,3.0,0.0,Menor
-7.59202,-59.44152,Apuí,AM,54490,2011,1780.2,49.2,51864.4,625.0,204.2,0.03267021471829694,0.0,0.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2011,5371.4,53.5,29238.3,3457.3,74.7,0.14067516957808449,95.0,14.0,Maior
-8.38295,-65.70994,Lábrea,AM,69672,2011,3269.1,76.8,64142.5,1793.3,445.9,0.04692128832242508,8.0,1.0,Maior
-10.40463,-64.77513,Nova Mamoré,RO,10241,2011,2918.2,77.6,5917.3,1358.1,43.3,0.28495264134361875,8.0,4.0,Maior
-9.42457,-61.08215,Colniza,MT,28123,2011,3697.5,87.4,24045.2,311.5,56.4,0.13147601607225404,8.0,5.0,Maior
-7.4611399999999986,-52.46225,São Félix do Xingu,PA,84253,2011,17144.8,140.4,62255.5,3788.0,939.0,0.2034918637912003,89.0,184.0,Maior
-4.52485,-50.19409,Novo Repartimento,PA,15432,2011,7185.1,183.1,7074.0,1.0,1168.1,0.4655974598237429,66.0,5.0,Maior
-3.69969,-50.60258,Pacajá,PA,11851,2011,5159.3,184.5,6687.9,0.0,0.0,0.4353472280820184,104.0,53.0,Maior
-6.3166400000000005,-54.2628,Altamira,PA,159540,2011,6964.3,238.3,145488.9,3760.6,1668.3,0.0436523755797919,524.0,447.0,Maior
-8.98448,-63.99115,Porto Velho,RO,34631,2011,8121.8,324.9,25298.1,431.9,751.1,0.23452398140394445,78.0,45.0,Maior
-15.19422,-56.31716,Acorizal,MT,841,2012,0.0,0.0,0.0,840.8,0.0,0.0,1.0,1.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2012,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2012,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,1.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2012,0.0,0.0,0.0,5339.3,0.0,0.0,0.0,0.0,Menor
-16.85399,-53.66434,Alto Garças,MT,3658,2012,0.0,0.0,0.0,3658.0,0.0,0.0,0.0,0.0,Menor
-9.50943,-46.19474,Alto Parnaíba,MA,11229,2012,0.0,0.0,156.3,11072.7,0.0,0.0,34.0,4.0,Menor
-17.77315,-53.34775,Alto Taquari,MT,1391,2012,0.0,0.0,0.0,1383.4,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2012,0.0,0.0,0.0,1216.1,0.0,0.0,6.0,39.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2012,0.0,0.0,0.0,1166.8,0.0,0.0,0.0,0.0,Menor
-1.43741,-45.09702,Apicum-Açu,MA,349,2012,167.0,0.0,0.0,3.0,59.2,0.4785100286532951,0.0,0.0,Menor
-3.69969,-50.60258,Pacajá,PA,11851,2012,5193.5,34.2,4735.3,0.0,0.0,0.4382330605012235,53.0,60.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2012,5445.7,74.3,29191.7,3457.3,74.7,0.1426210617290417,14.0,38.0,Maior
-7.59202,-59.44152,Apuí,AM,54490,2012,1855.0,74.8,51789.5,625.0,204.2,0.034042943659387044,0.0,0.0,Maior
-10.40463,-64.77513,Nova Mamoré,RO,10241,2012,2996.2,78.0,5826.0,1358.1,43.3,0.2925690850502881,4.0,8.0,Maior
-9.42457,-61.08215,Colniza,MT,28123,2012,3778.5,81.0,23953.0,311.5,56.4,0.13435622088681862,5.0,13.0,Maior
-8.38295,-65.70994,Lábrea,AM,69672,2012,3354.5,85.4,64061.8,1793.3,445.9,0.04814703180617752,1.0,1.0,Maior
-4.52485,-50.19409,Novo Repartimento,PA,15432,2012,7306.1,121.0,6830.6,1.0,1168.1,0.4734383100051841,5.0,9.0,Maior
-7.4611399999999986,-52.46225,São Félix do Xingu,PA,84253,2012,17313.9,169.1,62168.7,3788.0,939.0,0.2054989139852587,184.0,80.0,Maior
-8.98448,-63.99115,Porto Velho,RO,34631,2012,8317.6,195.8,25101.0,431.9,751.1,0.24017787531402499,45.0,82.0,Maior
-6.3166400000000005,-54.2628,Altamira,PA,159540,2012,7194.2,229.9,145701.0,3760.6,1668.3,0.0450933935063307,447.0,369.0,Maior
-15.19422,-56.31716,Acorizal,MT,841,2013,0.0,0.0,0.0,840.8,0.0,0.0,1.0,0.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2013,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2013,0.0,0.0,0.0,4041.0,0.0,0.0,1.0,0.0,Menor
-17.42312,-53.4565,Alto Araguaia,MT,5541,2013,0.0,0.0,0.1,5339.3,0.0,0.0,0.0,0.0,Menor
