Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-8.26015,-71.43408000000002,Tarauacá,AC,21156,2008,1394.3,38.2,19330.7,1.2,13.6,0.06590565324257894,0.0,1.0
-9.77147,-69.33204,Sena Madureira,AC,24599,2008,1583.7,36.4,22990.6,2.4,0.6,0.06438066588072686,19.0,39.0
-9.99527,-68.15925,Rio Branco,AC,9113,2008,2482.3,29.3,6630.5,0.0,0.1,0.2723910896521453,106.0,429.0
-8.89638,-70.65907,Feijó,AC,29179,2008,1317.0,28.8,27779.3,0.4,17.3,0.04513519997258302,0.0,2.0
-9.95424,-66.87906,Acrelândia,AC,1880,2008,1061.3,24.4,815.8,0.0,0.0,0.5645212765957447,0.0,7.0
-10.61178,-68.46285,Xapuri,AC,5511,2008,1257.3,23.8,4253.2,0.0,0.0,0.2281437125748503,7.0,22.0
-9.60105,-68.22547,Bujari,AC,3104,2008,1159.0,16.6,1944.3,0.0,0.2,0.373389175257732,1.0,1.0
-10.70365,-69.18608,Brasiléia,AC,4062,2008,1247.4,12.9,2799.5,0.0,0.4,0.3070901033973412,1.0,63.0
-9.09022,-72.49765,Marechal Thaumaturgo,AC,8588,2008,206.8,12.6,7990.0,0.2,0.5,0.02408011178388449,0.0,0.0
-7.955589999999999,-72.73617,Cruzeiro do Sul,AC,9202,2008,955.4,10.8,6962.1,20.7,0.0,0.10382525537926536,3.0,4.0
-9.77147,-69.33204,Sena Madureira,AC,24599,2009,1604.9,21.2,22408.4,2.4,0.6,0.0652424895320948,39.0,69.0
-8.89638,-70.65907,Feijó,AC,29179,2009,1337.9,20.9,23805.2,0.4,17.3,0.045851468521882176,2.0,1.0
-9.99527,-68.15925,Rio Branco,AC,9113,2009,2501.7,19.4,6609.0,0.0,0.1,0.2745199166026555,429.0,367.0
-8.26015,-71.43408000000002,Tarauacá,AC,21156,2009,1410.3,16.0,18822.6,1.2,13.6,0.0666619398752127,1.0,3.0
-9.95424,-66.87906,Acrelândia,AC,1880,2009,1074.9,13.7,802.5,0.0,0.0,0.5717553191489362,7.0,154.0
-10.70365,-69.18608,Brasiléia,AC,4062,2009,1255.8,8.4,2656.6,0.0,0.4,0.3091580502215657,63.0,27.0
-9.60105,-68.22547,Bujari,AC,3104,2009,1166.8,7.8,1936.5,0.0,0.2,0.3759020618556701,1.0,2.0
-10.61178,-68.46285,Xapuri,AC,5511,2009,1264.7,7.4,4245.2,0.0,0.0,0.22948648158229001,22.0,29.0
-9.63535,-67.65836,Porto Acre,AC,2703,2009,1237.9,6.4,1462.3,0.0,0.0,0.4579726230114688,9.0,5.0
-9.39576,-70.06354,Manoel Urbano,AC,11118,2009,262.4,5.3,10437.9,0.0,49.5,0.02360136715236553,1.0,6.0
-9.77147,-69.33204,Sena Madureira,AC,24599,2010,1642.8,38.0,22143.6,2.4,0.6,0.06678320256921012,69.0,41.0
-8.26015,-71.43408000000002,Tarauacá,AC,21156,2010,1436.3,25.9,19702.9,1.2,13.6,0.06789090565324257,3.0,2.0
-8.89638,-70.65907,Feijó,AC,29179,2010,1361.5,23.7,27720.9,0.4,17.3,0.046660269371808484,1.0,5.0
