Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-7.59202,-59.44152,Apuí,AM,54490,2008,1621.0,70.7,51759.8,625.0,204.2,0.02974857772068269,0.0,0.0
-8.38295,-65.70994,Lábrea,AM,69672,2008,3106.6,67.0,63519.3,1793.3,445.9,0.04458893099092892,4.0,0.0
-6.83379,-60.23604,Novo Aripuanã,AM,41452,2008,860.6,63.0,38048.3,1620.2,742.6,0.02076136253980508,1.0,0.0
-6.787089999999999,-61.11001,Manicoré,AM,48689,2008,1468.9,41.5,42226.9,4146.5,826.8,0.030169032019552674,0.0,0.0
-3.83163,-59.45109,Autazes,AM,7636,2008,1203.5,40.9,4936.6,464.3,1015.9,0.15760869565217392,0.0,0.0
-8.81858,-68.00168000000001,Boca do Acre,AM,22595,2008,1978.7,39.4,20430.6,58.4,124.0,0.08757247178579332,4.0,2.0
-7.45596,-63.90278000000001,Canutama,AM,30278,2008,887.1,39.0,28033.0,988.3,296.8,0.02929850056146377,0.0,0.0
-3.13511,-58.81276,Itacoatiara,AM,8927,2008,1695.3,27.4,4715.2,829.3,1665.6,0.18990702363616,7.0,0.0
-7.510839999999999,-62.5992,Humaitá,AM,33428,2008,661.3,20.8,28844.2,3116.3,784.2,0.019782816800287185,0.0,2.0
-5.24148,-58.19461999999999,Maués,AM,40090,2008,1279.8,20.1,36610.6,872.3,1294.9,0.03192317286106261,0.0,0.0
-7.59202,-59.44152,Apuí,AM,54490,2009,1685.1,64.2,51960.5,625.0,204.2,0.030924940356028625,0.0,0.0
-8.38295,-65.70994,Lábrea,AM,69672,2009,3151.8,45.2,64082.8,1793.3,445.9,0.0452376851532897,0.0,3.0
-6.787089999999999,-61.11001,Manicoré,AM,48689,2009,1499.0,30.1,40909.9,4146.5,826.8,0.030787241471379567,0.0,0.0
-8.81858,-68.00168000000001,Boca do Acre,AM,22595,2009,2003.2,24.6,19841.7,58.4,124.0,0.08865678247399868,2.0,9.0
-6.83379,-60.23604,Novo Aripuanã,AM,41452,2009,876.5,15.9,37654.3,1620.2,742.6,0.021144938724307637,0.0,0.0
-3.27671,-60.71178000000001,Manacapuru,AM,7381,2009,771.5,14.9,4376.5,805.6,1423.0,0.10452513209592196,0.0,10.0
-7.45596,-63.90278000000001,Canutama,AM,30278,2009,901.1,14.0,28078.3,988.3,296.8,0.029760882488935863,0.0,0.0
-0.65847,-60.17004,Presidente Figueiredo,AM,25568,2009,708.8,13.7,21383.3,1.1,3421.8,0.027722152690863575,2.0,5.0
-3.83163,-59.45109,Autazes,AM,7636,2009,1213.5,9.9,4799.9,464.3,1015.9,0.15891828182294396,0.0,0.0
-5.24148,-58.19461999999999,Maués,AM,40090,2009,1288.2,8.4,34027.0,872.3,1294.9,0.03213270142180095,0.0,19.0
-6.787089999999999,-61.11001,Manicoré,AM,48689,2010,1562.2,63.3,42132.1,4146.5,826.8,0.032085275935016117,0.0,0.0
-8.81858,-68.00168000000001,Boca do Acre,AM,22595,2010,2056.2,53.0,20349.2,58.4,124.0,0.09100243416685108,9.0,56.0
