Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-0.04351,-51.97972,Mazagão,AP,13140,2008,102.6,16.0,10913.2,1347.5,243.0,0.00780821917808219,0.0,0.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2008,292.6,13.9,2398.9,3226.1,189.3,0.0435546293539744,0.0,0.0
0.61343,-51.7237,Porto Grande,AP,4407,2008,344.1,13.4,3235.6,639.8,19.4,0.07808032675289313,0.0,5.0
3.18951,-51.77858,Oiapoque,AP,22642,2008,190.5,11.4,9162.7,3899.9,127.2,0.008413567706033036,12.0,2.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2008,174.1,9.3,22800.3,146.9,62.7,0.005620843287918899,2.0,1.0
0.58849,-50.96231,Macapá,AP,6419,2008,389.4,7.0,1468.4,3119.5,951.5,0.06066365477488705,126.0,102.0
2.62983,-51.23225,Calçoene,AP,14283,2008,160.9,6.3,7085.8,1950.7,172.2,0.011265140376671569,0.0,4.0
0.17769,-51.42352,Santana,AP,1578,2008,74.2,4.5,399.5,940.0,44.3,0.04702154626108999,24.0,18.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2008,223.4,3.7,6262.4,0.0,4.2,0.02352817272248552,0.0,0.0
0.8781899999999999,-51.22526,Ferreira Gomes,AP,5047,2008,133.7,2.6,2720.8,1643.1,66.0,0.026490984743411924,1.0,0.0
2.62983,-51.23225,Calçoene,AP,14283,2009,168.9,8.0,9207.3,1950.7,172.2,0.01182524679689141,4.0,44.0
-0.04351,-51.97972,Mazagão,AP,13140,2009,108.5,5.8,10795.7,1347.5,243.0,0.008257229832572299,0.0,0.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2009,298.3,5.6,2239.8,3226.1,189.3,0.0444030961595713,0.0,0.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2009,179.2,5.1,22935.0,146.9,62.7,0.005785497514044036,1.0,1.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2009,227.9,4.5,7054.1,0.0,4.2,0.02400210637177462,0.0,0.0
0.61343,-51.7237,Porto Grande,AP,4407,2009,348.6,4.5,3266.2,639.8,19.4,0.07910142954390742,5.0,9.0
3.18951,-51.77858,Oiapoque,AP,22642,2009,194.6,4.1,12533.5,3899.9,127.2,0.008594647115979155,2.0,6.0
1.6833900000000002,-50.24716,Amapá,AP,9186,2009,106.2,1.9,2007.5,4911.1,975.3,0.011561071195297193,0.0,1.0
-1.01612,-52.05024,Vitória do Jari,AP,2481,2009,196.1,1.7,1360.1,379.8,129.6,0.07904070939137445,0.0,0.0
0.8781899999999999,-51.22526,Ferreira Gomes,AP,5047,2009,134.8,1.1,2943.9,1643.1,66.0,0.026708936001585103,0.0,0.0
2.62983,-51.23225,Calçoene,AP,14283,2010,181.2,12.3,6610.9,1950.7,172.2,0.012686410417979415,44.0,2.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2010,309.9,11.7,1705.4,3226.1,189.3,0.04612980053587377,0.0,0.0
0.58849,-50.96231,Macapá,AP,6419,2010,399.4,9.2,1234.5,3119.5,951.5,0.062221529833307365,105.0,125.0
-1.01612,-52.05024,Vitória do Jari,AP,2481,2010,202.2,6.1,1449.6,379.8,129.6,0.0814993954050786,0.0,1.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2010,184.7,5.5,24124.5,146.9,62.7,0.005963065797120165,1.0,8.0
3.18951,-51.77858,Oiapoque,AP,22642,2010,199.5,4.9,8796.4,3899.9,127.2,0.008811059093719636,6.0,1.0
0.48700000000000004,-50.62043,Itaubal,AP,1704,2010,92.0,3.7,302.4,779.0,419.9,0.0539906103286385,1.0,0.0
0.8781899999999999,-51.22526,Ferreira Gomes,AP,5047,2010,137.2,2.4,2273.1,1643.1,66.0,0.027184466019417472,0.0,0.0
1.6833900000000002,-50.24716,Amapá,AP,9186,2010,107.9,1.7,1984.7,4911.1,975.3,0.0117461354234705,1.0,0.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2010,229.6,1.7,6164.7,0.0,4.2,0.024181147972617167,0.0,1.0
0.61343,-51.7237,Porto Grande,AP,4407,2011,352.6,2.3,1551.8,639.8,19.4,0.08000907646925348,45.0,10.0
3.18951,-51.77858,Oiapoque,AP,22642,2011,201.6,2.1,9442.1,3899.9,127.2,0.008903807084179843,1.0,2.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2011,312.1,2.1,1388.4,3226.1,189.3,0.046457278952069074,0.0,0.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2011,186.5,1.7,25702.2,146.9,62.7,0.006021179053399626,8.0,5.0
-0.04351,-51.97972,Mazagão,AP,13140,2011,111.1,1.4,5177.2,1347.5,243.0,0.008455098934550988,2.0,2.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2011,231.0,1.4,5571.9,0.0,4.2,0.024328593996840443,1.0,1.0
-1.01612,-52.05024,Vitória do Jari,AP,2481,2011,203.4,1.2,758.7,379.8,129.6,0.08198307134220073,1.0,0.0
2.62983,-51.23225,Calçoene,AP,14283,2011,182.1,0.9,5247.9,1950.7,172.2,0.012749422390254148,2.0,1.0
0.58849,-50.96231,Macapá,AP,6419,2011,400.2,0.9,861.9,3119.5,951.5,0.062346159837981,125.0,90.0
0.8781899999999999,-51.22526,Ferreira Gomes,AP,5047,2011,137.9,0.6,1447.3,1643.1,66.0,0.027323162274618583,0.0,0.0
-0.04351,-51.97972,Mazagão,AP,13140,2012,115.5,4.4,8903.6,1347.5,243.0,0.008789954337899544,2.0,1.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2012,189.8,3.4,23659.4,146.9,62.7,0.006127720023245303,5.0,0.0
0.61343,-51.7237,Porto Grande,AP,4407,2012,355.2,2.6,2020.7,639.8,19.4,0.08059904697072838,10.0,18.0
3.18951,-51.77858,Oiapoque,AP,22642,2012,203.9,2.3,10956.1,3899.9,127.2,0.00900538821658864,2.0,6.0
0.58849,-50.96231,Macapá,AP,6419,2012,402.4,2.1,1474.5,3119.5,951.5,0.06268889235083346,90.0,45.0
2.62983,-51.23225,Calçoene,AP,14283,2012,183.1,1.1,4610.0,1950.7,172.2,0.012819435692781628,1.0,2.0
-1.01612,-52.05024,Vitória do Jari,AP,2481,2012,204.3,0.9,901.0,379.8,129.6,0.08234582829504232,0.0,0.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2012,231.8,0.8,7573.8,0.0,4.2,0.02441284886782517,1.0,2.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2012,312.8,0.7,1455.2,3226.1,189.3,0.04656147662994939,0.0,0.0
0.48700000000000004,-50.62043,Itaubal,AP,1704,2012,92.8,0.4,331.9,779.0,419.9,0.05446009389671362,0.0,0.0
3.18951,-51.77858,Oiapoque,AP,22642,2013,208.3,4.4,8116.0,3899.9,127.2,0.009199717339457646,6.0,24.0
1.31335,-50.92943,Tartarugalzinho,AP,6718,2013,316.9,4.1,1498.0,3226.1,189.3,0.04717177731467698,0.0,0.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2013,235.0,3.2,4177.6,0.0,4.2,0.024749868351764088,2.0,0.0
2.62983,-51.23225,Calçoene,AP,14283,2013,185.9,2.8,5372.4,1950.7,172.2,0.013015472939858571,2.0,5.0
0.61343,-51.7237,Porto Grande,AP,4407,2013,357.1,1.9,1673.3,639.8,19.4,0.08103017926026776,18.0,12.0
0.58849,-50.96231,Macapá,AP,6419,2013,403.8,1.4,942.2,3119.5,951.5,0.06290699485901231,45.0,15.0
-0.04351,-51.97972,Mazagão,AP,13140,2013,116.5,1.0,5401.7,1347.5,243.0,0.00886605783866058,1.0,1.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2013,190.5,0.7,15425.1,146.9,62.7,0.006150319622909537,0.0,35.0
-1.01612,-52.05024,Vitória do Jari,AP,2481,2013,205.0,0.7,885.7,379.8,129.6,0.0826279725916969,0.0,0.0
1.6833900000000002,-50.24716,Amapá,AP,9186,2013,108.5,0.5,1605.5,4911.1,975.3,0.011811452209884606,0.0,0.0
1.2324700000000002,-52.68673,Pedra Branca do Amapari,AP,9495,2014,240.0,5.0,6384.8,0.0,4.2,0.02527646129541864,0.0,0.0
0.77776,-52.9379,Laranjal do Jari,AP,30974,2014,194.3,3.8,19999.1,146.9,62.7,0.006273003163943953,35.0,7.0
