Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-3.96461,-46.50727,Bom Jardim,MA,6648,2008,3486.0,95.5,2501.1,55.9,7.5,0.5243682310469314,44.0,12.0
-3.36235,-44.27902,Itapecuru Mirim,MA,1494,2008,541.4,85.4,632.1,308.4,3.3,0.3623828647925033,3.0,0.0
-4.16557,-47.17356,Itinga do Maranhão,MA,3605,2008,2546.0,74.7,1057.8,0.0,0.1,0.7062413314840499,4.0,19.0
-5.68391,-45.23172,Barra do Corda,MA,7962,2008,2941.2,69.2,2515.3,2499.9,4.6,0.3694046721929163,12.0,20.0
-5.380730000000002,-46.60406,Amarante do Maranhão,MA,7733,2008,2191.8,61.1,3775.5,1678.5,0.0,0.2834346308030519,49.0,4.0
-4.4210699999999985,-46.36046,Buriticupu,MA,2568,2008,1888.3,58.1,672.6,0.0,1.0,0.7353193146417445,2.0,7.0
-4.7020800000000005,-47.22036,Açailândia,MA,5846,2008,5240.9,56.5,603.9,0.0,0.0,0.8964933287718098,65.0,46.0
-5.82835,-46.0307,Grajaú,MA,7625,2008,1183.4,56.0,1679.5,4762.1,0.0,0.1552,12.0,0.0
-4.52261,-46.70062,Bom Jesus das Selvas,MA,2700,2008,2124.6,54.6,575.4,0.0,0.0,0.7868888888888889,2.0,4.0
-4.29175,-45.93682,Santa Luzia,MA,6245,2008,5677.3,50.3,566.7,0.0,0.0,0.9090952762209767,18.0,47.0
-4.16542,-44.14074,Coroatá,MA,2298,2009,1051.3,87.4,1001.6,0.0,0.0,0.4574847693646649,6.0,6.0
-3.06829,-46.47701,Centro Novo do Maranhão,MA,8329,2009,2268.0,71.9,5430.4,0.0,0.3,0.27230159683035177,1.0,0.0
-5.380730000000002,-46.60406,Amarante do Maranhão,MA,7733,2009,2251.8,60.0,3707.0,1678.5,0.0,0.29119358593042804,4.0,9.0
-5.82835,-46.0307,Grajaú,MA,7625,2009,1241.9,58.5,1621.0,4762.1,0.0,0.16287213114754098,0.0,6.0
-5.68391,-45.23172,Barra do Corda,MA,7962,2009,2997.8,56.7,2458.7,2499.9,4.6,0.3765134388344637,20.0,2.0
-4.16557,-47.17356,Itinga do Maranhão,MA,3605,2009,2584.4,38.4,882.0,0.0,0.1,0.7168932038834952,19.0,11.0
-3.25303,-45.97435,Zé Doca,MA,2438,2009,1986.1,32.3,380.9,0.0,0.0,0.8146431501230517,13.0,5.0
-3.77524,-44.16935,Pirapemas,MA,698,2009,285.0,31.7,407.1,0.0,0.0,0.40830945558739257,0.0,0.0
-5.03734,-45.89453,Arame,MA,3075,2009,1770.0,27.9,966.8,336.5,0.1,0.5756097560975609,0.0,0.0
-3.64996,-44.30194,Cantanhede,MA,783,2009,243.5,27.2,531.9,4.6,0.0,0.3109833971902937,0.0,3.0
-5.68391,-45.23172,Barra do Corda,MA,7962,2010,3095.6,97.7,2354.6,2499.9,4.6,0.3887967847274554,2.0,33.0
