Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-11.82178,-53.9156,Feliz Natal,MT,11448,2008,1969.1,223.5,8750.4,703.0,21.4,0.1720038434661076,0.0,3.0
-10.92424,-54.07501,Marcelândia,MT,12295,2008,3412.7,178.2,8644.8,218.8,14.6,0.2775681171207808,82.0,20.0
-12.96602,-54.87016,Nova Ubiratã,MT,12694,2008,4168.0,141.1,5732.9,2792.5,0.5,0.3283440995746022,0.0,5.0
-9.6969,-57.9698,Nova Bandeirantes,MT,9558,2008,2961.5,125.8,6373.5,91.0,130.9,0.3098451558903536,0.0,1.0
-9.42457,-61.08215,Colniza,MT,28123,2008,3455.5,125.0,24284.2,311.5,56.4,0.12287095971269067,0.0,2.0
-11.22873,-57.64737,Juara,MT,22666,2008,7767.4,124.5,13170.6,1600.6,127.0,0.34268949086737843,4.0,1.0
-10.10335,-59.71834000000001,Aripuanã,MT,25182,2008,3767.6,81.3,20862.8,283.2,53.8,0.14961480422524026,38.0,184.0
-9.46189,-58.63441,Cotriguaçu,MT,9527,2008,1841.6,77.6,7436.2,116.0,133.1,0.19330324341345648,0.0,1.0
-10.19363,-53.56314,Peixoto de Azevedo,MT,14400,2008,3263.7,71.0,9889.6,1172.8,71.0,0.2266458333333333,3.0,6.0
-11.52357,-59.19651,Juína,MT,26359,2008,4294.3,54.0,19322.9,2639.6,41.0,0.16291589210516333,28.0,73.0
-9.42457,-61.08215,Colniza,MT,28123,2009,3531.6,76.1,24216.2,311.5,56.4,0.12557692991501618,2.0,5.0
-9.6969,-57.9698,Nova Bandeirantes,MT,9558,2009,3014.0,52.5,6317.6,91.0,130.9,0.3153379368068633,1.0,3.0
-10.10335,-59.71834000000001,Aripuanã,MT,25182,2009,3809.9,42.3,21025.0,283.2,53.8,0.15129457549042968,184.0,71.0
-9.46189,-58.63441,Cotriguaçu,MT,9527,2009,1877.8,36.2,7400.0,116.0,133.1,0.19710297050488085,1.0,9.0
-11.22873,-57.64737,Juara,MT,22666,2009,7798.4,31.1,12978.9,1600.6,127.0,0.3440571781522986,1.0,52.0
-12.96602,-54.87016,Nova Ubiratã,MT,12694,2009,4198.5,30.5,5702.4,2792.5,0.5,0.3307468095163069,5.0,3.0
-10.19363,-53.56314,Peixoto de Azevedo,MT,14400,2009,3288.2,24.5,9769.0,1172.8,71.0,0.2283472222222222,6.0,5.0
-11.52357,-59.19651,Juína,MT,26359,2009,4315.3,21.0,19305.4,2639.6,41.0,0.16371258393717514,73.0,94.0
-11.82178,-53.9156,Feliz Natal,MT,11448,2009,1972.7,3.5,8746.7,703.0,21.4,0.17231830887491265,3.0,9.0
-10.92424,-54.07501,Marcelândia,MT,12295,2009,3416.2,3.5,8614.8,218.8,14.6,0.2778527856852379,20.0,100.0
-9.42457,-61.08215,Colniza,MT,28123,2010,3610.2,78.5,24138.0,311.5,56.4,0.12837179532766774,5.0,8.0
-10.10335,-59.71834000000001,Aripuanã,MT,25182,2010,3841.8,31.9,20995.4,283.2,53.8,0.15256135334762927,71.0,83.0
-11.82178,-53.9156,Feliz Natal,MT,11448,2010,2000.6,28.0,8718.9,703.0,21.4,0.17475541579315162,9.0,0.0
