Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue,Grupo
-1.34293,-48.39038,Ananindeua,PA,185,2008,87.1,0.0,79.3,0.0,18.4,0.4708108108108108,575.0,227.0,Menor
-0.81338,-48.95588,Cachoeira do Arari,PA,3115,2008,71.9,0.0,309.1,2267.7,465.7,0.023081861958266454,0.0,0.0,Menor
-1.10948,-49.06293,Ponta de Pedras,PA,3378,2008,51.6,0.0,527.6,2254.4,462.6,0.0152753108348135,0.0,35.0,Menor
-0.55415,-49.32373,Santa Cruz do Arari,PA,1078,2008,0.0,0.0,2.8,1044.1,28.2,0.0,1.0,0.0,Menor
-0.53599,-48.67721,Soure,PA,3528,2008,33.7,0.0,184.1,2502.9,730.9,0.00955215419501134,40.0,16.0,Menor
-0.2385,-50.74083,Afuá,PA,8382,2008,26.9,0.1,3724.4,286.7,2740.6,0.003209257933667382,4.0,0.0,Menor
-0.82105,-47.63978,Magalhães Barata,PA,326,2008,161.5,0.4,130.2,2.3,27.6,0.495398773006135,0.0,0.0,Menor
-0.89755,-48.27572,Colares,PA,612,2008,90.2,0.5,132.9,15.9,372.6,0.14738562091503268,0.0,3.0,Menor
-1.19187,-48.2373,Santa Bárbara do Pará,PA,279,2008,159.0,1.2,99.7,0.0,19.6,0.5698924731182796,1.0,3.0,Menor
-1.09607,-48.14127,Santo Antônio do Tauá,PA,540,2008,323.6,2.0,111.7,6.8,96.9,0.5992592592592593,75.0,66.0,Menor
-3.5582,-51.73873,Senador José Porfírio,PA,14389,2008,651.3,14.8,10732.2,84.9,387.3,0.04526374313711863,0.0,3.0,Maior
-3.94708,-51.35268,Anapu,PA,11910,2008,1916.2,74.3,8092.5,6.8,173.5,0.16089000839630566,0.0,9.0,Maior
-3.5763300000000005,-53.74101,Uruará,PA,10794,2008,2876.4,91.5,6236.7,0.0,0.2,0.2664813785436353,1.0,69.0,Maior
-2.62095,-50.99664,Portel,PA,25425,2008,1376.9,97.3,20692.9,385.9,845.9,0.05415535889872174,6.0,4.0,Maior
-6.03172,-55.96896,Itaituba,PA,62095,2008,4554.8,171.0,56259.6,460.8,810.3,0.07335212174893309,194.0,57.0,Maior
-7.90803,-55.59551999999999,Novo Progresso,PA,38183,2008,4951.4,236.1,29659.9,3457.3,74.7,0.12967551004373673,163.0,12.0,Maior
