Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
-8.98448,-63.99115,Porto Velho,RO,34631,2008,7555.7,214.2,24925.9,431.9,751.1,0.21817735554849704,23.0,140.0
-12.08558,-64.18555,Costa Marques,RO,5058,2008,1605.4,103.7,2430.4,558.9,20.8,0.3173981810992487,0.0,1.0
-10.40463,-64.77513,Nova Mamoré,RO,10241,2008,2750.5,66.9,6084.5,1358.1,43.3,0.2685772873742799,6.0,16.0
-9.1898,-61.92599000000001,Machadinho D'Oeste,RO,8590,2008,2766.0,53.1,5380.7,385.4,57.9,0.3220023282887078,2.0,30.0
-9.12763,-62.53091,Cujubim,RO,3904,2008,1365.8,49.4,2535.7,0.0,2.2,0.34984631147540984,0.0,1.0
-8.964039999999997,-63.53626,Candeias do Jamari,RO,6931,2008,1750.2,49.1,4799.6,0.0,381.0,0.25251767421728466,2.0,4.0
-12.3802,-62.94649,São Francisco do Guaporé,RO,11095,2008,2424.3,46.4,5503.0,3144.7,23.0,0.21850383055430372,0.0,22.0
-11.86216,-60.80891,Pimenta Bueno,RO,6280,2008,2357.6,43.4,2870.5,1046.7,5.2,0.3754140127388535,35.0,183.0
-12.57336,-61.76339,Alto Alegre dos Parecis,RO,3994,2008,1281.1,22.6,1766.3,917.6,13.8,0.32075613420130195,1.0,11.0
-10.49771,-63.76416999999999,Campo Novo de Rondônia,RO,3491,2008,1833.2,20.2,1383.6,274.2,0.0,0.525121741621312,3.0,33.0
-8.98448,-63.99115,Porto Velho,RO,34631,2009,7662.0,106.3,25647.5,431.9,751.1,0.22124685974993505,140.0,228.0
-9.12763,-62.53091,Cujubim,RO,3904,2009,1396.4,30.6,2505.2,0.0,2.2,0.35768442622950825,1.0,27.0
-10.40463,-64.77513,Nova Mamoré,RO,10241,2009,2779.8,29.3,6041.9,1358.1,43.3,0.27143833609999024,16.0,13.0
-9.1898,-61.92599000000001,Machadinho D'Oeste,RO,8590,2009,2794.9,28.9,5351.8,385.4,57.9,0.3253667054714785,30.0,46.0
-10.49771,-63.76416999999999,Campo Novo de Rondônia,RO,3491,2009,1858.4,25.2,1349.6,274.2,0.0,0.5323403036379262,33.0,89.0
-12.08558,-64.18555,Costa Marques,RO,5058,2009,1624.0,18.5,2709.1,558.9,20.8,0.321075523922499,1.0,0.0
-11.86216,-60.80891,Pimenta Bueno,RO,6280,2009,2371.8,14.2,2853.9,1046.7,5.2,0.3776751592356688,183.0,132.0
-8.964039999999997,-63.53626,Candeias do Jamari,RO,6931,2009,1762.7,12.5,4787.1,0.0,381.0,0.2543211657769442,4.0,9.0
-12.3802,-62.94649,São Francisco do Guaporé,RO,11095,2009,2436.1,11.9,5360.0,3144.7,23.0,0.21956737269040108,22.0,113.0
-11.32199,-64.41651999999999,Guajará-Mirim,RO,25260,2009,1422.2,8.0,18514.8,3798.4,166.8,0.05630245447347585,47.0,44.0
-8.98448,-63.99115,Porto Velho,RO,34631,2010,7797.0,135.0,25574.8,431.9,751.1,0.22514510120989864,228.0,78.0
-10.40463,-64.77513,Nova Mamoré,RO,10241,2010,2840.6,60.8,5994.8,1358.1,43.3,0.2773752563226247,13.0,8.0
-9.12763,-62.53091,Cujubim,RO,3904,2010,1431.0,34.7,2470.6,0.0,2.2,0.366547131147541,27.0,63.0
-12.08558,-64.18555,Costa Marques,RO,5058,2010,1645.7,21.7,2758.2,558.9,20.8,0.325365757216291,0.0,1.0
-10.49771,-63.76416999999999,Campo Novo de Rondônia,RO,3491,2010,1878.7,20.3,1338.1,274.2,0.0,0.5381552563735319,89.0,63.0
-9.1898,-61.92599000000001,Machadinho D'Oeste,RO,8590,2010,2813.2,18.3,5333.5,385.4,57.9,0.3274970896391152,46.0,11.0
-12.3802,-62.94649,São Francisco do Guaporé,RO,11095,2010,2451.0,14.8,5476.3,3144.7,23.0,0.22091031996394767,113.0,28.0
-8.964039999999997,-63.53626,Candeias do Jamari,RO,6931,2010,1775.2,12.5,4773.4,0.0,381.0,0.2561246573366037,9.0,2.0
-13.01054,-61.73586,Pimenteiras do Oeste,RO,6065,2010,1256.7,6.0,2318.0,2429.1,23.1,0.2072052761747733,3.0,3.0
-11.86216,-60.80891,Pimenta Bueno,RO,6280,2010,2375.9,4.1,2852.2,1046.7,5.2,0.378328025477707,132.0,21.0
-8.98448,-63.99115,Porto Velho,RO,34631,2011,8121.8,324.9,25298.1,431.9,751.1,0.23452398140394445,78.0,45.0
-10.40463,-64.77513,Nova Mamoré,RO,10241,2011,2918.2,77.6,5917.3,1358.1,43.3,0.28495264134361875,8.0,4.0
-9.1898,-61.92599000000001,Machadinho D'Oeste,RO,8590,2011,2867.8,54.6,5278.7,385.4,57.9,0.33385331781140865,11.0,3.0
-9.12763,-62.53091,Cujubim,RO,3904,2011,1479.3,48.3,2417.1,0.0,2.2,0.3789190573770492,63.0,15.0
