Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue
2.53531,-62.00364,Mucajaí,RR,12878,2008,1608.7,216.4,7758.7,196.3,38.6,0.1249184656002485,21.0,44.0
2.29596,-60.53716,Cantá,RR,7715,2008,1434.1,123.2,5292.7,826.5,80.2,0.1858846403110823,13.0,11.0
2.1801,-61.66824,Iracema,RR,14271,2008,687.4,103.9,9310.2,35.5,7.4,0.04816761264102025,3.0,3.0
0.31228,-62.10777,Caracaraí,RR,47818,2008,956.4,42.8,28815.1,14489.7,574.2,0.02000083650508177,12.0,14.0
0.94538,-59.32614,Caroebe,RR,12120,2008,879.0,38.8,10667.6,12.8,83.2,0.07252475247524752,3.0,56.0
3.10387,-62.61311,Alto Alegre,RR,25869,2008,731.8,36.8,17145.2,2610.3,93.8,0.028288685299006525,73.0,17.0
3.72519,-61.80976,Amajari,RR,28786,2008,295.5,34.8,17588.8,5292.0,83.9,0.010265406794969777,2.0,2.0
-0.21598,-61.060080000000006,Rorainópolis,RR,33847,2008,1048.7,26.6,23393.1,7642.4,571.3,0.030983543593228358,46.0,36.0
2.7932900000000003,-60.1737,Bonfim,RR,8141,2008,364.2,19.7,1452.1,6134.1,43.3,0.04473651885517749,27.0,27.0
0.77051,-59.92018,São João da Baliza,RR,4305,2008,495.5,14.9,3788.0,0.4,5.4,0.1150987224157956,30.0,97.0
0.94538,-59.32614,Caroebe,RR,12120,2009,903.4,24.4,9327.3,12.8,83.2,0.07453795379537953,56.0,79.0
2.53531,-62.00364,Mucajaí,RR,12878,2009,1629.0,20.3,8196.0,196.3,38.6,0.12649479732877775,44.0,76.0
-0.21598,-61.060080000000006,Rorainópolis,RR,33847,2009,1067.1,18.4,21195.5,7642.4,571.3,0.03152716636629538,36.0,41.0
0.31228,-62.10777,Caracaraí,RR,47818,2009,965.2,8.8,28507.3,14489.7,574.2,0.02018486762307081,14.0,162.0
0.77051,-59.92018,São João da Baliza,RR,4305,2009,504.2,8.6,3689.0,0.4,5.4,0.11711962833914055,97.0,163.0
2.29596,-60.53716,Cantá,RR,7715,2009,1442.2,8.1,4776.1,826.5,80.2,0.1869345430978613,11.0,16.0
2.1801,-61.66824,Iracema,RR,14271,2009,693.3,5.8,9763.5,35.5,7.4,0.048581038469623715,3.0,4.0
0.84851,-60.14343,São Luiz,RR,1537,2009,545.9,5.8,957.3,0.0,2.1,0.35517241379310344,4.0,44.0
