Lat,Long,Municipio,Estado,AreaKm2,Ano,Desmatado,Incremento,Floresta,NaoFloresta,Hidrografia,PercDesmatado,Internações - Dengue,Internações Ano Seguinte - Dengue,Grupo
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2008,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2008,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2008,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,0.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2008,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,0.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2008,0.0,0.0,0.0,1166.8,0.0,0.0,1.0,0.0,Menor
-12.83987,-49.7752,Araguaçu,TO,5183,2008,0.0,0.0,0.0,5099.8,2.7,0.0,46.0,81.0,Menor
-12.81998,-46.91441,Arraias,TO,5827,2008,0.0,0.0,0.0,5814.1,0.0,0.0,0.0,8.0,Menor
-12.62674,-46.48403,Aurora do Tocantins,TO,756,2008,0.0,0.0,0.0,754.5,0.0,0.0,0.0,0.0,Menor
-7.16202,-47.91015,Babaçulândia,TO,1796,2008,3.5,0.0,0.0,1779.2,13.5,0.0019487750556792876,1.0,0.0,Menor
-7.71197,-47.63915,Barra do Ouro,TO,1112,2008,0.0,0.0,0.0,1093.1,19.7,0.0,1.0,0.0,Menor
-9.90013,-48.78047,Barrolândia,TO,715,2008,0.0,0.0,0.0,714.9,0.0,0.0,0.0,1.0,Menor
-11.37865,-49.39815,Dueré,TO,3435,2008,34.4,0.1,0.0,3150.7,3.9,0.010014556040756914,4.0,1.0,Maior
-9.20402,-48.00201,Pedro Afonso,TO,2021,2008,20.7,0.2,31.1,1949.5,19.6,0.01024245423057892,43.0,38.0,Maior
-8.909410000000003,-49.57375,Araguacema,TO,2786,2008,48.1,1.1,421.8,2232.0,84.1,0.01726489590811199,27.0,9.0,Maior
-9.77144,-49.75757,Marianópolis do Tocantins,TO,2096,2008,139.1,1.1,197.1,1758.4,1.4,0.06636450381679389,0.0,0.0,Maior
-5.78728,-47.60538,Itaguatins,TO,745,2008,356.2,1.6,67.9,310.0,10.9,0.4781208053691275,4.0,21.0,Maior
-12.11997,-50.36955,Formoso do Araguaia,TO,13453,2008,183.8,2.2,478.0,12257.6,167.8,0.013662380138259123,6.0,4.0,Maior
-9.37187,-49.8481,Caseara,TO,1697,2008,264.0,2.5,319.8,1079.1,34.0,0.15556865055981142,0.0,1.0,Maior
-8.76489,-48.40596,Guaraí,TO,2278,2008,1017.2,4.5,180.0,1077.7,3.0,0.44653204565408255,5.0,2.0,Maior
-11.04824,-50.2184,Lagoa da Confusão,TO,10588,2008,232.1,7.9,2004.8,8239.6,111.1,0.02192104268983755,2.0,1.0,Maior
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2009,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,1.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2009,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,4.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2009,0.0,0.0,0.0,1585.9,0.0,0.0,0.0,1.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2009,0.0,0.0,0.0,4041.0,0.0,0.0,0.0,4.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2009,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,0.0,Menor
-9.97682,-48.0215,Aparecida do Rio Negro,TO,1166,2009,0.0,0.0,0.0,1166.8,0.0,0.0,0.0,0.0,Menor
-12.83987,-49.7752,Araguaçu,TO,5183,2009,0.0,0.0,0.0,5099.8,2.7,0.0,81.0,149.0,Menor
-12.81998,-46.91441,Arraias,TO,5827,2009,0.0,0.0,0.0,5814.1,0.0,0.0,8.0,131.0,Menor
-12.62674,-46.48403,Aurora do Tocantins,TO,756,2009,0.0,0.0,0.0,754.5,0.0,0.0,0.0,1.0,Menor
-7.16202,-47.91015,Babaçulândia,TO,1796,2009,3.5,0.0,0.0,1779.2,13.5,0.0019487750556792876,0.0,0.0,Menor
-7.71197,-47.63915,Barra do Ouro,TO,1112,2009,0.0,0.0,0.0,1093.1,19.7,0.0,0.0,1.0,Menor
-9.90013,-48.78047,Barrolândia,TO,715,2009,0.0,0.0,0.0,714.9,0.0,0.0,1.0,0.0,Menor
-9.77144,-49.75757,Marianópolis do Tocantins,TO,2096,2009,140.0,0.9,189.6,1758.4,1.4,0.06679389312977099,0.0,0.0,Maior
-8.76489,-48.40596,Guaraí,TO,2278,2009,1018.5,1.3,178.7,1077.7,3.0,0.4471027216856892,2.0,1.0,Maior
-12.11997,-50.36955,Formoso do Araguaia,TO,13453,2009,185.5,1.7,839.2,12257.6,167.8,0.013788746004608636,4.0,24.0,Maior
-8.909410000000003,-49.57375,Araguacema,TO,2786,2009,50.0,1.9,419.9,2232.0,84.1,0.017946877243359655,9.0,2.0,Maior
-5.78728,-47.60538,Itaguatins,TO,745,2009,358.3,2.1,65.8,310.0,10.9,0.4809395973154362,21.0,14.0,Maior
-11.04824,-50.2184,Lagoa da Confusão,TO,10588,2009,236.5,4.4,1992.8,8239.6,111.1,0.022336607480166228,1.0,0.0,Maior
-8.69697,-47.11093,Recursolândia,TO,2230,2009,37.7,4.4,90.0,2100.9,0.0,0.01690582959641256,0.0,2.0,Maior
-9.37187,-49.8481,Caseara,TO,1697,2009,268.6,4.5,312.0,1079.1,34.0,0.15827931644077786,1.0,2.0,Maior
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2010,0.0,0.0,0.0,1585.9,0.0,0.0,1.0,0.0,Menor
-11.35975,-48.94098,Aliança do Tocantins,TO,1585,2010,0.0,0.0,0.0,1585.9,0.0,0.0,1.0,0.0,Menor
-11.47324,-47.30304,Almas,TO,4041,2010,0.0,0.0,0.0,4041.0,0.0,0.0,4.0,4.0,Menor
-12.40844,-49.11486,Alvorada,TO,1216,2010,0.0,0.0,0.0,1216.1,0.0,0.0,0.0,1.0,Menor
