 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jan";"2007/Jun";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"120001 Acrelândia";-;-;-;385,04;780,50;709,48;13541,47;21273,32;18712,18;41490,42;51982,35;41850,11;38067,86;23035,20;39313,52;35998,05;40183,69;37480,73;37611,10;23595,80;39467,69;31761,72;42613,68;28078,27;25129,51;30163,60;78802,16;17211,27;21616,69;31076,46;35300,39;26526,61;28199,80;104860,56;43930,51;49076,82;24955,67;40439,74;34463,30;30066,93;42747,09;31212,31;33419,80;39542,71;29989,88;25080,58;28657,38;118018,61;61535,39;45950,97;37928,94;39195,38;31028,46;52040,21;40394,94;40958,40;35148,35;25079,22;50262,57;49299,58;37170,25;105673,62;28565,30;21045,90;47899,63;38072,38;39145,65;32626,27;23594,81;41133,02;35508,74;119412,28;33339,48;79798,77;34472,74;21974,35;66073,80;39649,41;36519,09;26016,79;54445,41;24960,87;41058,57;36705,29;161125,90;48465,67;32134,31;47454,50;40613,39;41907,81;15879,23;18789,46;21735,53;20958,20;16165,81;17939,21;27014,46;14760,79;31144,45;31248,72;28756,87;20798,95;80515,71;34611,65;23431,97;59388,40;33887,64;43755,64;26665,10;32089,01;90477,48;31752,25;57626,70;33657,32;85555,39;20818,40;36389,17;39954,83;66473,15;37036,36;68799,82;33203,69;39506,45;117054,78;25733,92;38911,63;28447,72;31766,44;16964,45;77923,59;31841,53;27668,16;29391,18;52602,78;48764,02;46676,94;18913,24;39579,79;36907,92;33999,64;51948,62;39266,15;54402,80;33302,31;28861,85;46329,20;89316,67;32749,53;31028,86;24836,70;42655,01;44570,76;28788,18;39518,18;32580,66;42542,23;27674,95;35885,67;54595,73;77320,48;22926,26;44227,44;40789,60;11635,78;4235,01;6449731,14
"120005 Assis Brasil";-;-;-;-;7966,81;1364,67;6458,66;13985,99;9766,02;10769,37;11421,76;19174,02;12874,16;17226,97;23715,07;16065,40;14514,53;18771,22;27419,31;12985,06;10625,99;14217,30;10639,76;22071,63;16408,17;15423,93;15245,32;12029,10;17142,94;18032,19;11668,09;20349,62;17043,18;19738,90;16710,74;25010,72;27712,35;27671,29;20102,55;21474,95;36650,37;25258,03;26487,88;16376,08;20790,11;18170,25;23809,54;28737,70;25161,65;39452,46;28179,04;10128,89;13701,25;31959,67;9603,25;10232,67;37673,31;24293,17;24002,07;15804,39;16306,72;23863,58;22154,87;20600,40;25504,67;13115,17;54046,25;21426,01;28065,25;24577,91;19758,99;22756,22;18868,52;22828,00;21923,38;23974,03;12333,37;24771,12;34694,83;10616,83;20659,71;10256,05;23811,20;17858,47;18831,10;24789,80;26767,47;10609,33;16208,83;17055,42;16897,00;20535,98;16604,99;13307,19;16428,77;17393,39;16608,17;21338,54;16661,62;46182,64;37538,46;18711,54;23692,01;18606,69;35073,44;15318,98;32029,61;44898,80;13780,74;36882,58;13541,52;32997,14;6239,90;7928,49;18936,79;15109,11;24082,66;23851,85;28669,37;39533,24;25633,84;25416,11;28732,93;16709,89;35415,98;31611,62;17646,71;22939,99;25569,10;21703,57;20082,17;30291,16;35618,75;24312,55;40090,92;25456,43;24703,16;27184,28;21515,07;105547,50;19760,21;51925,00;25436,97;47155,99;35220,20;35642,77;11424,06;14435,12;17714,36;37325,60;20491,10;31620,98;25135,04;24670,28;21759,71;26628,89;45697,69;41373,53;22242,05;33413,06;18740,62;24264,68;26244,93;19778,02;-;3672966,82
"120010 Brasiléia";-;-;-;-;3050,33;6369,70;17894,44;31836,42;39897,27;65659,59;51707,90;57145,61;42378,17;63350,99;47091,33;52056,34;71041,64;82725,40;54695,50;51989,65;45614,92;72562,94;60617,69;70969,15;50259,79;58256,20;41410,86;46589,08;60188,33;69871,30;71136,81;61169,87;99424,39;56534,25;57772,29;59655,09;49747,03;87190,55;70614,40;82368,61;91113,22;78216,33;75897,76;81395,36;60694,93;74420,67;104133,79;112592,68;89988,30;77671,52;63501,78;74563,29;61353,68;114785,36;79746,43;83658,00;76875,66;102018,74;72264,76;100276,02;115121,46;74406,92;62520,05;135847,36;74470,04;65512,93;63406,47;85746,38;57786,17;107739,55;86002,12;122142,36;67124,78;67018,31;83852,93;69509,91;99167,95;80510,27;46725,90;103234,95;101619,90;106812,75;64359,52;89459,19;98986,72;104541,12;90924,20;86229,84;89595,68;80267,36;78991,48;113985,81;92324,16;64991,70;83971,91;116670,17;99372,45;88688,63;97549,20;92669,42;79055,82;79708,98;71454,90;97813,99;95638,75;119242,65;97236,05;115652,71;170384,62;101325,60;112809,78;70567,77;101813,48;62529,69;94063,30;94605,59;56911,61;87929,70;88392,17;92705,48;62534,73;92901,27;108733,27;195918,31;81211,54;68881,46;68335,85;88646,18;102079,74;88188,38;102622,89;64082,79;93067,88;94090,72;87440,36;90952,73;78165,68;69024,04;68050,73;56144,72;82197,46;133456,24;119538,02;73118,64;83904,22;100685,78;71282,77;206833,66;84915,41;64464,86;99447,88;151304,90;111228,22;157774,46;74095,59;65300,46;70750,07;170584,48;172864,90;128263,97;134172,52;80777,89;77686,28;84562,38;3382,76;13449379,86
"120013 Bujari";-;-;-;-;-;788,59;6441,40;6239,10;9315,82;11286,70;14609,19;18327,17;12740,33;16992,47;15415,81;20591,47;13842,37;14139,88;22067,64;24037,95;10640,03;22438,50;19484,79;16385,61;16868,75;24232,62;13331,56;18235,95;21296,98;28837,44;15856,03;21235,29;5583,47;22543,52;19419,57;13418,92;31466,00;22380,57;19582,52;12840,72;16017,68;12080,17;21194,63;25791,14;11488,95;13490,15;10789,48;12712,55;13319,50;21868,51;21334,01;8495,25;13721,18;19956,38;14221,80;16565,57;17728,94;40492,84;29566,89;14505,62;13636,51;20456,94;17899,61;27088,82;29295,81;40487,68;13456,86;24861,34;14836,42;17802,72;17088,65;18975,36;16169,45;11219,69;15394,14;22722,02;4951,86;2053,05;1087,25;5509,46;16028,19;7302,16;5574,31;11308,87;9751,52;11164,14;8907,19;7822,99;2836,72;4017,11;3691,65;5527,63;3097,53;2357,29;5196,20;3219,55;6257,15;14423,91;28745,96;3929,29;6363,72;66105,68;32729,11;31062,31;18958,59;9710,24;19456,08;23084,84;13718,49;16808,24;10560,29;5737,13;6953,24;5437,64;3418,19;1908,24;10404,68;32293,45;21377,31;13499,50;5722,30;29472,82;30283,21;13473,23;5087,53;19390,16;9322,32;8300,87;8077,76;14524,42;6364,77;42173,98;5675,64;27471,41;23219,35;21787,54;19341,88;14461,63;24066,63;12283,97;17744,13;33322,50;29254,89;19175,19;14325,04;44085,98;28445,08;18530,75;15773,02;20596,08;17358,54;8677,04;24884,15;17221,84;26942,75;34815,97;29206,43;18903,77;13757,37;11665,17;38270,71;34747,82;9915,73;4769,66;-;2656886,97
"120017 Capixaba";-;-;-;-;177,20;4268,30;2885,06;8619,11;7498,38;10719,45;14064,18;16673,41;17240,15;16080,93;9997,41;25576,14;15395,14;24564,44;12496,79;19042,18;14251,86;16556,01;24876,83;30272,20;8788,88;14224,72;21672,26;12984,41;18000,14;21756,01;17871,41;25482,84;10905,81;15039,91;17739,15;29725,26;21696,19;10970,48;19125,35;13295,73;12534,33;44518,11;28527,89;9324,95;10990,61;8099,24;20560,78;25003,19;9630,81;8919,70;14575,17;15686,10;47125,00;22177,61;23582,05;19571,23;11975,66;17330,69;17291,23;47076,83;16996,72;18883,24;26379,98;14417,86;20039,46;28262,84;13389,63;17265,05;20005,78;23024,63;20376,83;12043,48;16728,19;17932,47;13933,69;15597,81;9684,56;12725,48;12077,94;21783,05;25394,07;12468,19;25940,54;20522,88;16692,34;17626,31;10901,77;25538,76;31672,99;15490,02;27370,72;33034,35;7118,10;17492,77;20563,63;13665,71;17915,78;30691,40;11014,98;35910,85;20079,09;19498,59;30964,27;18692,75;21116,34;10345,51;10900,11;20658,57;29528,68;33401,36;33671,15;20152,73;16478,51;18823,79;9321,93;25977,62;21283,00;64502,97;26173,79;19902,19;15126,95;24588,62;14751,81;32817,96;26419,20;28665,83;21044,19;19952,61;44986,12;23966,71;25400,26;13603,79;19303,30;31073,08;29561,49;15494,55;55398,38;28501,21;23445,51;15670,83;18142,15;12324,53;36986,50;35250,74;32170,89;35232,89;12929,05;46673,93;23765,51;19588,65;16286,86;21509,81;38342,29;28347,34;26699,58;14608,72;54295,08;34481,27;28783,50;43872,55;54907,30;25418,60;15777,37;12405,66;-;3423655,87
"120020 Cruzeiro do Sul";184,65;-;635,87;4248,93;4805,67;18851,74;51490,19;242569,32;223094,50;253343,24;303098,09;294434,39;327962,90;274841,75;270418,24;289916,85;293663,74;306604,45;291245,16;268633,65;253992,13;367719,23;298366,42;308405,02;403125,35;305219,52;258630,25;114028,54;343376,13;364581,24;315899,68;310538,07;277211,99;357801,78;344931,57;330801,64;313251,93;299944,76;340153,91;307514,07;358376,45;355942,18;341645,77;319936,65;318024,90;322185,57;309118,61;382193,57;380795,73;341339,16;301005,67;452048,07;374245,94;302638,40;315078,22;302973,03;273887,48;324953,85;319466,69;337365,99;342113,22;367658,82;368070,50;422573,04;723335,11;384201,38;358628,32;347237,41;342635,42;344998,44;388967,12;398581,81;358077,01;341114,40;378277,76;408652,43;434983,53;370877,85;470758,71;448972,68;385175,68;396709,48;396713,22;418619,28;417067,53;468726,65;389697,04;384912,05;435010,52;399396,06;414609,98;387303,29;390221,99;392698,36;384276,72;338919,56;359661,52;366398,48;309105,02;274553,12;309724,98;229350,50;321037,30;342374,65;313117,37;310447,88;302893,77;368180,40;301055,72;301991,35;276036,47;268773,23;275653,34;296007,62;299282,15;374857,52;310746,61;237992,91;240899,55;254342,38;279738,00;268048,97;286240,07;322053,14;257167,43;304057,71;287457,09;303949,36;371723,66;316902,06;442214,30;260820,39;278359,45;262067,44;279967,17;230759,79;309951,31;194246,71;151922,27;307371,14;208481,47;194433,15;261975,78;295651,99;341167,96;360631,79;262278,26;371268,67;490927,14;281734,10;384316,32;385519,70;290201,89;341081,90;216747,29;233630,94;497822,26;432852,81;349582,04;310376,76;272582,81;407034,50;226976,27;192407,53;7078,67;51645794,16
"120025 Epitaciolândia";-;-;-;-;1347,78;696,76;5625,97;22060,55;30774,21;20222,49;22420,02;18634,83;35056,83;28919,91;17259,01;26585,13;40594,79;34670,74;28589,47;24291,53;22157,60;20659,40;33514,56;43987,28;44123,97;24985,41;17918,50;14051,41;38920,03;27919,97;35403,90;25684,99;35284,54;25733,22;29514,64;28549,17;39709,30;26124,32;38474,07;33696,56;26013,76;28262,99;26868,04;67629,52;35627,35;53042,70;54188,13;23372,66;24162,94;52615,12;55686,56;38092,22;46244,86;54762,13;32022,03;35867,27;31013,20;63719,22;38735,48;30162,36;61756,89;47761,42;42636,11;44182,76;53906,30;30948,31;59300,93;86264,45;30609,52;49871,39;55953,61;31988,19;26546,24;46574,81;29302,40;32367,27;53710,72;43964,63;32585,23;27537,51;50872,43;33266,47;42910,73;71552,76;60880,02;38146,21;55777,41;35152,51;32062,68;32586,57;26779,75;47102,67;41773,04;68375,73;37337,27;42927,22;36530,63;43322,03;45089,63;51756,34;37604,65;35979,34;33067,82;37963,33;45297,86;34390,01;84685,10;42586,89;25723,52;89576,58;62301,19;32614,33;31024,83;46918,62;53455,03;67846,02;47782,37;52064,10;29570,98;45408,30;60543,63;57599,18;46955,95;54321,18;41827,55;51350,72;62798,15;58291,28;25423,68;61403,96;42355,32;37545,42;38792,37;44032,44;39859,49;38578,61;41877,87;36559,10;31778,90;77158,90;34397,40;34919,56;28209,00;44403,56;44636,27;43492,52;39229,94;59286,82;63962,93;60341,24;45755,78;63763,02;30679,45;60098,98;67840,58;43685,43;51899,72;72249,68;68679,19;34535,58;64207,23;162263,02;52816,80;66082,80;-;6786573,26
"120030 Feijó";-;-;-;-;681,43;7824,71;40768,13;38881,43;49287,41;63171,02;53395,01;80956,71;113109,24;74827,91;53199,11;74953,95;61795,27;56165,44;57090,50;75050,19;61263,76;73425,93;57406,33;79487,15;24218,23;43656,44;43029,81;70334,20;46673,96;68273,79;53055,54;57887,41;57331,98;61215,08;60709,73;64258,00;43833,67;51685,37;94734,68;61312,27;60981,82;53321,99;58939,42;60853,70;40821,60;35469,83;64719,09;90111,98;60146,74;97970,61;71781,19;59590,92;43911,20;61747,23;68591,86;46624,26;50964,17;77844,98;74793,95;49856,56;58141,93;51842,67;49877,36;42712,32;56216,24;70955,00;41606,16;50614,45;25512,87;43077,62;54260,59;69729,98;50694,47;45525,94;55205,01;52530,19;48870,45;64597,63;69189,80;36149,94;64518,48;50655,41;41994,31;60634,89;47191,17;30666,34;47628,51;36374,29;49508,28;56548,36;62061,72;43766,71;23467,03;24605,44;39003,08;58769,34;26603,44;26867,85;20124,49;49118,79;32510,95;33472,07;35261,69;33780,07;53278,41;55231,89;17975,72;56165,74;55975,23;46331,08;32177,71;25047,71;70677,20;30490,11;74623,52;11580,36;41720,46;44380,00;43420,00;27138,36;122634,47;24882,45;44432,61;15392,56;43145,12;124713,12;85975,11;48636,86;60841,52;18676,97;41897,96;45617,87;61720,76;138285,02;59599,44;56561,16;57854,70;52825,78;51226,54;41817,14;33243,44;34132,77;56838,12;45447,80;51184,35;67555,76;47286,08;39652,51;136551,02;28169,24;39848,02;26271,17;33127,22;57280,48;52067,87;27428,55;39607,17;105542,49;91715,73;103150,67;74656,06;51662,50;27415,46;12352,18;-;8501574,54
"120032 Jordão";-;-;-;-;2713,45;403,09;-;1340,23;744,04;2319,09;1942,61;1011,82;2947,59;3123,76;1134,94;6062,55;7214,57;2681,41;3475,95;3647,77;3028,84;7515,61;6068,11;5742,94;3486,85;3123,32;545,73;47,27;3521,75;886,80;2949,79;994,11;1941,70;2645,03;2223,58;5854,06;11445,98;11963,54;14346,01;3559,80;4995,83;7847,60;9239,59;6233,34;7424,38;16180,20;18751,51;7939,15;4494,15;2357,02;8970,56;4242,59;10777,44;6189,25;15126,01;8003,42;4957,22;13930,26;7349,83;7149,73;2171,63;7689,85;4962,14;1957,11;3819,32;11475,23;2122,87;1338,31;8505,96;2944,95;15015,16;11972,81;3875,59;7019,34;5514,38;6224,08;7241,58;3438,48;3558,23;5740,91;5259,85;5977,02;5228,81;11740,49;28537,74;6104,58;1224,71;8640,23;8365,11;2012,75;19103,51;5018,52;6415,63;5937,98;2200,45;5447,98;18699,40;5240,77;5893,35;24377,03;8124,60;2439,42;2602,94;1377,85;4310,76;3253,32;1811,41;7377,86;6266,38;6220,06;4991,60;8128,75;15042,08;2159,46;22129,81;26264,50;4068,94;1514,63;7030,97;16184,53;24663,08;16607,71;11068,71;7634,67;21487,91;3584,43;7438,81;8064,72;36644,47;26441,96;3945,71;5811,72;3164,91;5941,14;4095,69;7462,06;8714,43;1398,94;14979,63;3967,24;7308,86;9311,90;9839,64;10155,76;25302,20;45495,95;7519,90;3603,01;17038,75;3624,36;24264,56;4130,36;40506,45;3502,29;4936,76;15994,09;4484,89;26036,18;10745,74;14479,76;5586,13;6013,33;3090,07;6700,32;-;1286915,68
"120033 Mâncio Lima";-;-;-;-;787,19;5692,42;6267,63;16347,24;21816,72;35849,44;32061,76;19427,26;25515,43;32143,69;36098,64;34557,02;30644,54;26805,57;25872,04;19291,85;19697,60;22273,73;32169,31;46555,81;24809,24;27022,99;22448,93;27818,66;44897,34;41200,35;33095,46;39610,07;31511,03;42304,16;48911,70;59554,15;42860,56;34171,59;38652,60;34253,96;40036,50;29527,45;54593,36;31590,76;32532,90;35909,68;38160,39;58420,54;45635,39;52364,04;35489,42;55116,84;53996,45;43660,12;19699,70;44385,70;49429,02;37659,23;42844,35;31830,84;55204,55;48395,48;42395,26;64295,34;70276,87;59284,72;34612,86;33004,42;47902,90;46431,76;51541,18;45371,64;37972,62;58391,07;42351,99;37315,41;59306,08;52125,88;49962,78;60026,41;52752,83;72150,55;58927,91;52947,50;66668,05;69855,62;68277,99;25233,08;68865,97;60906,21;73148,15;48183,14;41397,61;50511,76;45613,13;39478,77;52944,69;51201,97;60056,30;86391,94;54789,53;46256,01;43833,07;30773,54;38676,04;51389,92;53987,78;154981,17;57305,68;42693,06;47249,94;97813,09;54880,87;44066,78;51727,75;48511,58;47647,23;31900,77;46103,15;33575,30;64470,42;46407,36;24779,79;43548,91;57298,18;70383,23;37748,87;45913,38;52221,61;42927,58;34532,03;49621,64;63785,01;36502,46;43491,20;29313,81;58171,99;18346,21;13987,60;46747,01;27991,46;34206,65;36459,20;42655,03;56644,15;40593,66;44418,85;45083,60;54044,87;53483,15;29964,33;30487,52;39340,52;40205,88;44730,56;24962,48;94777,16;96545,86;76263,24;40167,80;54670,64;37715,89;44673,24;10826,71;-;7116835,75
