 Morbidade Hospitalar do SUS - por local de residência - Amapá
Internações por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"160010 Amapá";-;-;-;-;-;1;-;6;9;10;17;5;14;10;12;12;12;15;14;10;9;12;9;14;10;10;14;8;11;7;9;4;12;2;9;12;43;31;10;11;12;9;-;11;11;10;5;14;4;13;10;17;7;11;42;23;21;26;30;33;19;27;30;32;18;25;23;24;21;17;15;27;18;28;44;46;50;27;10;27;15;27;15;27;21;29;46;33;48;43;33;19;27;28;29;37;32;34;21;26;48;34;28;31;32;21;32;40;46;38;47;38;24;40;22;22;25;29;33;35;37;38;20;27;21;35;34;19;27;34;39;30;69;43;35;29;46;41;36;26;15;34;46;31;26;29;25;29;30;28;26;32;23;7;5;5;8;26;34;34;40;45;25;24;2;-;3801
"160020 Calçoene";-;-;-;-;1;-;1;3;9;12;9;5;5;13;46;33;29;38;8;82;231;86;124;124;109;125;107;108;65;36;92;71;47;64;90;24;66;54;76;89;59;32;52;37;34;32;56;65;78;53;67;72;80;65;79;65;39;45;70;20;64;53;70;79;63;58;51;62;60;54;90;70;61;60;55;64;54;48;75;63;52;39;60;58;71;58;52;69;59;67;67;46;36;59;46;53;68;50;55;54;40;56;47;44;53;54;58;57;39;55;45;39;39;56;52;37;65;49;53;63;30;35;42;32;54;35;38;54;56;32;82;20;78;74;81;65;70;66;54;67;80;89;90;66;92;58;66;63;52;31;49;33;37;34;41;30;11;24;37;46;31;27;35;17;4;1;8765
"160021 Cutias";-;-;-;-;2;-;2;3;8;7;14;9;5;11;5;6;9;6;1;5;4;4;11;8;3;51;7;7;6;2;3;9;7;8;8;4;7;4;3;10;8;5;10;1;9;3;5;7;5;5;8;5;10;4;5;4;8;5;4;8;3;8;10;2;10;10;5;8;11;4;11;11;9;4;8;10;9;11;5;6;8;9;5;10;9;4;8;5;4;4;4;7;7;5;8;9;6;7;5;8;6;11;11;7;8;5;10;5;10;9;6;8;8;7;6;9;6;9;7;3;7;7;9;9;13;4;10;7;9;7;7;4;12;10;7;9;14;12;9;6;10;5;5;4;5;14;9;9;6;8;8;3;8;1;5;3;6;10;10;3;6;6;5;7;7;3;1154
"160023 Ferreira Gomes";-;-;-;-;4;2;3;7;10;5;4;9;11;12;21;13;11;11;18;10;13;7;70;20;11;8;14;15;10;9;16;10;10;10;60;8;14;10;9;9;12;11;7;12;2;12;18;9;8;17;5;10;16;10;15;13;9;17;3;17;19;12;22;18;14;21;12;16;20;23;15;19;21;14;21;20;9;15;17;17;11;17;15;15;14;11;21;30;13;20;23;14;24;19;14;17;13;22;28;19;19;16;13;20;20;12;18;12;25;18;23;20;13;15;20;19;22;11;14;21;20;23;21;20;23;23;14;17;16;17;15;27;18;24;17;20;29;22;27;17;23;19;17;23;14;16;29;30;20;17;21;12;11;20;17;17;15;16;24;20;17;18;21;9;7;-;2626
"160025 Itaubal";-;-;-;-;-;-;1;2;7;10;5;6;12;7;13;8;13;6;9;4;8;6;9;7;12;9;16;9;16;32;5;4;5;9;12;7;7;13;12;6;12;12;14;8;5;9;7;12;9;5;6;12;6;7;7;8;5;10;18;5;6;11;9;8;7;8;9;8;15;12;12;15;14;16;10;13;15;10;13;8;16;8;10;18;6;10;12;16;17;15;12;19;15;7;17;14;9;12;10;22;9;15;10;7;9;11;12;17;12;12;13;9;14;11;7;7;10;4;11;12;13;11;20;14;13;19;18;7;7;13;12;12;21;13;21;13;27;19;23;21;13;17;12;17;16;8;20;16;19;13;12;10;4;10;18;12;9;12;16;15;10;18;22;16;8;1;1841
"160027 Laranjal do Jari";-;1;-;2;16;43;93;231;363;344;376;373;391;365;241;218;214;261;346;345;317;202;260;221;327;282;296;299;219;210;274;298;273;260;267;238;293;305;296;293;307;259;237;246;222;200;218;237;288;242;181;280;219;236;242;244;238;202;262;233;266;209;230;249;245;260;197;192;236;222;216;263;256;232;221;215;240;267;217;240;209;215;241;252;259;254;214;235;309;254;219;221;212;201;208;244;255;265;195;202;218;234;207;169;165;182;226;227;232;272;197;190;170;169;217;167;201;202;228;213;283;273;297;309;306;260;280;220;236;244;275;296;278;261;257;260;283;297;228;233;212;208;285;235;289;244;231;233;238;229;211;201;219;209;214;185;187;176;149;206;204;243;279;310;334;268;39244
"160030 Macapá";1;2;18;53;173;140;261;804;1667;1563;1430;1685;1667;1598;1493;1681;1709;1811;1673;1688;1678;1639;1834;1887;1918;1785;1872;1945;1936;1908;1773;1731;1936;1651;1935;1865;1810;1944;1932;2106;1935;1810;1655;1618;1887;1724;2053;2112;1987;1799;1962;1894;1975;1989;1947;1770;1913;1828;2049;1983;2031;1912;2083;2078;1943;2046;1997;1881;2006;1824;2001;2053;1981;1795;1880;1849;1887;2029;1865;1743;1885;1760;1781;1886;1714;1306;1669;1776;1752;1796;1623;1451;1448;1435;1888;1718;1795;1814;1831;1882;1875;1798;1771;1618;1646;1465;1718;1561;1664;1729;1630;1697;1629;1577;1538;1523;1668;1458;1934;1695;1701;1631;1547;1736;1730;1578;1567;1406;1551;1495;1622;1849;1759;1669;1730;2062;2017;2090;1968;2020;2066;2045;2052;2157;1844;1961;2017;1787;2147;2187;1950;1898;2112;1871;1746;1359;1494;1536;1677;1830;1780;1962;1656;1775;870;344;283231
"160040 Mazagão";-;-;-;-;3;2;15;45;42;28;52;53;42;43;54;40;56;55;45;61;48;46;52;101;81;47;49;41;42;57;45;49;57;43;53;61;50;85;66;51;42;30;36;46;42;46;46;52;51;44;49;53;62;53;59;42;45;48;48;42;44;49;50;53;40;52;60;40;47;46;55;46;49;59;55;82;58;67;68;57;65;48;54;68;55;60;44;55;65;79;47;47;45;49;55;71;67;66;47;65;62;81;50;44;58;47;48;65;55;51;60;55;59;51;51;53;54;42;61;55;59;51;57;64;61;52;54;44;63;57;65;67;62;80;70;77;67;75;93;81;82;69;79;77;66;62;85;78;72;89;68;68;52;57;68;53;46;62;54;55;52;59;49;42;19;10;8899
"160050 Oiapoque";-;-;1;-;-;1;2;2;11;5;10;17;7;20;95;114;106;89;93;67;82;76;97;95;250;67;22;77;168;68;22;98;94;64;78;67;54;89;98;94;75;81;86;60;70;55;37;75;66;56;59;12;74;68;31;69;48;63;57;73;51;45;62;55;70;60;60;51;48;57;72;82;59;68;72;132;114;123;121;117;141;124;172;127;151;152;141;102;139;122;16;107;112;7;10;11;10;10;15;11;15;23;10;10;10;6;8;10;12;6;12;6;15;8;7;9;78;70;121;122;138;129;126;103;36;121;50;121;106;92;89;89;127;95;114;125;106;96;97;83;137;144;121;130;131;117;146;143;150;152;180;145;175;172;126;88;115;146;138;146;119;118;139;143;188;158;13082
"160015 Pedra Branca do Amapari";-;-;-;-;1;-;3;3;8;4;7;8;8;3;4;4;4;5;6;7;6;6;6;7;7;9;8;10;17;8;13;5;13;11;21;11;18;12;12;56;21;14;11;11;7;13;10;12;16;12;6;18;8;23;10;21;26;18;20;20;29;10;17;12;19;18;29;15;20;25;22;26;18;24;11;19;28;29;32;20;25;25;16;21;24;10;24;20;27;25;26;25;13;23;26;22;14;10;17;18;24;34;12;10;14;15;16;21;14;16;33;28;19;36;24;21;26;28;26;26;32;25;33;32;20;33;24;22;18;33;31;28;36;21;25;31;31;20;41;34;26;36;42;39;42;35;33;36;43;30;25;29;24;31;24;29;23;17;28;32;32;33;21;25;21;2;3233
