 Morbidade Hospitalar do SUS - por local de residência - Amapá
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"160010 Amapá";-;-;-;-;-;372,44;-;4384,21;4974,34;16557,95;15459,92;2855,91;6303,23;8353,72;22235,16;14835,63;4818,16;16665,98;12893,12;13069,86;6552,05;3366,22;3317,32;12816,24;11589,08;17938,05;7501,54;21353,98;11779,41;6881,35;7153,05;2258,71;6328,50;1046,01;4592,75;19246,04;25593,51;20519,56;7383,51;6508,23;9276,01;6312,50;-;11238,33;6006,87;4586,35;2345,37;8540,26;1255,63;20803,73;5343,69;9667,47;3795,82;21937,00;34140,16;10121,70;20847,66;12106,97;11828,13;13425,69;7673,52;13743,17;14484,12;99223,27;19918,40;10548,05;23460,95;8663,37;36150,57;23951,77;6050,24;17055,92;8379,31;12303,58;18463,40;18627,83;24220,27;63634,00;32299,93;11809,71;8301,14;12713,29;14082,94;10688,57;24707,74;49892,85;21214,11;70064,27;15428,26;27979,12;23471,91;9189,93;36837,88;25121,41;16637,40;12633,78;16536,11;50389,27;15553,64;16835,77;21586,80;21190,09;17950,04;12912,72;16882,66;9239,51;18544,77;37486,39;23787,58;40607,49;33148,94;35746,02;9547,02;19440,73;10464,47;7188,42;14047,55;18837,57;18275,81;12769,19;15552,76;35177,91;14380,95;21268,97;12477,49;27403,25;23202,04;12594,83;30657,02;47918,86;36928,49;20579,92;42804,42;19040,03;27054,35;20230,59;22366,56;21303,84;15949,50;17218,06;11635,17;21716,95;26113,95;20790,58;15984,28;13068,70;9661,72;14084,07;19273,93;15202,33;22788,56;29672,58;13638,15;20329,25;11384,38;25748,74;5204,11;12388,69;25315,90;16799,67;35315,29;23190,29;27965,73;38139,01;1204,06;-;2870404,55
"160020 Calçoene";-;-;-;-;673,29;-;597,87;3394,82;3775,86;7612,09;4672,42;3145,02;2101,26;6804,84;13961,23;12057,79;7628,51;11191,28;2791,36;22475,56;92898,90;18675,55;32900,17;40045,56;29650,06;29312,01;24137,46;26086,68;20235,86;13521,18;25608,06;23656,10;10570,54;21131,04;28092,99;6682,76;28024,15;15875,45;20307,14;27280,51;17939,88;9846,11;18794,37;12231,70;10150,19;10675,91;18440,86;21609,86;29607,20;17587,77;20733,80;17050,83;24589,51;18678,26;34823,09;22290,92;12926,52;11698,61;19498,92;8046,44;22730,20;15038,02;21828,79;21344,87;21366,18;18767,03;15944,91;21055,33;18027,17;20270,89;23196,03;22000,16;21395,85;20163,86;17667,09;16835,77;17376,80;14062,95;22408,98;24247,86;15400,15;19126,11;17238,88;38099,23;24701,13;18046,86;19637,98;20531,43;26280,45;19657,99;19274,30;16417,06;14615,19;19794,49;14751,58;17069,09;21507,23;29621,95;22165,12;18814,80;15273,17;12917,10;27086,55;11222,74;23867,56;33275,81;35565,28;17133,31;15759,52;17813,32;16655,09;16532,21;14048,37;20750,77;15113,94;14202,55;22268,91;14960,05;17916,35;20921,86;10735,83;16692,41;23876,00;9846,40;17410,40;36112,77;17719,85;13723,48;77104,97;13834,67;47526,91;16688,78;26633,94;23793,26;31857,59;39600,82;41445,31;27676,97;18856,03;32412,15;24891,81;21209,24;20586,43;49297,76;28729,66;36831,37;28133,72;20778,58;15097,80;10529,35;18748,07;17100,68;23344,68;14135,18;22226,00;10556,83;6210,14;16589,33;25386,05;22926,56;17962,14;12352,88;28150,40;18871,29;4329,52;238,57;3245322,92
"160021 Cutias";-;-;-;-;614,25;-;382,14;1036,89;3203,77;2199,82;5858,84;5552,58;2207,65;12818,43;2323,80;3128,92;4959,30;1728,14;579,93;3029,14;1768,81;1920,28;5599,99;3374,63;1026,39;23072,12;13409,35;9775,31;2410,15;1148,29;1696,49;4221,20;5116,79;2943,71;2742,45;2350,53;4625,08;5425,05;1279,69;4717,04;3283,85;2253,35;5175,61;508,60;21207,25;1124,11;2184,42;3781,19;2123,03;1756,83;4047,48;2972,31;4799,52;11162,95;1967,29;1936,42;4160,97;1018,14;1268,60;4178,23;1459,26;4353,17;4179,26;1027,93;3553,45;4890,36;2450,77;4004,79;42190,24;2012,24;5953,58;13476,46;3723,01;2243,11;4115,23;4657,81;4001,67;5226,24;2041,57;2903,70;3772,29;11155,49;6656,81;6518,83;11863,50;105261,37;5211,77;15555,29;1492,11;2544,24;1738,08;3601,65;2997,98;1711,69;3413,38;3936,76;2677,52;14866,89;3216,78;4253,65;2544,56;4931,52;5680,58;3267,32;3989,58;2352,64;5530,45;2379,22;16392,51;8530,71;2987,77;4704,19;3884,10;14921,98;10440,07;14405,05;2963,19;4783,03;17755,97;881,38;4171,43;4157,54;5865,85;12302,35;6024,38;1795,60;5250,61;4147,67;4265,88;6194,62;3791,39;2356,24;6877,06;21995,80;4734,36;5167,53;9374,98;7666,31;16883,89;6669,67;5335,08;23260,26;4223,05;2036,19;6306,15;11035,82;5397,59;4643,81;3704,79;4643,57;6706,49;1767,12;4544,14;563,28;3694,16;2419,87;11059,88;13695,61;7944,25;7700,79;9466,10;3447,66;7792,12;14867,11;4043,70;847,25;1004231,85
"160023 Ferreira Gomes";-;-;-;-;1788,75;235,29;422,78;2274,27;3865,19;2181,03;2822,43;4461,10;7582,16;4363,87;16154,64;6452,20;6424,42;5787,35;9183,41;3346,38;5087,27;3070,51;30836,53;8838,49;5977,46;12344,64;7020,85;9617,47;5545,32;5468,55;7976,00;3971,96;7272,74;5911,00;28799,35;3210,47;7982,45;4270,21;3769,09;5209,00;4963,10;4520,19;2370,79;6988,76;867,05;4582,49;12264,74;3641,10;3849,39;8090,25;3287,17;4260,64;7273,50;5680,07;5545,99;4962,33;4403,45;9191,21;1788,74;7504,66;16816,30;13241,53;15076,10;9241,85;9741,53;10129,26;5987,87;9113,72;10583,46;11790,32;6967,10;7360,48;11073,95;8077,53;10756,38;10263,77;5481,94;12396,61;7458,94;8759,05;4686,49;19867,81;10805,26;8187,00;6238,79;6694,61;18612,41;15447,68;15155,68;10479,45;12398,19;8257,94;10068,97;8995,40;6589,14;8531,37;8123,47;10776,89;21110,77;13848,27;14097,18;18363,83;7226,48;8715,31;8740,49;7122,48;27033,40;8058,74;13795,37;19427,63;13965,36;15436,59;13284,57;27952,38;13585,96;9680,12;26496,71;6181,23;10103,14;12930,49;10843,65;11626,19;11101,93;9691,05;23001,78;13156,44;7008,65;7923,13;9238,82;8692,17;9865,53;15158,03;11493,87;11998,98;8595,97;12989,29;17741,55;12711,31;21135,73;12020,08;28591,23;10791,61;9592,35;16330,11;8094,79;11995,47;18842,90;21665,64;14145,82;18501,69;12730,42;6651,89;6575,67;19563,92;9417,83;8887,40;19849,00;19030,74;27745,85;45336,90;15058,03;10716,60;33992,66;7341,77;5454,15;-;1715849,58
"160025 Itaubal";-;-;-;-;-;-;654,29;1520,35;2436,36;4047,75;2047,90;2653,48;5770,51;2993,20;6917,47;4242,62;5244,45;9837,53;4415,48;2215,13;3216,13;3023,44;5165,33;2311,20;7688,86;4006,93;11062,91;4892,81;8072,84;23902,89;2098,80;2112,02;2289,38;15178,89;5978,10;3322,02;3160,48;12071,86;6044,93;2868,80;5901,99;6375,99;7725,05;3617,87;5850,09;3351,57;14650,56;3988,33;6287,54;2723,01;2923,14;6774,43;6659,79;3745,35;3874,47;3029,13;2954,65;4012,41;8054,69;2733,11;2338,50;5268,91;4529,85;3926,51;9269,58;4432,92;5028,49;4069,02;8941,08;6300,80;6624,62;6963,30;7913,56;26479,09;25898,05;6994,76;7005,43;4369,43;8159,35;4424,96;7752,56;3426,65;5242,85;7886,26;3371,32;3867,50;6766,41;8940,44;12386,30;8600,99;5539,62;8824,28;6726,78;2817,89;7743,20;7478,88;5347,89;5453,08;6996,41;21832,23;3911,39;57101,82;24766,13;3267,85;4743,17;5665,93;6744,89;11864,05;10020,85;9569,80;9925,84;6802,92;9729,66;5989,86;16736,12;3354,71;5582,39;1391,76;4668,96;6239,66;6515,34;10294,56;9551,24;8538,74;6606,77;7633,39;10840,37;2663,08;3441,20;6209,23;7518,25;11466,85;10245,17;6635,12;12119,10;8236,89;14918,79;8084,84;14531,03;12676,20;33289,33;8566,09;7275,65;12312,65;15714,05;5141,26;12023,67;11205,14;10839,01;6245,00;9350,20;8328,93;2311,63;5853,63;11662,23;6355,15;8033,13;7155,69;23811,34;17534,12;5677,93;9315,76;19328,46;12497,20;8639,65;614,11;1260522,99
"160027 Laranjal do Jari";-;1999,81;-;328,66;4398,83;12355,72;28864,73;76262,90;137595,05;115382,19;127876,61;133261,49;141977,07;125983,87;86501,24;89297,62;95982,57;99602,30;123966,25;135124,08;114936,87;82267,27;107213,45;105666,96;137759,19;128198,80;126241,98;133509,59;92167,76;84834,05;120658,56;118186,03;119702,57;109554,68;123604,68;97959,49;121314,17;144851,60;118651,04;115671,06;137125,45;107280,59;104874,79;99549,46;104171,06;83302,56;103352,86;104315,00;124599,25;94641,90;82305,51;113466,24;77809,63;97080,67;107126,76;97383,58;104411,32;108520,64;110301,59;95623,50;107948,65;92038,40;98616,47;111582,95;107937,04;106310,52;87451,24;84506,15;100866,30;142613,40;96876,03;121132,29;115758,55;101766,64;93110,30;119380,77;131545,10;133080,27;96307,83;130290,78;92201,47;135322,69;109956,43;124134,76;126906,70;216547,89;112134,34;116450,60;149216,25;125864,70;102420,36;94202,51;106477,73;113322,23;108155,22;127508,73;140653,23;141703,26;101401,61;92548,36;124790,12;104031,73;101162,91;77410,48;70442,67;99738,93;106087,96;112278,95;115697,35;129918,94;105875,78;87009,22;83904,24;89277,97;98950,84;76303,39;104840,92;117818,91;133867,43;91681,96;139177,33;140799,54;135518,07;136393,25;160639,49;145508,91;147031,95;123646,50;118136,31;137109,15;129929,68;172536,52;133462,05;129225,86;122137,73;120858,22;148641,87;154348,02;118714,72;103936,33;113322,11;108254,15;140548,33;140934,72;160617,58;144601,20;122584,00;127453,78;122725,84;113614,96;103273,22;117500,15;182361,14;115374,93;112672,82;122431,55;180157,59;135240,77;92749,89;123713,70;118349,93;158018,05;156187,16;179751,22;156436,93;155135,59;18766055,41
"160030 Macapá";1647,39;5754,91;8898,06;28218,22;70401,74;73683,50;128271,30;478654,10;893765,12;921090,36;793495,74;1017896,14;951211,06;1005905,05;837238,76;1005898,22;1052040,20;1055981,32;1061139,57;1004986,85;1091496,00;1176383,12;1189317,08;1261622,75;1245114,43;1138062,95;1198325,64;1254758,69;1255991,40;1260827,76;1108714,59;1007708,17;1182513,67;989135,48;1308474,79;1226950,55;1148148,50;1224264,34;1241071,25;1319782,92;1219122,04;1260697,52;1164084,68;1047679,16;1266894,53;1250175,37;1440235,83;1468806,41;1396609,19;1163013,00;1254225,40;1360244,73;1294434,24;1366006,81;1299313,41;1031054,45;1315284,45;1251845,17;1358411,43;1407699,55;1520509,43;1413958,76;1516760,88;1513459,18;1358889,91;1590571,23;1348647,64;1348372,83;1413772,52;1296260,75;1523579,51;1495830,45;1527209,98;1538881,61;1496947,60;1285429,20;1345695,26;1495829,28;1352561,63;1168153,93;1506680,73;1206553,75;1307158,42;1442890,14;1254544,41;1263732,45;1288196,88;1268804,23;1266862,51;1299810,07;1029211,36;1007845,46;1112657,15;1075499,62;1383869,69;1265604,59;1301051,26;1381424,65;1371416,13;1392073,85;1427074,98;1214001,27;1263904,27;1163216,21;1175375,87;1315624,05;1258228,47;1268797,54;1630302,14;1348206,47;1513634,52;1291880,63;1418435,26;1253996,50;1175546,34;1343061,09;1322872,21;1200056,19;1574354,00;1238330,49;1418593,99;1396350,95;1400174,19;1375562,72;1387841,34;1262837,45;1332736,80;1077974,02;1259174,73;1355971,83;1269144,62;1372802,74;1366994,12;1440724,32;1491635,95;1721618,56;1702720,12;2162462,34;1727559,24;1634896,56;1705126,23;1877624,15;1940322,33;1763904,36;1373731,40;1669737,22;1755838,61;1386908,93;1868051,50;1987567,03;1785230,95;1687386,43;1710595,80;1631423,75;1550977,03;1206813,12;1919286,00;1690317,76;1745649,26;1809290,51;1901347,34;1947107,98;2051666,53;2041496,84;875390,07;284685,63;214540039,84
"160040 Mazagão";-;-;-;-;1409,17;1600,07;5862,98;22748,64;19840,69;12187,26;21488,08;30482,08;19432,34;23455,55;21538,86;18334,82;41894,27;35868,14;30103,08;30411,73;23798,81;24293,40;29335,85;51824,85;41677,04;24994,19;31164,98;24169,94;21286,83;28451,91;23012,91;23368,34;31698,03;32045,36;39567,79;33477,67;25161,84;42579,23;33012,22;26065,87;22885,66;15376,35;16953,75;40940,76;29960,17;24706,48;20208,98;22645,23;23751,31;22372,55;21724,75;27331,71;48719,77;29656,23;29244,39;36076,32;34794,62;21231,81;21972,60;23622,92;24168,56;24796,71;24874,26;28028,56;19408,64;24328,25;31529,13;18913,84;29393,05;47660,56;25287,22;23132,66;45593,38;46828,28;33781,30;57734,57;41110,30;132949,26;35280,61;28937,32;42457,10;23351,72;29911,42;42087,58;123611,72;30570,03;34702,59;30199,11;44376,99;57523,45;22693,02;24896,40;21747,06;29489,02;35185,07;36043,50;39956,56;48225,91;29745,51;36954,49;31471,05;52035,67;25476,55;24945,54;38740,65;22466,93;26375,85;48110,40;36000,78;27278,36;32560,94;30656,11;31717,31;28633,56;43536,46;35109,99;24118,24;25165,11;34560,27;42679,71;31880,33;28199,25;35513,94;36026,23;34995,32;27594,43;43258,53;45564,39;60899,81;26353,01;40241,66;32139,35;50080,99;140138,36;56954,35;47282,30;47071,85;45951,27;68716,67;71346,68;57609,28;37187,57;88829,37;50987,63;67582,21;58291,62;51727,02;67338,30;41127,03;54141,01;85142,55;32394,31;35336,90;48551,79;64406,95;42519,85;39562,60;43093,51;54033,72;36518,02;39005,99;38061,66;29566,45;34311,50;10321,41;4299,29;5853081,63
"160050 Oiapoque";-;-;645,89;-;-;191,07;1537,28;1860,80;4491,94;2055,23;3970,40;8222,59;3532,75;19278,89;37705,33;51498,63;33330,38;31381,17;29666,28;30596,28;29938,81;26558,53;48618,02;42023,03;101207,14;26573,58;10482,72;36203,44;67607,77;32696,54;12238,23;39891,58;39926,62;28266,65;31313,80;26228,93;21199,88;40522,85;33762,33;41444,02;23902,06;21064,91;23225,87;23571,96;21048,69;14733,93;16236,66;22279,13;31040,84;15690,32;21712,36;4147,51;24835,24;26425,10;16799,59;24731,70;25675,37;21987,55;21360,21;27524,19;21472,96;18589,45;23694,61;21763,19;30113,68;23784,78;24617,02;20974,61;20710,40;26226,07;27113,11;30350,51;19359,98;20019,04;23782,83;44907,90;35062,71;35230,51;40788,82;38311,90;36528,51;31813,51;60492,78;42881,20;42379,09;40359,53;42752,36;40269,93;50403,45;38671,11;5181,52;38032,29;31597,73;5078,02;5370,18;7249,98;8787,87;17245,35;18802,12;7852,89;16539,70;154970,34;6423,03;4347,51;3673,90;3503,48;3922,27;16379,39;9788,34;2511,99;14614,26;10354,10;9662,53;3959,34;4125,00;3606,70;28852,38;31092,01;45704,34;48695,81;59930,97;56587,20;58730,98;39917,87;15254,39;50286,95;31300,61;58428,00;49577,83;45908,76;38236,59;51036,98;54097,08;58371,83;47014,68;62527,74;48124,59;45935,47;39511,65;35504,67;57401,19;54250,00;58070,85;58125,56;56130,91;65299,37;64570,75;63910,86;60068,98;61971,64;68852,04;58177,95;63864,94;65268,25;50774,37;34554,26;77831,19;147008,48;81989,61;72756,17;103113,54;81202,52;96035,56;89795,32;136334,99;98870,74;5838527,37
"160015 Pedra Branca do Amapari";-;-;-;-;209,35;-;5493,01;856,74;3981,95;1494,77;5182,79;3185,98;4852,25;1576,72;1575,55;1983,24;1570,90;2450,90;14417,60;3738,01;3485,31;2744,46;2975,98;3370,09;3387,42;4035,13;2588,15;5635,24;7088,59;4213,56;6768,20;1707,87;6599,00;5390,78;13061,98;5595,76;7371,15;14935,84;6358,36;27704,15;8861,07;5881,40;7227,75;5893,17;3677,24;6535,41;6349,43;5916,03;8390,56;4757,29;1905,12;7723,57;3702,41;13671,04;6374,35;19319,70;13415,72;24512,58;10461,14;9222,89;16925,23;4981,00;8884,92;5940,91;8852,28;8206,17;46908,01;6858,15;8851,34;26044,94;12044,54;18910,18;8658,87;14032,18;5817,37;10756,07;18567,47;35749,69;14899,79;9294,57;12026,62;16230,10;7209,38;11899,23;9334,52;6317,78;12251,59;9702,00;15887,60;29870,28;15873,16;31508,83;6966,69;20238,28;14198,87;39083,56;8435,94;6073,40;8279,37;9970,08;10295,15;14924,73;6417,42;4239,17;7225,63;8116,02;7415,89;11953,20;8032,45;10527,73;14557,26;19063,29;8441,92;14874,56;12670,40;9639,70;14976,99;11466,35;12285,93;11322,37;26117,09;10848,62;15270,87;12768,13;10514,90;17925,88;10701,60;17546,18;8664,58;32070,18;21545,76;14357,25;18251,15;11109,67;31231,47;14660,48;28047,17;15342,00;21808,88;33020,99;14255,93;16444,86;24707,66;23385,29;27754,18;23283,39;24388,77;28738,74;20563,52;20636,32;15029,19;12891,85;11806,26;16136,12;10893,72;16438,24;17044,12;10017,15;16874,05;17882,05;22733,88;28086,40;16637,64;23372,69;17504,70;1344,72;2013026,06
