 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"130002 Alvarães";-;-;-;-;-;-;-;554,69;1209,27;4839,65;14164,04;13252,16;13280,61;44482,30;12825,90;12440,63;8155,83;3134,10;13435,71;689,23;-;9521,55;3767,05;361,10;2425,41;8182,59;521,21;15715,58;23212,92;15688,28;697,48;3951,86;12992,89;12048,76;5618,54;20357,67;16110,84;8766,90;22930,44;12487,03;10842,94;3146,78;10593,03;16537,65;10770,53;11494,42;4711,12;1773,70;1086,13;3534,05;1881,74;3359,79;4872,63;2897,08;2418,26;1830,48;839,70;1330,20;1024,88;9811,05;1619,35;8025,99;28259,70;28934,83;5496,73;13910,08;3420,67;27360,14;19826,78;12260,92;17802,19;19304,07;21094,90;22267,95;5950,29;8414,90;21195,82;13781,63;13482,21;3593,12;18021,11;15767,93;23272,39;6658,32;13038,39;24775,39;7823,53;6678,03;11474,89;40448,33;18553,91;31435,96;15715,35;25642,00;25670,36;3761,42;24547,06;26554,94;21873,02;39814,41;28052,68;25468,10;25795,76;19685,32;25825,42;27764,61;27027,45;19065,86;21717,50;24841,82;27920,87;28478,03;28589,33;22506,72;9029,66;24457,50;21015,26;17507,90;20504,56;19186,27;21559,07;27323,75;28137,04;30894,77;37336,02;37241,84;38545,69;43389,74;22084,99;34881,92;29568,95;31557,68;20822,19;66657,83;29061,18;27797,31;31953,61;53261,60;20457,96;36937,13;27170,87;50781,44;34384,84;50587,19;36798,27;28448,71;41667,76;56184,55;40235,76;48559,49;22859,41;32872,20;25462,58;15657,88;23014,18;29700,93;24947,48;76210,64;46427,97;55491,59;56400,65;50748,42;47051,80;24176,81;53763,48;40866,66;20721,15;3335210,99
"130006 Amaturá";-;-;-;-;-;-;457,97;24162,48;23145,98;18991,61;20714,91;14349,59;-;20377,68;10059,66;42121,88;-;20047,79;15552,07;17010,25;12168,95;25940,30;20453,05;17693,02;18178,20;15140,55;18708,64;18036,79;18036,79;18749,02;15285,38;5550,54;9702,47;16345,36;16694,10;16084,80;15856,29;14567,99;13993,58;625,13;880,50;625,13;2911,94;3941,25;1091,46;1570,13;-;982,57;635,03;9321,94;10981,14;7519,41;10523,70;11500,77;11594,62;9553,66;9484,18;5476,18;10081,26;10152,00;9701,10;11569,77;7864,81;4147,61;6969,38;8975,28;5170,32;7758,51;-;8908,53;-;10514,91;15896,37;11228,09;12408,31;13718,36;867,97;14906,00;614,42;10564,55;14975,15;2096,33;4104,84;6409,99;12465,59;6877,88;563,51;-;-;5999,48;1547,26;189,67;1304,27;1309,50;40,38;3342,64;-;1133,62;583,87;1395,38;19314,52;1048,30;642,21;886,80;443,40;1285,99;9248,39;4065,45;18784,60;13599,16;8999,37;2643,27;2806,89;1594,04;1606,09;1086,13;3255,18;7715,56;1757,43;1471,45;167,42;784,57;5761,38;3772,82;14736,18;9455,41;20336,40;1649,64;1262,28;3639,72;19797,98;17456,62;7606,38;20402,08;7339,50;21169,80;17275,35;16318,85;24606,74;14348,05;21979,78;13691,71;7365,53;16092,94;16904,36;16562,49;15436,11;29053,65;12559,21;17116,39;22557,67;21773,74;19405,03;12273,84;34040,71;17352,18;13101,55;34017,79;20567,79;25442,21;30374,64;13651,63;11659,42;10409,86;9379,75;545,73;8296,74;1681507,19
"130008 Anamã";-;-;-;-;-;-;-;3196,31;10295,81;15800,88;8593,93;18244,11;23907,79;19589,73;15337,30;15210,98;14356,72;10805,69;7914,07;12391,43;7863,68;12314,24;9313,77;19320,56;14264,01;19950,83;9358,52;10364,16;13411,96;15319,30;18495,24;14868,82;3222,14;15283,40;16322,29;12698,78;16339,79;13414,75;15508,00;9686,19;15284,10;13833,09;17358,59;10251,13;12289,26;15800,93;13921,52;10401,49;5725,10;13703,31;15477,50;13349,29;13803,07;14906,61;14352,06;13077,95;12019,69;8341,95;7763,09;14339,06;11264,03;5542,95;3140,05;16984,73;17669,69;19281,46;1129,80;2434,35;17523,44;26604,64;862,36;8949,60;23258,14;10403,35;9651,71;1774,01;9191,96;2045,54;18322,68;11874,33;17267,02;2041,27;8129,08;13072,90;3983,14;5062,83;2792,30;11872,88;6160,39;1293,41;4123,15;1372,09;12720,36;14906,86;11129,74;14174,20;9370,01;13219,59;9249,08;6500,14;6714,47;3336,24;11874,83;22073,76;6815,33;13630,23;12345,36;12170,50;6180,06;7851,39;12845,22;12960,74;11456,94;8009,59;14718,88;13984,43;12146,58;5558,77;3630,58;12628,83;16539,27;12150,87;29894,13;23034,10;28131,54;18522,58;20217,99;11012,74;2210,73;15563,30;16019,92;6457,95;4629,58;16295,03;16723,57;14152,41;5687,64;5376,33;19762,78;18242,89;22980,47;23770,54;20105,11;32698,90;19709,01;45322,98;20258,52;37015,45;25030,88;23152,24;12960,73;7906,56;44206,46;9288,94;28798,35;7095,24;5280,13;3661,08;5058,76;6598,79;21953,46;7758,29;12508,87;10086,26;13402,10;3782,61;3909,73;2071171,77
"130010 Anori";-;-;-;-;-;-;-;-;21659,42;21715,13;15746,85;19140,95;19411,26;22560,65;28543,61;21208,66;29301,60;24849,22;23050,78;22943,91;22350,36;25313,40;17418,60;15221,13;2647,42;24477,53;18061,35;17236,04;17927,69;20452,12;4320,91;6479,75;5807,63;6411,88;2170,23;19729,07;16687,37;23000,70;17215,28;4472,53;1893,60;17756,13;13022,30;20855,93;16962,09;688,11;4074,68;13570,84;13214,08;5664,20;10087,15;2001,22;6811,08;7851,84;12308,73;15562,17;2153,26;778,99;408,88;7136,34;1634,05;78005,14;2482,26;3106,96;877,42;989,13;10892,35;11016,47;5440,34;-;2667,61;1423,45;1707,89;4828,17;3004,59;2423,24;6143,90;5679,13;4206,62;2438,93;2378,65;5635,66;7327,59;2794,12;11275,85;336,36;4297,61;4296,28;3303,50;4137,48;4136,70;7166,92;2092,84;413,82;7116,11;4539,72;18328,02;5151,36;6501,90;3911,98;3062,58;3727,38;4227,82;5947,03;5147,58;3290,52;8563,75;8153,93;8573,55;11397,29;13187,92;8374,61;17751,95;6125,42;6284,89;19001,28;16968,00;19054,00;34538,74;32846,62;28358,54;24198,69;26290,06;24730,05;26254,10;23732,37;66821,10;40403,71;64895,31;42508,89;41109,99;78916,17;46414,82;29005,39;40556,25;38887,04;45700,64;29212,06;36867,86;41046,74;37751,38;40137,10;40989,17;94862,85;52235,15;61853,67;48541,05;65468,13;38279,09;55740,26;37654,75;53496,92;42029,15;38570,18;43073,99;63763,58;33301,84;59815,67;36839,78;64249,56;33533,43;36472,97;21837,76;92738,44;77576,68;26418,97;13318,34;3327129,27
"130014 Apuí";-;-;-;-;-;-;-;3806,88;35772,75;23985,51;36940,23;33451,56;37350,42;31296,74;37269,33;35774,00;30812,78;38576,75;31532,91;40100,09;32750,78;31704,55;32805,77;29049,75;32938,79;27922,57;30774,93;36831,74;30334,29;37955,03;36009,97;44511,17;29724,40;32934,64;29301,66;33865,41;42281,95;34909,43;34933,88;40225,24;31291,32;27600,32;35093,33;33151,74;30064,96;30969,99;35837,03;38798,29;31569,62;35371,55;32313,37;28566,33;32474,05;31448,39;32737,59;29609,15;23794,30;30291,20;30173,05;19426,52;22923,65;42985,59;31368,97;43286,99;34843,94;27812,20;38941,99;41032,84;31236,16;40270,43;21976,28;39896,11;40904,03;40733,27;34733,28;39979,49;39948,29;29814,81;32176,61;54726,44;57008,72;44596,60;28595,85;12228,05;27558,94;30591,92;41402,31;33422,79;35080,70;19576,85;40371,71;35714,85;36573,31;43275,19;43755,24;29576,69;41811,74;32649,27;44931,07;41214,72;50513,91;43890,26;50649,91;50899,56;35837,59;35977,58;40440,51;35111,35;41407,20;47561,99;39230,19;45052,68;30499,59;33752,09;36308,33;85737,46;57667,86;45243,28;34784,15;30045,59;45245,64;42083,61;42511,03;38435,04;36983,33;23510,66;35340,08;58310,55;33228,55;34355,73;46901,92;37852,87;93641,70;76512,25;41489,63;46346,95;54901,21;33740,27;41918,71;34406,79;46342,82;57061,68;30629,46;34942,12;45083,77;44861,98;33312,07;38158,14;42689,21;30111,36;46212,89;48952,40;45514,96;52114,89;67604,50;42058,06;33420,16;34999,16;45025,79;26788,08;82825,41;34484,33;38491,50;33146,93;28448,67;1191,24;6896,96;6008242,03
"130020 Atalaia do Norte";-;-;-;-;-;2033,37;14099,90;7804,99;12665,12;13328,16;15054,24;12701,26;5717,10;16194,78;16864,22;20672,75;19952,38;14351,20;10693,46;3028,83;2785,35;21050,94;9283,41;11543,16;21999,17;17310,58;2270,57;15267,40;9310,00;5847,89;1445,80;14212,47;15942,18;13607,47;9836,24;7391,64;16192,43;15447,91;21525,55;16237,83;8041,32;7213,09;4761,69;6784,42;11622,13;614,42;5394,62;16012,87;14203,47;2642,51;15295,61;2372,10;4732,50;11190,86;11657,39;15306,58;10484,65;10655,86;10611,85;19394,23;13583,06;15357,03;6445,39;2336,73;4620,04;886,80;3206,13;1043,06;3471,91;4435,00;2755,35;1018,51;2091,65;461,40;2131,36;-;3828,86;1652,59;1137,87;-;998,49;-;1411,38;93806,58;3069,89;1746,65;2120,72;1869,99;2414,97;1295,56;538,82;1143,55;3885,75;3162,96;4394,17;14990,03;8220,31;7514,34;22529,13;12045,39;5268,15;25148,71;13233,10;20318,65;7988,63;12541,39;16816,32;30127,17;16763,54;10574,17;7081,68;3802,89;11606,82;16787,85;9253,10;24260,88;26811,97;9422,48;12349,55;15231,44;36676,27;18594,33;13533,88;25066,65;16111,64;16797,33;29688,40;15336,18;12944,12;15635,46;12707,42;20318,35;35889,65;16553,39;11728,50;17491,69;9117,68;10687,32;14476,68;13947,68;22701,15;14927,97;20485,19;30963,61;22744,67;19209,95;29818,37;40688,36;31962,49;44146,58;37913,99;29356,08;42322,66;40451,10;35580,94;29993,42;22440,15;36260,06;91522,93;35541,63;47019,23;23459,99;42096,93;52928,81;43542,92;42948,89;31496,11;2501498,63
"130030 Autazes";-;-;-;-;-;-;-;-;53934,96;28467,25;60706,96;65122,04;64656,53;50359,15;61928,86;47439,34;82258,33;64757,96;71622,85;64764,50;17232,45;45697,21;49158,88;9964,69;19363,00;20206,56;4355,36;11669,12;14120,12;32977,68;29005,15;31250,65;20531,32;10055,08;62779,26;56152,51;43338,57;45527,93;47325,49;55198,38;52802,81;49018,57;43213,93;50894,83;46448,11;48990,56;75799,03;20705,28;27522,25;23894,97;19259,87;41570,79;38388,99;55601,61;66769,84;52612,37;40146,60;34733,32;48654,70;54617,10;42084,03;48293,78;43353,48;17710,51;61378,14;32602,60;6180,30;25331,70;36723,13;43693,84;20764,08;30259,12;22341,99;53935,10;30264,92;9178,49;14111,74;16301,52;11815,92;51379,78;45341,94;58211,29;45839,34;64559,25;11956,45;16539,50;14700,12;40748,93;22269,57;61175,27;58030,82;63918,90;32313,65;68930,31;67664,06;64408,64;30986,53;42632,46;92611,15;75257,93;63808,02;49286,61;61235,87;59804,40;35696,66;90655,15;80183,20;85005,86;79525,57;91400,09;80912,39;52768,79;166596,96;66505,46;73279,34;26993,61;20290,45;31331,24;37024,56;115014,41;22973,75;33533,04;76457,94;96243,84;61669,34;91224,22;72449,51;57474,74;67948,93;69294,77;69136,24;62010,67;84392,89;63354,87;67317,10;178254,55;88300,74;93908,75;106210,34;69342,34;65361,83;75386,45;76291,35;68583,14;91147,44;111266,32;96771,14;72339,12;106070,41;93227,78;62500,89;52368,72;102653,42;107458,92;68637,83;67023,01;70903,51;212789,86;97212,47;100251,32;117106,17;126589,66;110085,48;95932,40;84282,73;50038,15;46038,94;9156509,62
"130040 Barcelos";-;-;-;-;-;-;-;1853,42;17136,22;11675,24;22400,88;23058,17;23570,35;12704,81;26153,90;31724,26;27150,38;26752,96;25966,39;27368,40;19015,03;23744,55;22884,32;35306,30;9581,48;3067,21;20047,19;20486,90;21475,29;24925,21;14940,45;27470,11;26817,43;24630,67;18675,47;10809,97;1951,95;1375,98;17648,80;31277,28;15880,03;13943,17;39156,67;30082,64;26644,94;6483,85;5473,56;6832,47;2439,83;24796,49;27419,74;24703,65;22871,45;19265,42;27569,86;31479,11;23201,02;21992,21;21441,15;19205,00;16724,50;25766,41;26242,59;13363,82;18084,95;17827,18;16389,52;10539,39;17773,34;20994,79;18717,30;21755,22;17738,42;13482,76;26017,92;27054,73;20578,17;18862,05;24706,24;29968,49;29322,73;25372,05;22826,19;36345,91;22075,09;21765,77;16244,79;21690,83;16212,62;20588,88;25276,56;32515,35;7299,93;19303,40;15225,65;7077,42;5614,84;45818,07;27905,07;32538,21;32748,84;35710,86;37568,50;28732,11;33823,27;35219,81;37174,09;37246,02;36674,40;47197,30;23960,47;40546,20;57276,39;36815,09;58504,57;40071,67;17630,02;63420,74;31456,31;43669,85;35501,25;45730,33;41011,53;42511,78;50286,25;26900,45;31617,87;35989,49;33131,23;61062,38;40811,40;52867,45;51742,67;40620,65;45529,81;74928,60;58065,82;51834,11;62261,84;58976,67;39260,87;111843,40;69004,30;62204,08;73713,53;77734,65;52761,21;47518,89;60126,19;56557,28;60409,53;45121,54;33420,29;57508,64;39974,50;49695,31;24143,53;26889,00;77554,38;31207,69;32822,78;25246,81;24300,42;31310,47;39613,32;23183,61;17058,62;4925149,31
"130050 Barreirinha";-;-;-;-;-;-;-;3120,67;23033,07;32492,15;27269,74;34422,41;30097,39;43525,97;32680,36;44798,40;35680,77;36872,82;45866,72;37066,38;23749,43;46877,32;30595,33;39545,52;37349,51;26801,62;26866,93;17770,13;18820,95;19838,91;10080,00;21373,49;32207,97;27032,00;32029,09;32454,66;34157,89;26289,37;27031,60;29169,31;39815,55;39151,34;36323,54;40980,86;50514,16;36106,64;35949,84;32904,85;26000,39;33372,47;23325,68;30910,80;33159,28;39567,03;46785,40;42738,50;44745,03;31877,33;42683,12;31094,28;42437,15;30405,19;28013,91;18500,89;23092,05;41095,19;42671,13;39111,91;38175,09;33923,25;33902,69;41536,30;55191,82;63084,81;31703,48;51790,12;56224,86;41422,62;45753,15;43864,82;45709,37;55146,59;35289,36;42647,79;60281,91;44895,67;36974,40;57956,15;46849,71;42769,90;56788,73;46815,87;51595,79;42311,18;69786,13;37053,33;44211,50;47226,48;68677,36;71224,96;66628,90;74474,08;46243,52;39836,57;55330,07;41977,33;43617,13;50010,80;35699,85;46965,58;62777,58;24719,45;44450,45;38014,91;48608,93;57318,15;41045,05;41281,28;49220,86;55461,84;69409,89;46131,55;146846,40;82131,12;81227,19;23441,68;21868,23;63713,46;43666,74;67289,21;52891,63;54495,54;53200,48;76152,32;73067,23;81007,54;73442,77;97767,43;97583,07;66684,74;80877,00;68295,64;69166,17;79094,84;78671,33;66639,11;38263,92;20342,86;61249,35;71648,70;76046,04;66858,07;68198,39;87650,67;104789,88;59170,76;55661,28;58857,53;73707,02;90011,39;64132,70;94700,81;73538,09;85527,96;62402,90;71816,63;22821,12;7716927,29
"130060 Benjamin Constant";-;-;-;-;-;-;-;-;2068,05;17708,11;33769,52;34389,22;35286,37;41604,54;42067,90;52070,69;48455,53;42464,59;40877,57;54594,67;45846,53;37052,13;43577,20;57451,13;66872,56;54138,16;44705,41;42717,65;40887,54;44559,38;41675,79;30855,48;39967,03;34053,27;40151,24;31750,15;46753,73;40699,71;44329,00;38441,74;21491,61;27314,52;23936,83;22791,76;25297,05;31407,86;33626,09;33394,83;50195,90;29174,93;31324,75;40517,55;40362,92;47524,89;35972,16;36039,42;50264,31;24928,95;42973,49;33311,26;39763,36;39696,62;31003,54;37968,37;45864,17;43760,97;40923,16;43593,07;47374,18;46640,34;40104,11;40633,99;39829,34;41466,21;48273,27;36710,55;39384,31;34706,61;29419,21;34555,73;42413,10;85669,71;52519,90;32472,21;35946,28;34326,71;38493,40;35626,96;31741,66;24437,17;27300,43;48513,09;27260,08;39847,72;33032,89;38328,67;21757,21;23636,98;27902,43;47255,73;26208,08;40996,98;25630,33;31494,26;35958,42;28779,32;34235,02;21191,50;33918,44;20042,51;32677,24;34703,24;25480,36;24677,57;32172,21;39801,12;24171,05;33796,08;52498,90;35326,44;35237,71;50561,36;50559,72;85408,92;22845,66;25025,22;31288,54;45123,58;27038,60;42127,34;56774,02;29020,12;29744,66;30404,28;32286,81;39181,31;42644,94;39719,60;43799,43;52802,71;93011,24;65793,42;67595,49;68295,59;76797,45;80521,11;93539,70;130668,54;77160,09;81711,99;90846,48;92940,99;93607,45;82946,33;93591,71;73610,83;60523,76;104066,18;109177,41;93717,53;90993,09;103530,53;87515,38;89460,85;96276,36;112865,86;13097,77;7313062,84
