 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2000/Mai";"2000/Set";"2000/Out";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210005 Açailândia";276,65;-;-;-;-;-;-;-;-;3854,33;11957,62;33146,27;76041,52;119274,24;253226,11;228074,87;242773,44;231019,31;243423,07;260457,21;205993,95;193643,91;280096,83;207118,38;202576,23;212497,34;256018,47;217171,93;287666,26;248694,02;255663,36;293805,89;270616,29;270445,77;266340,22;330134,40;252330,50;296285,61;260121,78;247497,48;263433,26;317900,98;293517,27;268527,38;261213,97;269596,41;306624,01;288997,71;256983,43;188449,09;236972,38;254456,69;218587,93;247876,48;275154,13;294867,67;302176,61;284302,75;283978,93;239113,33;318616,66;321282,20;380070,23;285903,50;351922,89;306354,17;352415,41;394710,90;348546,48;329521,12;359046,41;345619,80;247736,66;305350,87;363969,17;387379,47;492957,16;416726,40;435562,20;386378,53;370580,64;421903,17;477432,70;425175,24;331938,35;501727,85;477491,33;425769,06;402022,39;384046,99;435050,27;403371,91;428981,93;439813,25;463231,85;420151,65;405922,46;437669,96;460452,39;375436,27;483527,05;513786,39;443939,70;381540,28;457871,38;412991,03;448600,06;490475,02;436761,66;340040,07;411648,64;433299,58;390520,43;367791,91;528884,02;415265,47;463134,54;500764,07;474711,44;470262,21;386427,77;289285,61;420858,06;340023,77;356474,15;298082,87;527065,02;457554,69;501699,85;462528,63;385637,35;432105,20;472422,51;390675,87;493609,25;297486,31;393933,18;538497,69;561341,91;466744,12;575590,35;464033,33;476245,58;514769,64;441715,23;494806,91;440025,29;384050,04;399627,14;569347,42;437066,41;457168,15;466281,31;490749,86;434409,24;602294,83;565536,66;483777,81;406445,44;368892,87;426279,17;265894,86;953680,67;707682,78;664713,34;493866,58;557232,50;523645,66;521518,27;349178,46;356885,68;149686,25;60510580,05
"210010 Afonso Cunha";-;-;-;-;-;-;-;-;-;-;-;-;4768,72;1396,74;4642,75;4817,17;7741,53;4516,24;5265,88;4571,73;6117,98;6496,74;6819,26;5884,43;2753,75;9125,86;8590,28;5543,34;5266,04;6266,22;6188,58;6483,64;5892,50;8702,65;6819,80;13587,52;6430,00;5247,85;4081,90;5534,07;6227,02;6145,83;12496,45;5100,32;10210,03;9215,00;8685,96;8890,92;7806,83;7294,76;6588,42;5248,77;6232,65;8126,18;8662,05;15736,76;7180,79;8447,34;8428,00;4079,76;6002,04;12276,46;7969,13;4353,04;6039,13;8133,02;5326,61;6107,39;4484,83;6744,25;11653,08;13064,70;14681,97;21507,17;31306,16;14349,98;5228,30;5194,65;6501,65;10884,75;28578,60;11096,33;15936,27;7660,99;8218,61;15296,00;17235,09;9187,87;5054,82;5359,55;14863,84;35762,29;17268,54;16996,96;29586,46;39901,70;38975,81;19998,71;20981,27;11827,65;35494,72;37689,41;21106,36;25932,96;33708,06;42500,63;21336,03;25808,27;7425,29;18958,70;29968,32;21384,31;25682,38;32115,82;34234,97;41079,63;33894,17;57669,77;32661,22;3285,36;10178,98;7100,07;26391,20;21611,91;8409,81;7587,87;12528,59;4819,27;9103,09;12352,59;4029,89;13781,01;11329,21;15068,00;12350,00;9574,83;20785,64;21039,94;21595,55;49916,60;41450,06;48417,06;52386,37;42684,41;43686,73;52392,58;18798,56;24516,03;73784,00;43285,88;48800,24;47166,61;46831,88;51176,98;39883,48;41683,15;37388,64;43413,45;30586,41;44230,25;36996,20;60697,37;36569,18;32732,14;43609,67;32511,41;38188,95;52522,37;21060,51;41425,95;8674,89;7493,11;3068487,63
"210015 Água Doce do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;1370,40;5478,61;18918,00;14340,18;17126,62;21654,18;16878,86;20360,20;23311,04;22518,99;22124,10;20373,30;24629,23;16708,22;19725,34;21423,76;27288,33;18472,24;21286,72;23734,66;16603,38;21351,10;25017,66;13860,79;26400,81;17306,81;29408,73;18861,30;24077,10;21718,81;15383,89;15935,92;17968,51;20233,92;15007,38;19577,66;24826,51;10268,98;8245,61;7023,15;28296,78;11666,87;19137,19;11409,75;27477,51;12869,16;16908,92;14851,84;6684,07;13001,26;15469,36;9534,61;11406,15;10031,90;5329,91;11091,23;11482,32;13517,59;16816,65;10604,48;13826,49;17326,71;18964,18;14837,24;16815,93;16444,03;15615,06;23060,63;23266,69;17582,54;25517,86;20501,19;22244,01;9458,16;18312,14;17020,58;13337,74;27585,44;29334,27;32564,32;32128,82;23327,82;16691,30;108796,80;14501,69;25018,89;44293,20;16226,05;18711,07;49409,41;37041,76;34130,87;68496,50;30356,76;46780,15;44759,41;29717,82;40566,02;29905,98;36039,37;30590,50;33669,86;57963,15;10954,23;17989,27;58234,48;11117,40;7440,76;14925,53;28364,07;20437,04;21731,51;17209,89;14010,44;42286,84;22586,53;9431,90;29796,58;28693,82;15132,89;8234,33;17771,63;25390,29;48124,06;17961,26;15753,33;25975,98;15402,55;52354,54;31893,32;16722,78;21583,50;9293,47;16589,47;17711,88;11293,24;22351,51;17656,53;17467,73;20676,22;20860,44;26947,24;18934,16;33077,81;13269,18;18443,48;17589,09;25517,23;44382,98;53455,68;34121,22;93325,19;31634,92;17704,17;23111,50;33315,04;21160,94;34837,63;40564,80;9173,81;3699104,27
"210020 Alcântara";-;-;-;-;-;-;-;-;-;-;2110,70;4033,32;3038,68;15435,51;30484,68;32435,14;46607,03;48435,55;29301,39;42663,95;59868,47;38098,20;27988,02;48242,83;28037,50;26377,89;34536,08;41288,30;46227,11;20473,86;33857,16;35174,17;26199,23;37084,18;29267,30;52258,11;17869,98;23955,85;51680,63;15726,68;32408,88;25184,07;28230,54;45736,36;27517,11;32958,85;60649,62;48291,66;24966,68;25986,93;22993,55;57511,10;27053,95;41879,77;58714,41;36035,80;119816,35;53544,94;48701,86;35983,32;44278,78;36269,51;71534,18;37310,20;28527,32;31412,57;32277,90;26099,38;64094,80;60648,25;77128,85;18005,16;39565,54;39346,08;39167,83;28388,33;16833,64;31642,49;40981,37;20320,81;59536,53;49338,13;31037,06;36466,34;42364,76;21716,78;24866,04;44069,23;64997,21;69922,20;48321,02;47529,04;62496,19;27753,70;39988,01;26988,93;43553,93;42952,32;42026,91;22610,99;55504,22;27624,65;40403,81;105136,63;61781,09;106996,33;36483,40;65723,73;38267,21;67916,91;45374,45;28163,59;25501,94;32113,93;58724,15;80930,97;44762,56;52418,56;60146,48;47961,07;22869,94;92546,30;52295,95;41872,29;45436,76;68989,65;65942,65;77999,51;68644,07;46222,65;124642,84;82872,04;64509,01;37310,03;47017,78;46034,88;78027,94;47231,24;50942,68;56965,27;30502,54;65942,22;41788,50;53377,91;26979,00;31877,20;63235,24;22250,46;64833,40;67333,60;59314,17;40045,64;63293,01;43986,02;93516,19;68291,06;51255,79;59867,44;87358,20;50532,65;53774,53;48476,01;27930,94;67082,88;94907,06;84421,24;81314,90;93190,96;55742,25;65894,79;44101,69;35061,76;7573079,97
"210030 Aldeias Altas";-;-;-;-;-;-;-;-;-;-;-;768,91;4509,21;16811,82;28591,42;26710,39;40275,28;32322,04;33610,56;43697,50;36407,67;27218,03;77847,12;84446,12;68241,25;71018,87;74717,91;49695,98;76446,46;90510,73;81563,80;94178,45;72844,21;52692,17;85712,57;95717,29;69637,42;102355,41;77944,12;102120,76;105161,74;102712,10;110524,90;106822,48;88242,21;86877,09;92372,50;86490,94;140702,01;107309,24;118080,30;98530,24;99545,23;96260,80;145080,05;93319,15;103028,96;130540,75;102877,40;86175,19;79806,65;95858,97;104842,75;110974,77;124777,31;97307,50;100039,30;111957,70;123349,71;99010,96;96191,08;108725,47;83024,90;109068,66;136352,59;114430,61;71192,84;92085,21;93700,01;91989,18;83299,34;88336,96;109966,34;98491,66;115472,58;89123,82;74462,40;77481,01;87614,68;73581,97;93846,54;86711,07;106712,19;115572,60;115153,80;109906,50;92587,39;102132,27;89141,66;69654,05;90105,75;119077,29;107879,23;109183,75;125121,86;76125,63;80221,49;84233,71;125272,72;77579,30;89896,00;93407,15;109544,28;83833,31;105564,53;99944,18;117477,45;103085,08;120712,51;110320,68;69695,94;90712,29;94686,48;74262,47;86510,87;82305,29;123558,83;93396,02;94856,64;139960,86;121368,53;98465,45;82890,58;119356,73;243647,21;109503,72;108159,20;114650,39;89140,47;127448,79;95674,14;109310,81;102154,39;103347,55;104626,87;106030,33;132950,44;86669,31;98381,77;100178,88;88912,10;112913,56;56654,03;51893,14;129074,25;161119,13;102768,58;96437,75;144775,65;95381,57;74382,63;73322,49;72111,80;103123,09;79488,64;77892,31;79452,59;62869,75;79524,10;64166,78;132999,57;68413,04;14983365,45
"210040 Altamira do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;4271,89;9347,07;6431,08;18805,21;13054,50;16221,70;15253,45;7851,42;14551,76;6596,04;6994,00;3728,52;4284,08;5831,05;4727,92;12106,23;8044,52;5643,87;5035,75;5887,16;12733,74;8456,02;4228,35;3699,48;5417,05;7369,16;2651,09;11691,06;7779,78;3748,60;6496,91;7174,45;7513,70;3340,83;6602,90;8167,80;4951,65;8901,09;6311,04;4093,07;3901,74;7932,40;2477,08;5175,19;6481,19;3052,62;6074,87;5019,80;10125,66;5583,35;1845,04;16052,37;8420,57;6944,45;11465,08;16264,01;10137,44;8007,57;13526,52;3927,78;8440,10;8322,81;3326,89;5548,24;3020,76;9360,24;21284,40;18388,73;6344,54;4383,29;5305,29;4576,76;12058,12;4506,31;13549,70;14815,14;5658,15;7904,87;14612,38;18465,15;10953,09;8109,97;7611,60;8303,84;4063,90;5842,15;6870,26;22926,78;6716,58;2433,27;3918,74;20875,42;23239,18;5918,98;8497,52;4686,18;5217,82;4255,61;4108,79;4859,55;8757,42;14256,18;9065,45;9728,46;6976,96;6486,89;11989,11;5596,85;5801,71;7448,96;8141,03;18677,84;8086,94;18825,27;28871,97;11101,26;18981,59;21988,20;155727,18;14873,66;9957,88;17715,29;11328,91;11502,98;17809,82;3985,36;6100,78;6709,65;17055,03;6563,94;16250,00;23209,04;12645,54;24150,17;29548,48;36580,06;8826,52;11338,09;10079,21;12508,90;15804,68;8398,26;7581,38;29762,04;29382,63;15238,41;15803,47;10229,36;29148,60;17351,71;26477,87;23067,24;15006,14;10646,89;13448,60;46648,96;12936,39;11907,79;9268,35;1851048,17
"210043 Alto Alegre do Maranhão";-;-;-;931,65;-;-;-;-;-;-;1664,46;12654,14;8012,71;41492,71;44768,16;65684,14;66452,44;59523,57;26691,35;48883,77;49252,87;37015,19;52949,60;40023,15;84871,06;93537,14;55648,71;38249,61;75235,66;46143,94;60225,46;51870,02;41140,31;33052,69;42393,01;59109,55;29165,42;22549,88;34139,90;36384,39;45583,63;39425,19;110902,53;30011,92;27998,89;19618,33;38111,74;46811,19;37750,42;24259,62;35754,81;25978,94;38237,39;47999,65;25908,16;26756,83;36187,59;62680,97;32920,44;19395,76;42834,91;42501,25;49846,79;25254,77;30368,51;44952,76;60885,70;21056,31;68471,34;78301,54;109445,06;86076,12;71751,49;83943,40;112420,34;88832,51;102450,85;84735,15;130564,06;103516,48;126754,60;134177,94;115992,83;128133,59;129706,31;111506,59;135627,33;92392,28;130856,66;145351,60;120686,06;108949,46;103543,84;108570,19;119525,04;91551,18;97786,16;82560,94;96260,08;58177,41;102842,77;106278,65;94038,87;98402,70;129820,80;113455,99;100746,70;99544,18;81572,24;98195,06;105756,21;77101,10;74894,95;131989,26;140049,05;88919,26;79830,95;141236,80;92549,23;85234,85;75199,26;93635,79;50521,14;95452,85;105439,30;95280,03;122459,90;75741,60;114787,67;104172,98;91467,27;101980,16;85175,73;90481,00;125607,83;80024,82;109208,09;134406,06;133940,18;109706,56;107801,87;111991,31;122137,67;80108,32;89049,78;102107,90;113493,97;93367,99;150541,37;123730,21;131067,13;112977,48;146870,05;117376,53;154813,36;135599,10;88249,09;108007,05;120057,26;91574,86;94447,72;88420,16;82827,66;96496,87;105798,32;86034,14;100591,10;124685,93;123347,79;62955,03;66611,90;8661,86;13187278,71
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-;-;-;-;-;4834,61;15773,72;19900,61;45608,93;48111,23;40427,85;46058,11;60983,41;66504,42;65437,93;40521,22;55694,19;42347,52;45655,62;88203,65;66293,03;53592,73;106626,32;71556,82;100316,80;72684,43;27753,78;17572,20;81811,10;97776,09;35800,91;89972,55;38675,13;76642,09;150500,21;69161,09;77389,20;85800,95;102291,57;86099,97;86377,81;83592,20;89222,60;104055,73;77638,24;81585,84;100427,11;103209,37;97723,42;82538,54;76476,93;110260,78;108803,60;106542,27;87190,60;87652,16;76952,77;107884,53;130428,13;91453,49;100924,46;74825,16;91393,42;114478,71;103662,53;113527,94;92252,70;98138,09;92290,91;66310,44;112865,84;99488,98;63879,40;78794,44;92302,64;94997,04;72864,94;93334,62;99600,07;100994,55;94727,72;96603,41;109929,22;84498,31;95113,93;86242,13;101053,00;80513,35;84245,88;108441,46;105531,38;99178,80;109515,57;116761,63;176012,65;131381,52;127854,67;103460,77;91025,51;96779,31;115056,40;107598,63;131201,10;106673,55;109199,30;144116,56;92572,59;92914,90;160597,23;105640,50;94981,62;94390,24;99591,06;97239,94;90660,15;63111,23;96172,91;66545,52;139462,83;66328,60;84394,35;109412,37;82261,70;101758,94;97079,58;89071,79;67947,51;74995,13;102217,88;96331,51;100370,55;107712,39;106983,84;81733,32;89967,85;102071,87;108737,35;114322,17;115474,64;99598,39;119218,46;97744,36;108050,83;118375,18;135442,54;107071,57;150466,52;115954,90;108291,28;103201,10;120742,19;122938,82;146288,71;75121,57;117661,04;71725,94;64835,92;196534,86;144447,50;108676,72;99523,80;135219,31;133709,02;130483,74;83614,74;16338,58;14978370,40
"210050 Alto Parnaíba";-;-;-;-;-;-;-;-;-;1061,68;2094,30;602,15;1555,88;5545,98;20229,45;17171,05;19205,45;20442,79;19974,38;30533,34;32878,28;35714,76;37127,95;30176,04;29021,28;36651,90;33634,95;91451,16;55240,37;30636,41;32369,88;40727,28;27334,51;36746,17;36351,86;34987,57;36563,31;34968,47;25911,76;30946,90;43910,05;36094,92;36582,55;27740,86;20123,66;30846,92;49281,66;34833,69;29208,21;29944,75;28910,87;27091,46;38910,89;37153,98;31972,60;38439,13;31247,61;28597,22;42557,63;33677,43;50940,07;35209,34;31353,22;33211,98;33908,81;46908,95;33499,41;131558,01;22548,76;40848,30;41941,65;39214,28;39678,77;31172,35;48279,63;29629,62;48156,85;18346,44;9843,04;1194,54;14784,09;17746,34;2714,36;15096,70;13286,91;3817,11;2473,23;5828,07;7554,41;19201,84;9514,16;11770,57;37104,25;3287,26;2492,35;6038,91;17049,16;5522,79;21025,27;6281,47;20631,99;32389,01;18010,73;21012,16;5672,70;11524,08;12091,17;7977,16;4384,18;30249,67;43616,03;14556,62;32791,80;8730,57;17118,60;23029,92;23989,02;16897,85;17036,63;2814,89;26440,79;5373,01;6317,10;26476,31;31533,02;7854,01;14878,29;36361,68;7383,65;11053,49;21450,27;29455,16;18584,70;21534,21;37906,47;26091,73;34888,17;20085,93;52590,28;49706,36;58675,69;42629,96;21607,18;52033,13;41071,65;40417,78;50781,72;48207,72;67935,36;85922,35;62442,30;70659,01;59437,74;53340,40;41433,52;24615,32;55941,31;29392,30;12520,32;61499,63;78751,60;11924,57;41710,48;25928,55;40680,93;38294,77;16367,25;37611,22;38822,11;13675,80;9328,28;5815,89;4744981,87
"210055 Amapá do Maranhão";-;-;-;-;-;-;-;-;-;-;618,69;554,69;1913,05;3529,26;7224,41;9760,73;3737,55;6146,85;14862,21;4607,48;8696,22;11813,23;6865,84;7107,75;8452,54;5909,74;1719,51;4033,52;7344,68;7869,88;2437,79;6345,84;4570,46;9522,06;7852,21;9227,35;6337,64;7103,53;6462,46;5850,74;6039,29;9194,02;13500,23;5278,23;13720,49;9479,78;13122,93;10021,24;13792,46;4428,11;9644,86;14488,99;12497,83;9927,84;4099,32;26232,35;9054,79;8356,33;8283,79;13772,07;12432,81;8972,50;12934,54;12682,79;12674,40;12780,02;10467,58;15387,39;5906,11;13037,53;14528,83;12415,68;12207,82;8449,30;11156,44;11648,87;21500,05;7784,59;11690,83;8781,83;12335,13;11812,69;16543,54;11790,19;14651,56;10351,81;21225,16;10770,80;23606,12;4136,72;12731,41;8952,09;14777,09;19012,34;24979,33;15432,99;7875,21;33871,41;13976,81;15430,92;19642,99;17759,44;17380,10;14262,52;12057,65;18095,00;36296,01;16038,24;31124,33;13862,76;15139,13;9361,71;11862,93;27126,10;29376,44;12215,17;19299,42;22002,17;12214,39;10256,10;13751,12;19158,30;12305,90;10707,47;12853,11;10449,37;11089,30;19340,67;10180,33;11454,87;14283,31;22218,93;13155,52;10313,15;16449,96;24836,68;15743,01;13246,73;37612,95;12880,54;35189,97;26882,58;49325,52;14133,01;15819,35;22955,20;14443,33;37254,48;23953,88;20155,47;25997,61;41879,91;18213,63;17502,62;24159,91;13922,89;43031,67;14113,38;22091,00;16222,78;18939,72;12675,14;15783,30;36996,25;20376,86;21571,15;31510,89;25141,56;17449,84;33005,72;12533,08;4365,27;2370116,88
